#"+EI TIC Scan LOHC002_01_LQ1.d "
#Point,X(Minutes),Y(Counts)
0,0.101,3.41070611560165
1,0.108,3.25953942351685
2,0.114,3.09385389659905
3,0.121,2.94524935183773
4,0.127,2.77736769864267
5,0.134,2.65340857099283
6,0.140,2.5333536678359
7,0.147,2.42464541711148
8,0.153,2.31642519444868
9,0.160,2.2377306695135
10,0.166,2.18075339332012
11,0.172,2.11621168217172
12,0.179,2.06411468659448
13,0.185,2.01360378221748
14,0.192,1.96150678664023
15,0.198,1.92502668903462
16,0.205,1.88269025468964
17,0.211,1.8631691322251
18,0.218,1.80338569467744
19,0.224,1.73884398352905
20,0.231,1.70346194906207
21,0.237,1.67845051090438
22,0.244,1.66661583041025
23,0.250,1.65941741650145
24,0.257,1.61781302424889
25,0.263,1.59023943876773
26,0.270,1.55205124294647
27,0.276,1.55412536220833
28,0.282,1.53277413451273
29,0.289,1.52618575568095
30,0.295,1.53704438005185
31,0.302,1.53814244319048
32,0.308,1.54131462559097
33,0.315,1.53314015555894
34,0.321,1.48860759493671
35,0.328,1.45627573585481
36,0.334,1.4665243251487
37,0.341,1.49605002287632
38,0.347,1.50568857709318
39,0.354,1.48128717401251
40,0.360,1.46066798840933
41,0.367,1.41686746987952
42,0.373,1.38904987036755
43,0.379,1.39319810889126
44,0.386,1.41027909104774
45,0.392,1.42113771541864
46,0.399,1.40405673326216
47,0.405,1.3802653652585
48,0.412,1.36635656550252
49,0.418,1.34756748513039
50,0.425,1.32524020131158
51,0.431,1.35806008845509
52,0.438,1.3585481165167
53,0.444,1.37916730211987
54,0.451,1.37087082507244
55,0.457,1.33939301509837
56,0.464,1.31791978038737
57,0.470,1.31474759798688
58,0.477,1.3224340399573
59,0.483,1.3260942504194
60,0.489,1.31962787860302
61,0.496,1.31560164709471
62,0.502,1.28863809669056
63,0.509,1.2757053530578
64,0.515,1.26911697422602
65,0.522,1.30486502973921
66,0.528,1.3115754155864
67,0.535,1.29156626506024
68,0.541,1.27753545828885
69,0.548,1.24410553606832
70,0.554,1.26789690407198
71,0.561,1.27436327588836
72,0.567,1.27082507244167
73,0.574,1.268506939149
74,0.580,1.28924813176758
75,0.586,1.27790147933506
76,0.593,1.2541101113314
77,0.599,1.24959585176148
78,0.606,1.27643739515022
79,0.612,1.2793655635199
80,0.619,1.2648467286869
81,0.625,1.25362208326979
82,0.632,1.26740887601037
83,0.638,1.30181485435413
84,0.645,1.32316608204972
85,0.651,1.28790605459814
86,0.658,1.23837120634436
87,0.664,1.22617050480403
88,0.671,1.25508616745463
89,0.677,1.26265060240964
90,0.684,1.3008387982309
91,0.690,1.32145798383407
92,0.696,1.29522647552234
93,0.703,1.25557419551624
94,0.709,1.26936098825682
95,0.716,1.28375781607442
96,0.722,1.27655940216562
97,0.729,1.25642824462407
98,0.735,1.26204056733262
99,0.742,1.25435412536221
100,0.748,1.23129479945097
101,0.755,1.23739515022114
102,0.761,1.24166539576026
103,0.768,1.22104621015708
104,0.774,1.24593564129937
105,0.781,1.25350007625438
106,0.787,1.26887296019521
107,0.793,1.28424584413604
108,0.800,1.27436327588836
109,0.806,1.28265975293579
110,0.813,1.26155253927101
111,0.819,1.26692084794876
112,0.826,1.28583193533628
113,0.832,1.27094707945707
114,0.839,1.24654567637639
115,0.845,1.23580905902089
116,0.852,1.24459356412994
117,0.858,1.24764373951502
118,0.865,1.24434955009913
119,0.871,1.25166997102333
120,0.878,1.24105536068324
121,0.884,1.24422754308373
122,0.891,1.22848863809669
123,0.897,1.23349092572823
124,0.903,1.2322708555742
125,0.910,1.20518529815464
126,0.916,1.19493670886076
127,0.923,1.20140308067714
128,0.929,1.22373036449596
129,0.936,1.27802348635047
130,0.942,1.29632453866097
131,0.949,1.29486045447613
132,0.955,1.25740430074729
133,0.962,1.18420009150526
134,0.968,1.1496721061461
135,0.975,1.18151593716639
136,0.981,1.19322861064511
137,0.988,1.20213512276956
138,0.994,1.23068476437395
139,1.000,1.25118194296172
140,1.007,1.24776574653043
141,1.013,1.22397437852677
142,1.020,1.21946011895684
143,1.026,1.18993442122922
144,1.033,1.17907579685832
145,1.039,1.18310202836663
146,1.046,1.16955924965686
147,1.052,1.15918865334757
148,1.059,1.16187280768644
149,1.065,1.17858776879671
150,1.072,1.1748055513192
151,1.078,1.17407350922678
152,1.085,1.18859234405978
153,1.091,1.21043159981699
154,1.098,1.19066646332164
155,1.104,1.17407350922678
156,1.110,1.17687967058106
157,1.117,1.1856641756901
158,1.123,1.20799145950892
159,1.130,1.21421381729449
160,1.136,1.18871435107519
161,1.143,1.14869605002288
162,1.149,1.13600732042092
163,1.156,1.1856641756901
164,1.162,1.19774287021504
165,1.169,1.19945096843068
166,1.175,1.17797773371969
167,1.182,1.14515784657618
168,1.188,1.14088760103706
169,1.195,1.1566265060241
170,1.201,1.15821259722434
171,1.207,1.17992984596614
172,1.214,1.19225255452188
173,1.220,1.17309745310355
174,1.227,1.1784657617813
175,1.233,1.1711453408571
176,1.240,1.17590361445783
177,1.246,1.16797315845661
178,1.253,1.17260942504194
179,1.259,1.2071374104011
180,1.266,1.21518987341772
181,1.272,1.19884093335367
182,1.279,1.19505871587616
183,1.285,1.18163794418179
184,1.292,1.15491840780845
185,1.298,1.16907122159524
186,1.305,1.19810889126125
187,1.311,1.18481012658228
188,1.317,1.15479640079305
189,1.324,1.16248284276346
190,1.330,1.19871892633826
191,1.337,1.22434039957298
192,1.343,1.23580905902089
193,1.350,1.20677138935489
194,1.356,1.18773829495196
195,1.363,1.16785115144121
196,1.369,1.14991612017691
197,1.376,1.15979868842458
198,1.382,1.16821717248742
199,1.389,1.18322403538203
200,1.395,1.19774287021504
201,1.402,1.19920695439988
202,1.408,1.17968583193534
203,1.414,1.18407808448986
204,1.421,1.16175080067104
205,1.427,1.16162879365564
206,1.434,1.16980326368766
207,1.440,1.17248741802654
208,1.447,1.16785115144121
209,1.453,1.18346804941284
210,1.460,1.19945096843068
211,1.466,1.18969040719841
212,1.473,1.1784657617813
213,1.479,1.19359463169132
214,1.486,1.21909409791063
215,1.492,1.19859691932286
216,1.499,1.19615677901479
217,1.505,1.16833917950282
218,1.512,1.15260027451578
219,1.518,1.15540643587006
220,1.524,1.17907579685832
221,1.531,1.18005185298155
222,1.537,1.15211224645417
223,1.544,1.13185908189721
224,1.550,1.12697880128107
225,1.557,1.11965838035687
226,1.563,1.11429007167912
227,1.570,1.11831630318743
228,1.576,1.14210767119109
229,1.583,1.12563672411164
230,1.589,1.14735397285344
231,1.596,1.18639621778252
232,1.602,1.22482842763459
233,1.609,1.19981698947689
234,1.615,1.18688424584414
235,1.621,1.17236541101113
236,1.628,1.14979411316151
237,1.634,1.16370291291749
238,1.641,1.14759798688425
239,1.647,1.14198566417569
240,1.654,1.1495500991307
241,1.660,1.16150678664023
242,1.667,1.15357633063901
243,1.673,1.13551929235931
244,1.680,1.1423516852219
245,1.686,1.14564587463779
246,1.693,1.14723196583804
247,1.699,1.16114076559402
248,1.706,1.16272685679427
249,1.712,1.11477809974074
250,1.719,1.10538355955467
251,1.725,1.11868232423364
252,1.731,1.13210309592802
253,1.738,1.13795943266738
254,1.744,1.16675308830258
255,1.751,1.17517157236541
256,1.757,1.15382034466982
257,1.764,1.15992069543999
258,1.770,1.16333689187128
259,1.777,1.16699710233338
260,1.783,1.17236541101113
261,1.790,1.21482385237151
262,1.796,1.22312032941894
263,1.803,1.20677138935489
264,1.809,1.17858776879671
265,1.816,1.16211682171725
266,1.822,1.17175537593412
267,1.828,1.17907579685832
268,1.835,1.1818819582126
269,1.841,1.16089675156321
270,1.848,1.13820344669819
271,1.854,1.13673936251334
272,1.861,1.16150678664023
273,1.867,1.16943724264145
274,1.874,1.15345432362361
275,1.880,1.15882263230136
276,1.887,1.17431752325759
277,1.893,1.15833460423974
278,1.900,1.16309287784048
279,1.906,1.15162421839256
280,1.913,1.14296172029892
281,1.919,1.1532103095928
282,1.926,1.17626963550404
283,1.932,1.17956382491993
284,1.938,1.15491840780845
285,1.945,1.13588531340552
286,1.951,1.13283513802044
287,1.958,1.15491840780845
288,1.964,1.17077931981089
289,1.971,1.17992984596614
290,1.977,1.1530883025774
291,1.984,1.16602104621016
292,1.990,1.18139393015098
293,1.997,1.20506329113924
294,2.003,1.17956382491993
295,2.010,1.16541101113314
296,2.016,1.15138020436175
297,2.023,1.146011895684
298,2.029,1.15601647094708
299,2.035,1.16846118651822
300,2.042,1.15699252707031
301,2.048,1.13637334146713
302,2.055,1.13917950282141
303,2.061,1.14344974836053
304,2.068,1.14771999389965
305,2.074,1.15979868842458
306,2.081,1.15406435870063
307,2.087,1.15016013420772
308,2.094,1.15882263230136
309,2.100,1.20420924203142
310,2.107,1.20860149458594
311,2.113,1.1855421686747
312,2.120,1.17065731279549
313,2.126,1.16833917950282
314,2.133,1.17602562147323
315,2.139,1.16650907427177
316,2.145,1.16931523562605
317,2.152,1.14820802196126
318,2.158,1.14039957297545
319,2.165,1.14552386762239
320,2.171,1.14771999389965
321,2.178,1.1385694677444
322,2.184,1.1278328503889
323,2.191,1.15382034466982
324,2.197,1.16577703217935
325,2.204,1.15821259722434
326,2.210,1.16345889888669
327,2.217,1.15150221137715
328,2.223,1.13356718011286
329,2.230,1.13295714503584
330,2.236,1.17029129174928
331,2.242,1.18078389507397
332,2.249,1.16809516547201
333,2.255,1.15931066036297
334,2.262,1.17224340399573
335,2.268,1.17358548116517
336,2.275,1.16248284276346
337,2.281,1.1532103095928
338,2.288,1.23166082049718
339,2.294,1.56254384627116
340,2.301,2.29995424736922
341,2.307,3.61055360683239
342,2.314,5.37550709165777
343,2.320,7.06213207259417
344,2.327,8.11346652432515
345,2.333,8.48424584413604
346,2.340,8.53609882568248
347,2.346,8.47106908647247
348,2.352,8.30831172792436
349,2.359,8.18423059325911
350,2.365,8.07735244776575
351,2.372,7.83309440292817
352,2.378,7.5458898886686
353,2.385,7.42912917492756
354,2.391,7.32749733109654
355,2.398,7.08226323013573
356,2.404,6.91791978038737
357,2.411,6.86814091810279
358,2.417,6.80664938233948
359,2.424,6.69245081592192
360,2.430,6.62925118194296
361,2.437,6.45136495348483
362,2.443,6.23638859234406
363,2.449,6.13548879060546
364,2.456,6.06814091810279
365,2.462,5.94637791673021
366,2.469,5.85828885160897
367,2.475,5.8019216104926
368,2.482,5.66441970413299
369,2.488,5.56351990239439
370,2.495,5.52130547506482
371,2.501,5.40881500686289
372,2.508,5.24605764831478
373,2.514,5.18578618270551
374,2.521,5.15443037974684
375,2.527,5.09598901936861
376,2.534,5.08366631081287
377,2.540,5.07475979868842
378,2.547,4.95250876925423
379,2.553,4.78060088455086
380,2.559,4.71105688577093
381,2.566,4.65151746225408
382,2.572,4.54878755528443
383,2.579,4.47375324081135
384,2.585,4.44825377459204
385,2.592,4.34332774134513
386,2.598,4.17495806008846
387,2.605,4.03721213969803
388,2.611,3.9206954399878
389,2.618,3.86884245844136
390,2.624,3.87494280921153
391,2.631,3.89275583346042
392,2.637,3.8667683391795
393,2.644,3.85871587616288
394,2.650,3.93289614152814
395,2.656,4.00146408418484
396,2.663,3.99072746682934
397,2.669,3.94924508159219
398,2.676,3.90398047887754
399,2.682,3.82967820649687
400,2.689,3.76330639011743
401,2.695,3.719017843526
402,2.702,3.6541101113314
403,2.708,3.56846118651822
404,2.715,3.53466524325149
405,2.721,3.4881805703828
406,2.728,3.38959890193686
407,2.734,3.31785877687967
408,2.741,3.31627268567943
409,2.747,3.30663413146256
410,2.754,3.30944029281684
411,2.760,3.29199328961415
412,2.766,3.2037822174775
413,2.773,3.07421076711911
414,2.779,3.03333841695897
415,2.786,3.01894158914138
416,2.792,2.94854354125362
417,2.799,2.88570992832088
418,2.805,2.88509989324386
419,2.812,2.88790605459814
420,2.818,2.83312490468202
421,2.825,2.7856641756901
422,2.831,2.74357175537593
423,2.838,2.68220222662803
424,2.844,2.63010523105079
425,2.851,2.61095012963245
426,2.857,2.59216104926033
427,2.863,2.55616897971633
428,2.870,2.52993747140461
429,2.876,2.46783590056428
430,2.883,2.39511971938386
431,2.889,2.39097148086015
432,2.896,2.40768644197041
433,2.902,2.37303644959585
434,2.909,2.34351075186823
435,2.915,2.34253469574501
436,2.922,2.33972853439073
437,2.928,2.31288699100198
438,2.935,2.2991001982614
439,2.941,2.25322556046973
440,2.948,2.19149001067561
441,2.954,2.18953789842916
442,2.961,2.21284123837121
443,2.967,2.18429159676681
444,2.973,2.13475674851304
445,2.980,2.12475217324996
446,2.986,2.09925270703065
447,2.993,2.04203141680647
448,2.999,2.02739057495806
449,3.006,2.03678511514412
450,3.012,2.00847948757054
451,3.019,1.98859234405978
452,3.025,1.96809516547201
453,3.032,1.960530730517
454,3.038,1.92356260484978
455,3.045,1.91514412078695
