#"+EI TIC Scan LOHC003_01_GS1.d "
#Point,X(Minutes),Y(Counts)
0,0.095,1.08894651929309
1,0.099,1.09100827011709
2,0.103,1.09497459793548
3,0.106,1.09954188451422
4,0.110,1.10408143453479
5,0.113,1.10412766213174
6,0.117,1.09747088817082
7,0.121,1.08687552294969
8,0.124,1.07738962005538
9,0.128,1.07164815251409
10,0.131,1.06923507195325
11,0.135,1.06274471734136
12,0.138,1.05939783932212
13,0.142,1.06377096999367
14,0.146,1.06577724770133
15,0.149,1.0615797818982
16,0.153,1.06195884819319
17,0.156,1.06421475492439
18,0.160,1.06427022804074
19,0.164,1.06540742692573
20,0.167,1.0728593155542
21,0.171,1.08325127934875
22,0.174,1.08248390123936
23,0.178,1.07447728144748
24,0.182,1.06840297520814
25,0.185,1.07210118296421
26,0.189,1.07099172063739
27,0.192,1.06510232478585
28,0.196,1.0620513033871
29,0.199,1.0577244003125
30,0.203,1.04933871422562
31,0.207,1.03878033108205
32,0.210,1.02666870068093
33,0.214,1.01343836243361
34,0.217,1.01403007567458
35,0.221,1.02541131004387
36,0.225,1.02160215605512
37,0.228,1.01141359368716
38,0.232,1.03129146037602
39,0.235,1.06852316696021
40,0.239,1.0895937056504
41,0.242,1.09860808705581
42,0.246,1.08079197119096
43,0.250,1.06436268323464
44,0.253,1.03965865542411
45,0.257,0.945825879133325
46,0.260,0.866989335293383
47,0.264,0.885656038942128
48,0.268,0.944402069147239
49,0.271,0.984952917192506
50,0.275,1.0618571474799
51,0.278,1.18782734917091
52,0.282,1.25614249194484
53,0.286,1.15948983224005
54,0.289,1.02470865057022
55,0.293,1.04169266968995
56,0.296,1.14992996519062
57,0.300,1.22637191950851
58,0.303,1.17140730673397
59,0.307,1.22416224037426
60,0.311,1.2617267856565
61,0.314,1.22467074394072
62,0.318,1.16512035354866
63,0.321,1.13337123996283
64,0.325,1.11517605780299
65,0.329,1.07459747319955
66,0.332,1.02327559506474
67,0.336,0.994263155218402
68,0.339,0.984694042649581
69,0.343,0.977436309928301
70,0.347,0.97568890676356
71,0.350,0.986922212822611
72,0.354,1.00130824099371
73,0.357,1.00993431058473
74,0.361,1.01154303095862
75,0.364,1.01047055070936
76,0.368,1.00575533582038
77,0.372,1.00325904558503
78,0.375,1.00638403113891
79,0.379,1.00624534834806
80,0.382,1.00239921228175
81,0.386,1.00583854549489
82,0.390,1.01174643238521
83,0.393,1.00952750773157
84,0.397,0.996482079872042
85,0.400,0.980635259637298
86,0.404,0.975041720406248
87,0.408,0.979673725620721
88,0.411,0.981698494367167
89,0.415,0.981532075018144
90,0.418,0.984490641222997
91,0.422,0.991110433106356
92,0.425,0.993884088923406
93,0.429,0.998081554726541
94,0.433,1.00689253470537
95,0.436,1.01982701633221
96,0.440,1.02121384424073
97,0.443,1.00073501879152
98,0.447,0.971565405115546
99,0.451,0.961996292546724
100,0.454,0.97288751438834
101,0.458,0.986062379519325
102,0.461,0.986561637566394
103,0.465,0.981689248847777
104,0.469,0.984546114339338
105,0.472,0.99691661928338
106,0.476,0.998442129982757
107,0.479,0.982197752414236
108,0.483,0.954322511452887
109,0.486,0.933298200359651
110,0.490,0.930163969286385
111,0.494,0.943459026169443
112,0.497,0.972092399720785
113,0.501,1.00038368905469
114,0.504,1.0039524595393
115,0.508,0.98131018255278
116,0.512,0.962957826563302
117,0.515,0.967589831777775
118,0.519,0.982206997933626
119,0.522,0.992524997573051
120,0.526,0.996139995654606
121,0.530,0.98741222535029
122,0.533,0.978619736410242
123,0.537,0.98573878634067
124,0.540,0.995770174878999
125,0.544,0.990842313044041
126,0.547,0.975753625399291
127,0.551,0.971574650634936
128,0.555,0.97402471327333
129,0.558,0.970603871098969
130,0.562,0.962680460981597
131,0.565,0.960285871459544
132,0.569,0.965296942969014
133,0.573,0.980838661063882
134,0.576,0.990833067524651
135,0.580,0.984213275641292
136,0.583,0.96843117404228
137,0.587,0.958455258620291
138,0.590,0.954405721127399
139,0.594,0.958187138557976
140,0.598,0.965444871279256
141,0.601,0.965426380240476
142,0.605,0.964196726161584
143,0.608,0.964751457324994
144,0.612,0.967118310288876
145,0.616,0.965352416085355
146,0.619,0.961284387553682
147,0.623,0.957808072262979
148,0.626,0.958224120635537
149,0.630,0.9628653713694
150,0.634,0.965620536147669
151,0.637,0.957345796293471
152,0.641,0.95281549179229
153,0.644,0.958482995178462
154,0.648,0.962208939492698
155,0.651,0.961561753135387
156,0.655,0.961885346314043
157,0.659,0.968052107747283
158,0.662,0.970650098695919
159,0.666,0.96957761844666
160,0.669,0.964714475247433
161,0.673,0.960877584700515
162,0.677,0.960581728080029
163,0.680,0.957752599146639
164,0.684,0.951382436286815
165,0.687,0.947924612034893
166,0.691,0.952390197900343
167,0.695,0.958159401999806
168,0.698,0.957567688758835
169,0.702,0.95557990208995
170,0.705,0.95503441644593
171,0.709,0.958427522062121
172,0.712,0.961460052422095
173,0.716,0.964215217200364
174,0.720,0.959879068606377
175,0.723,0.953573624382284
176,0.727,0.956596909222868
177,0.730,0.962375358841721
178,0.734,0.960886830219905
179,0.738,0.951262244534742
180,0.741,0.949071056439273
181,0.745,0.955875758710435
182,0.748,0.957780335704809
183,0.752,0.951863203295103
184,0.756,0.950984878953037
185,0.759,0.956301052602383
186,0.763,0.961247405476121
187,0.766,0.963725204672686
188,0.770,0.967044346133755
189,0.773,0.965583554070109
190,0.777,0.959259618807236
191,0.781,0.952519635171805
192,0.784,0.946990814576486
193,0.788,0.949718242796585
194,0.791,0.960239643862593
195,0.795,0.967673041452286
196,0.799,0.959620194063452
197,0.802,0.950254482921214
198,0.806,0.957392023890422
199,0.809,0.970160086168241
200,0.813,0.966526597047906
201,0.817,0.953065120815825
202,0.820,0.946565520684538
203,0.824,0.947425353987824
204,0.827,0.944281877395167
205,0.831,0.938401727063022
206,0.834,0.939566662506183
207,0.838,0.948738217741227
208,0.842,0.957576934278225
209,0.845,0.960526254963688
210,0.849,0.960757392948442
211,0.852,0.95673559201372
212,0.856,0.951918676411444
213,0.860,0.950060327014021
214,0.863,0.951770748101201
215,0.867,0.956411998835065
216,0.870,0.962208939492698
217,0.874,0.960174925226862
218,0.877,0.953712307173136
219,0.881,0.947037042173437
220,0.885,0.944845854077967
221,0.888,0.941961252028236
222,0.892,0.938373990504852
223,0.895,0.942691648060059
224,0.899,0.951419418364375
