Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
F-002-1-LOHC003_02_GS2.D,FID1A,1.225,11411.9141,8081.5234,
F-002-1-LOHC003_02_GS2.D,FID1A,1.309,125.8904,95.5423,n-Butane-FID
F-002-1-LOHC003_02_GS2.D,FID1A,1.410,31.3196,27.4188,
F-002-1-LOHC003_02_GS2.D,FID1A,1.465,62.9655,56.5122,
F-002-1-LOHC003_02_GS2.D,FID1A,1.695,17.1585,13.9077,
F-002-1-LOHC003_02_GS2.D,FID1A,1.765,12.6552,11.8679,
F-002-1-LOHC003_02_GS2.D,FID1A,1.855,33.7423,31.1072,
F-002-1-LOHC003_02_GS2.D,FID1A,2.049,8.3285,7.4115,
F-002-1-LOHC003_02_GS2.D,FID1A,2.318,111.6988,95.3181,
F-002-1-LOHC003_02_GS2.D,FID1A,2.430,5.1092,4.6373,
F-002-1-LOHC003_02_GS2.D,FID1A,2.570,9.1560,4.3914,
F-002-1-LOHC003_02_GS2.D,FID1A,2.677,14.9110,13.2776,
F-002-1-LOHC003_02_GS2.D,FID1A,2.937,15.2937,11.6633,
F-002-1-LOHC003_02_GS2.D,FID1A,3.074,1.7350,1.3869,
F-002-1-LOHC003_02_GS2.D,FID1A,3.146,1.4281,1.2038,
F-002-1-LOHC003_02_GS2.D,FID1A,3.244,1.5886,1.3108,
F-002-1-LOHC003_02_GS2.D,FID1A,3.504,209.1046,177.6298,
F-002-1-LOHC003_02_GS2.D,FID1A,3.593,3.8324,2.6634,
F-002-1-LOHC003_02_GS2.D,FID1A,3.652,2.1943,1.5730,
F-002-1-LOHC003_02_GS2.D,FID1A,3.924,2.0474,1.7611,
F-002-1-LOHC003_02_GS2.D,FID1A,3.972,9.8341,8.3115,
F-002-1-LOHC003_02_GS2.D,FID1A,4.393,1.4243,1.1314,
F-002-1-LOHC003_02_GS2.D,FID1A,4.465,2.7174,2.0456,
F-002-1-LOHC003_02_GS2.D,FID1A,4.912,19.5978,15.8959,
F-002-1-LOHC003_02_GS2.D,FID1A,5.036,7.6811,5.3107,
F-002-1-LOHC003_02_GS2.D,FID1A,5.408,183.0580,144.8909,
F-002-1-LOHC003_02_GS2.D,FID1A,5.526,2.8193,2.1867,
F-002-1-LOHC003_02_GS2.D,FID1A,6.390,2.5322,1.7814,
F-002-1-LOHC003_02_GS2.D,FID1A,6.807,28.8049,21.5272,
F-002-1-LOHC003_02_GS2.D,FID1A,7.122,2.0597,1.5183,
F-002-1-LOHC003_02_GS2.D,FID1A,7.686,11.6236,8.4596,
F-002-1-LOHC003_02_GS2.D,FID1A,7.980,5.5602,3.5720,
F-002-1-LOHC003_02_GS2.D,FID1A,8.174,3.9911,2.9216,
F-002-1-LOHC003_02_GS2.D,FID1A,8.392,1.8689,1.3670,
F-002-1-LOHC003_02_GS2.D,FID1A,8.478,3.4986,2.4583,
F-002-1-LOHC003_02_GS2.D,FID1A,8.664,4.9642,3.5040,
F-002-1-LOHC003_02_GS2.D,FID1A,9.602,113.4858,78.5013,
F-002-1-LOHC003_02_GS2.D,FID1A,9.921,53.0232,38.3617,
F-002-1-LOHC003_02_GS2.D,TCD2B,1.363,169.2013,72.9981,H2
F-002-1-LOHC003_02_GS2.D,TCD2B,2.118,308.7754,126.5731,
F-002-1-LOHC003_02_GS2.D,TCD2B,3.339,67.5961,9.3765,CO2
F-002-1-LOHC003_02_GS2.D,TCD2B,6.593,442.3557,46.0298,ethane
F-002-1-LOHC003_02_GS2.D,TCD2B,7.339,1250.1517,125.9665,
F-002-1-LOHC003_02_GS2.D,TCD2B,18.413,45.7534,62.2831,
F-002-1-LOHC003_02_GS2.D,TCD2B,19.413,167517.1563,10450.7041,N2
F-002-1-LOHC003_02_GS2.D,TCD2B,20.642,10597.5889,601.1535,methane
