,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,39.8001,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,67.2264833996593,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,70.3174613692737,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,67.2264833996593
1,39.5699,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,68.6595253526225,"Thiophen-2-methylamine, N-(2-fluorophenyl)-",C11H10FNS,75.1579934319475,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,54.0886327516155
2,39.4158,No Match,,,"Carbonic acid, monoamide, N-(2-butyl)-N-octadecyl-, 3-chloropropyl ester",C26H52ClNO2,52.027684318708,"Carbonic acid, monoamide, N-(2-pentyl)-N-octadecyl-, 3-chloropropyl ester",C27H54ClNO2,51.2925034575849
3,39.0959,No Match,,,"Hexestrol, O,O'-di(pentafluoropropionyl)-",C24H20F10O4,60.8339496216506,"3-tert-Butylphenol, O-pentafluoropropionyl-",C13H13F5O2,53.9573782421143
4,38.7003,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,51.1206637216163,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,51.1206637216163
5,38.6408888778194,No Match,,,4-Acetamido-4-cyano-1-phenethylpiperidine,C16H21N3O,55.0871050182074,4-Acetamido-4-cyano-1-phenethylpiperidine,C16H21N3O,55.0871050182074
6,38.6350435884856,No Match,,,4-Acetamido-4-cyano-1-phenethylpiperidine,C16H21N3O,53.9130866062627,4-Acetamido-4-cyano-1-phenethylpiperidine,C16H21N3O,53.9130866062627
7,38.483,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,75.1169814809024,"4-tert-Octylphenol, TMS derivative",C17H30OSi,76.4518508513029,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,71.1618227895748
8,38.2652,No Match,,,Cyclobarbital,C12H16N2O3,52.550833520839,Cyclobarbital,C12H16N2O3,51.7782241119919
9,37.8022,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,73.3557539552993,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,73.3557539552993,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,54.2352398730445
10,37.6167,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,74.3920227637779,"4-(4-Hydroxy-2,5-dimethylbenzyl)morpholine, TMS",C16H27NO2Si,58.447927806838
11,37.4079,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,50.6686711528131,"4-tert-Octylphenol, TMS derivative",C17H30OSi,50.6987142199838,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,50.0464599335897
12,37.3802,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,51.8917999545534,"4-tert-Octylphenol, TMS derivative",C17H30OSi,52.7859301716752,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,51.3821627089104
13,37.2541,No Match,,,"Thiophen-2-methylamine, N,N-bis(2-ethylhexyl)-",C21H39NS,80.5024458501166,"Thiophen-2-methylamine, N,N-dioctyl-",C21H39NS,71.4997686960862
14,37.1874,No Match,,,"(R)-2-Amino-2-(4-hydroxyphenyl)acetamide, 3TMS",C17H34N2O2Si3,53.1267265792447,N-(Heptafluorobutyryl)proline propyl ester,C12H14F7NO3,50.8499729550753
15,36.7316,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,55.0348095787633,"4-tert-Octylphenol, TMS derivative",C17H30OSi,55.1360765528849,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,51.4586550946791
16,36.539,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,72.0633677269954,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,72.0633677269954,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,66.177161691847
17,36.2706,No Match,,,p-Cyanophenyl p-(2-propoxyethoxy)benzoate,C19H19NO4,50.1227077512808,p-Cyanophenyl p-(2-propoxyethoxy)benzoate,C19H19NO4,50.1227077512808
18,36.2242,No Match,,,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,52.3773751364879,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,50.5051021460469
19,36.0673,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,77.8760090946634,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,77.8760090946634,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,72.038565880612
20,35.855,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,51.2689371748834,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,50.9850449450098
21,35.6602,No Match,,,2-Imidazolidinethione,C3H6N2S,62.2301341984053,"2-Ethylbutylamine, TMS derivative",C9H23NSi,56.2238343274419
