,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,8.64325999128884,"Heptane, 3-methyl-",C8H18,88.4072668737101,"Heptane, 3-methyl-",C8H18,88.4072668737101,"Heptane, 3-methyl-",C8H18,85.7616215648888
1,8.64294431231382,"Heptane, 3-methyl-",C8H18,88.9547848929043,"Heptane, 3-methyl-",C8H18,88.9547848929043,"Heptane, 3-methyl-",C8H18,86.2709029121376
2,8.4362,"Heptane, 2-methyl-",C8H18,94.7241834988321,"Heptane, 2-methyl-",C8H18,94.7241834988321,"Heptane, 2-methyl-",C8H18,83.6473957061471
3,7.5314,"Heptane, 3-methyl-",C8H18,89.6993148164663,"Heptane, 3-methyl-",C8H18,89.6993148164663,"Hexane, 2,4-dimethyl-",C8H18,87.2036890357388
4,7.4786,"Hexane, 2,5-dimethyl-",C8H18,88.696618782461,"Hexane, 2,5-dimethyl-",C8H18,88.696618782461,"3,6-Heptanedione",C7H12O2,80.136016904482
5,7.2344,"Cyclohexane, methyl-",C7H14,85.4513373930209,"Cyclohexane, methyl-",C7H14,85.4513373930209,"Cyclohexane, methyl-",C7H14,84.6492196218239
6,6.6119,Heptane,C7H16,96.5318575687803,Heptane,C7H16,96.5318575687803,Heptane,C7H16,85.3936580426109
7,6.2337,No Match,,,"2,3-Dimethyl-aziridine",C4H9N,74.1631826323925,N-Methyl-2-isopropoxycarbonylazetidine,C8H15NO2,70.2732317254671
8,5.9227,"Hexane, 3-methyl-",C7H16,98.0981942682583,"Hexane, 3-methyl-",C7H16,98.0981942682583,"Hexane, 3-methyl-",C7H16,86.396347937833
9,5.7348,No Match,,,"Ethane, isocyanato-",C3H5NO,79.8183927166773,"Cyanic acid, ethyl ester",C3H5NO,74.6029539276731
10,5.6798,"Hexane, 2-methyl-",C7H16,95.973708204254,"Hexane, 2-methyl-",C7H16,95.973708204254,"Pentane, 2,4-dimethyl-",C7H16,85.9915677121348
11,5.5833,Benzene,C6H6,96.6377886777078,Benzene,C6H6,96.6377886777078,Fumaronitrile,C4H2N2,91.4907269900724
12,4.702,"Pentane, 2,4-dimethyl-",C7H16,97.4561474788634,"Pentane, 2,4-dimethyl-",C7H16,97.4561474788634,"Butane, 2,2,3-trimethyl-",C7H16,90.5845466518086
13,4.1258,n-Hexane,C6H14,97.5035335644163,n-Hexane,C6H14,97.5035335644163,"Oxalic acid, butyl propyl ester",C9H16O4,91.1588553024325
14,3.8571,"Pentane, 3-methyl-",C6H14,99.1605519997583,"Pentane, 3-methyl-",C6H14,99.1605519997583,Butyl isocyanatoacetate,C7H11NO3,90.7266745226466
15,3.6595,"Pentane, 2-methyl-",C6H14,98.6389013340593,"Pentane, 2-methyl-",C6H14,98.6389013340593,"Pentane, 2-methyl-",C6H14,96.6890231396628
16,3.6146,"Butane, 2,3-dimethyl-",C6H14,93.3511204541729,"Butane, 2,3-dimethyl-",C6H14,93.3511204541729,"Butane, 2,3-dimethyl-",C6H14,90.6858008672691
17,3.2999,"Butane, 2,2-dimethyl-",C6H14,93.6451540750309,"Butane, 2,2-dimethyl-",C6H14,93.6451540750309,"Butane, 2,2-dimethyl-",C6H14,90.3854595136355
18,3.1962,2-Methyl-1-butene,C5H10,96.7856868650154,2-Methyl-1-butene,C5H10,96.7856868650154,2-Pentene,C5H10,94.255260043759
