Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
LOHC007_LQ1_01.D,FID1A,2.437,3.5684,1.4269,
LOHC007_LQ1_01.D,FID1A,2.481,8.2922,1.1970,
LOHC007_LQ1_01.D,FID1A,2.662,13.6742,3.1343,
LOHC007_LQ1_01.D,FID1A,2.748,22.7797,2.0205,
LOHC007_LQ1_01.D,FID1A,3.143,11.0206,1.8615,
LOHC007_LQ1_01.D,FID1A,3.258,13.6247,1.8455,
LOHC007_LQ1_01.D,FID1A,3.407,18.5980,1.7001,
LOHC007_LQ1_01.D,FID1A,3.648,3.4163,0.9442,
LOHC007_LQ1_01.D,FID1A,3.747,37.1030,1.7717,
LOHC007_LQ1_01.D,FID1A,5.021,2030892.5000,71081.0703,
LOHC007_LQ1_01.D,FID1A,6.253,0.6412,0.3415,
LOHC007_LQ1_01.D,FID1A,6.373,7.7917,3.1718,
LOHC007_LQ1_01.D,FID1A,6.548,3.2690,1.5875,
LOHC007_LQ1_01.D,FID1A,6.679,0.1360,0.0855,
LOHC007_LQ1_01.D,FID1A,6.963,0.0604,0.0273,
LOHC007_LQ1_01.D,FID1A,7.152,2.2697,0.7719,
LOHC007_LQ1_01.D,FID1A,7.299,0.2205,0.0999,
LOHC007_LQ1_01.D,FID1A,7.504,0.0466,0.0213,
LOHC007_LQ1_01.D,FID1A,7.572,0.0346,0.0160,
LOHC007_LQ1_01.D,FID1A,7.666,0.2938,0.1030,
LOHC007_LQ1_01.D,FID1A,7.814,0.4342,0.1452,
LOHC007_LQ1_01.D,FID1A,7.968,1.2474,0.3341,
LOHC007_LQ1_01.D,FID1A,8.368,0.0861,0.0387,
LOHC007_LQ1_01.D,FID1A,8.452,0.1821,0.0695,
LOHC007_LQ1_01.D,FID1A,8.632,1.7155,0.5096,
LOHC007_LQ1_01.D,FID1A,8.786,1.0552,0.3227,
LOHC007_LQ1_01.D,FID1A,8.920,0.0968,0.0424,
LOHC007_LQ1_01.D,FID1A,9.099,0.4510,0.1503,
LOHC007_LQ1_01.D,FID1A,9.166,0.3051,0.0754,
LOHC007_LQ1_01.D,FID1A,9.332,0.3984,0.1243,
LOHC007_LQ1_01.D,FID1A,9.398,0.6805,0.2004,
