#"+EI TIC Scan LOHC008_GS1_01.d "
#Point,X(Minutes),Y(Counts)
0,0.095,0.735771762503829
1,0.099,0.737524469431878
2,0.102,0.737253217169204
3,0.106,0.735844791959165
4,0.110,0.735338802161484
5,0.113,0.736256886742843
6,0.117,0.738953760200585
7,0.120,0.740038769251282
8,0.124,0.737753990577218
9,0.128,0.737060210751532
10,0.131,0.742563501850019
11,0.135,0.746647934959132
12,0.138,0.744024090956726
13,0.142,0.741029883287976
14,0.146,0.741259404433316
15,0.149,0.741640200878993
16,0.153,0.738186950919563
17,0.156,0.731045713465698
18,0.160,0.726126658009894
19,0.163,0.726773490328579
20,0.167,0.725412012625541
21,0.171,0.720785074991079
22,0.174,0.721134573098755
23,0.178,0.726298798868899
24,0.181,0.730284120574343
25,0.185,0.728187131928285
26,0.189,0.723779282659829
27,0.192,0.726679595314576
28,0.196,0.735025818781475
29,0.199,0.740539542659296
30,0.203,0.743982359839392
31,0.207,0.741968833428002
32,0.210,0.732673227041743
33,0.214,0.722047441290447
34,0.217,0.715020964409251
35,0.221,0.712444067913846
36,0.224,0.711186918004145
37,0.228,0.713038736335863
38,0.232,0.718145581819672
39,0.235,0.719903505137387
40,0.239,0.721697943182771
41,0.242,0.724754747527523
42,0.246,0.726236202192897
43,0.250,0.724958186724528
44,0.253,0.723914908791166
45,0.257,0.726053628554559
46,0.260,0.728176699148951
47,0.264,0.727571597947601
48,0.268,0.726851736173581
49,0.271,0.730857923437693
50,0.275,0.735317936602817
51,0.278,0.737524469431878
52,0.282,0.73927195997026
53,0.285,0.738009593670892
54,0.289,0.732490653403405
55,0.293,0.729293006537649
56,0.296,0.72955382602099
57,0.300,0.727686358520271
58,0.303,0.724556524720184
59,0.307,0.724389600250846
60,0.311,0.726799572276913
61,0.314,0.726298798868899
62,0.318,0.724671285292854
63,0.321,0.729277357368649
64,0.325,0.733377439646763
65,0.328,0.730524074499017
66,0.332,0.725328550390872
67,0.336,0.721139789488422
68,0.339,0.719569656198711
69,0.343,0.719470544795042
70,0.346,0.717582211735656
71,0.350,0.713889007851553
72,0.354,0.712491015420848
73,0.357,0.711228649121479
74,0.361,0.71209456980617
75,0.364,0.715114859423254
76,0.368,0.71747788394232
77,0.372,0.716262465149953
78,0.375,0.71387857507222
79,0.379,0.714186342062561
80,0.382,0.715495655868931
81,0.386,0.715605200051934
82,0.389,0.717331825031649
83,0.393,0.721134573098755
84,0.397,0.723022906158141
85,0.400,0.720153891841394
86,0.404,0.715083561085253
87,0.407,0.713622971978546
88,0.411,0.713247391922535
89,0.415,0.709538538869432
90,0.418,0.705323696018648
91,0.422,0.706064423351335
92,0.425,0.709533322479765
93,0.429,0.711265163849147
94,0.433,0.711828533933162
95,0.436,0.70993498448411
96,0.440,0.70433779837162
97,0.443,0.698761477817799
98,0.447,0.697321754269758
99,0.450,0.699924732713498
100,0.454,0.706022692234001
101,0.458,0.709371614400094
102,0.461,0.707603258303045
103,0.465,0.704624699803295
104,0.468,0.702929373161581
105,0.472,0.704494290061625
106,0.476,0.708589155950072
107,0.479,0.711343409694149
108,0.483,0.7072015962987
109,0.486,0.70217821304956
110,0.490,0.702219944166895
111,0.494,0.704864653727968
112,0.497,0.706142669196337
113,0.501,0.706758203177021
114,0.504,0.708729998471076
115,0.508,0.710456623450791
116,0.511,0.709757627235438
117,0.515,0.708130113659393
118,0.519,0.709449860245096
119,0.522,0.712037189519835
120,0.526,0.71412374538656
121,0.529,0.715965130938944
122,0.533,0.71495836773325
123,0.537,0.70862567067774
124,0.540,0.701474000444541
125,0.544,0.699309198732814
126,0.547,0.700769787839521
127,0.551,0.703534474362931
128,0.555,0.703967434705277
129,0.558,0.701009741764194
130,0.562,0.698599769738127
131,0.565,0.699856919647829
132,0.569,0.701051472881529
133,0.572,0.700039493286167
134,0.576,0.699992545779166
135,0.580,0.701114069557531
136,0.583,0.702929373161581
137,0.587,0.704802057051967
138,0.590,0.705840118595662
139,0.594,0.703294520438258
140,0.598,0.697201777307422
141,0.601,0.694124107404003
142,0.605,0.696361938571065
143,0.608,0.699314415122481
144,0.612,0.700206417755505
145,0.616,0.701870446059218
