,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,16.724891697037,"4-Heptanone, 3-methyl-",C8H16O,83.2842970605806,"4-Heptanone, 3-methyl-",C8H16O,83.2842970605806,"4-Heptanone, 3-methyl-",C8H16O,81.6457013047107
1,13.5256,Decane,C10H22,92.8389064586559,Decane,C10H22,92.8389064586559,"3-Hexanone, 2,4-dimethyl-",C8H16O,82.9751715689048
2,12.1617,"Benzene, (1-methylethyl)-",C9H12,84.8514395728176,"Benzene, (1-methylethyl)-",C9H12,84.8514395728176,"Benzene, 1-ethyl-2-methyl-",C9H12,69.8284381844944
3,11.6159,"4,4-Dimethyl octane",C10H22,91.0597562829735,"4,4-Dimethyl octane",C10H22,91.0597562829735,Nonane,C9H20,90.7356056163721
4,11.5073,Ethylbenzene,C8H10,87.2354101716345,Ethylbenzene,C8H10,87.2354101716345,p-Xylene,C8H10,82.6669373918182
5,11.3723,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,87.9676709115775,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,87.9676709115775,"Cyclohexane, 1-ethyl-4-methyl-, trans-",C9H18,78.8256093310324
6,11.126,"Cyclohexane, 1,3,5-trimethyl-",C9H18,85.5909718080208,"Cyclohexane, 1,3,5-trimethyl-",C9H18,85.5909718080208,"Cyclohexane, 1,3,5-trimethyl-, (1.alpha.,3.alpha.,5.beta.)-",C9H18,82.9784377021332
7,11.0156,"Octane, 3-methyl-",C9H20,95.8536203059692,"Octane, 3-methyl-",C9H20,95.8536203059692,"Heptane, 3,5-dimethyl-",C9H20,79.5212423236501
8,10.9911,Ethylbenzene,C8H10,86.2203278812308,Ethylbenzene,C8H10,86.2203278812308,p-Xylene,C8H10,73.5742225557086
9,10.8632,"Octane, 2-methyl-",C9H20,97.022099364565,"Octane, 2-methyl-",C9H20,97.022099364565,"Pyrrolidine, 3-methyl-",C5H11N,70.6766756898948
10,10.8163,Ethylbenzene,C8H10,93.8018057205931,Ethylbenzene,C8H10,93.8018057205931,Ethylbenzene,C8H10,72.4194258585524
11,10.6729,"Heptane, 2,3-dimethyl-",C9H20,88.0327710615651,"Heptane, 2,3-dimethyl-",C9H20,88.0327710615651,"Hexane, 2,3,5-trimethyl-",C9H20,80.0971555804294
12,10.5661,"Cyclohexane, 1,3,5-trimethyl-",C9H18,82.5796443018458,"Cyclohexane, 1,3,5-trimethyl-",C9H18,82.5796443018458,"Cyclohexane, 1,1,3-trimethyl-",C9H18,74.7737929965457
13,10.2658,"Cyclohexane, 1-ethyl-1,4-dimethyl-, trans-",C10H20,77.3524407619838,"Cyclohexane, 1-ethyl-1,4-dimethyl-, trans-",C10H20,77.3524407619838,"Cyclohexane, 1-ethyl-1,3-dimethyl-, cis-",C10H20,75.8847215510455
14,10.1892,"Heptane, 2,5-dimethyl-",C9H20,96.8835673203429,"Heptane, 2,5-dimethyl-",C9H20,96.8835673203429,4-Methyl-6-hepten-4-olide,C8H12O2,63.0876282171262
15,10.1417,"Cyclohexane, ethyl-",C8H16,88.7675334649085,"Cyclohexane, ethyl-",C8H16,88.7675334649085,"Cyclohexane, ethyl-",C8H16,85.104111919149
16,10.0301,"Octane, 2-methyl-",C9H20,91.306701931326,"Octane, 2-methyl-",C9H20,91.306701931326,"Octane, 2,3,3-trimethyl-",C11H24,88.1130686093979
17,9.8741,"Heptane, 2,4-dimethyl-",C9H20,94.4932534205864,"Heptane, 2,4-dimethyl-",C9H20,94.4932534205864,"Hexane, 2,3,5-trimethyl-",C9H20,91.3786863874267
18,9.7775,"Hexane, 2,2,5-trimethyl-",C9H20,92.4629651152324,"Hexane, 2,2,5-trimethyl-",C9H20,92.4629651152324,"Hexane, 2,2,4-trimethyl-",C9H20,89.8311338283343
19,9.6922,"Pentane, 2,3,3,4-tetramethyl-",C9H20,86.3601686204072,"Pentane, 2,3,3,4-tetramethyl-",C9H20,86.3601686204072,"Pentane, 3-ethyl-2,4-dimethyl-",C9H20,83.8006023573672
20,9.583,"1,4-Pentadiene, 2,3,3-trimethyl-",C8H14,70.299203230758,"1,4-Pentadiene, 2,3,3-trimethyl-",C8H14,70.299203230758,"1,4-Pentadiene, 2,3,3-trimethyl-",C8H14,68.0768824290375
21,9.4409,"Cyclohexane, 1,4-dimethyl-, cis-",C8H16,97.0046343505237,"Cyclohexane, 1,4-dimethyl-, cis-",C8H16,97.0046343505237,"Cyclohexane, 1,3-dimethyl-, cis-",C8H16,92.2707123407517
22,9.3245,Octane,C8H18,97.0301037415859,Octane,C8H18,97.0301037415859,"Heptane, 2,4-dimethyl-",C9H20,94.3743290040194
