#"+EI TIC Scan LOHC008_01.d "
#Point,X(Minutes),Y(Counts)
0,0.101,1.38238794279555
1,0.108,1.42139993197521
2,0.114,1.44892800356335
3,0.121,1.48300099916143
4,0.127,1.51954349155031
5,0.134,1.52731558881212
6,0.140,1.49075794613618
7,0.147,1.44148921261686
8,0.153,1.37917608193881
9,0.160,1.3144237550441
10,0.166,1.24547479863375
11,0.172,1.16872344438746
12,0.179,1.09748679463104
13,0.185,1.03702199897433
14,0.192,0.986238236748991
15,0.198,0.93169720333276
16,0.205,0.881004342829786
17,0.211,0.831735609310457
18,0.218,0.795087064912162
19,0.224,0.760105052090475
20,0.231,0.722668692765056
21,0.237,0.687489726211587
22,0.244,0.655189314199531
23,0.250,0.625509901848865
24,0.257,0.600163471597378
25,0.263,0.576347220338957
26,0.270,0.552334015348756
27,0.276,0.530638804278744
28,0.282,0.515049158893938
29,0.289,0.497959635090186
30,0.295,0.482657845159521
31,0.302,0.466992448339415
32,0.308,0.457356865769214
33,0.315,0.444176116026958
34,0.321,0.436540371348686
35,0.328,0.429601539875177
36,0.334,0.426101823564302
37,0.341,0.412557466932605
38,0.347,0.399149462884448
39,0.354,0.389029071128325
40,0.360,0.382529597979558
41,0.367,0.375348361913087
42,0.373,0.369500351107903
43,0.379,0.363334184274457
44,0.386,0.356455953949187
45,0.392,0.347411232574329
46,0.399,0.340654204545541
47,0.405,0.329988402455256
48,0.412,0.324231293372431
49,0.418,0.331261026568301
50,0.425,0.324685801984233
51,0.431,0.315125970849333
52,0.438,0.310202127554812
53,0.444,0.311580803677278
54,0.451,0.307475075884
55,0.457,0.29800614647146
56,0.464,0.290703708108509
57,0.470,0.290188598348467
58,0.477,0.292006632795675
59,0.483,0.292097534518035
60,0.489,0.292339939110996
61,0.496,0.291249118442672
62,0.502,0.287810003280037
63,0.509,0.286946436917614
64,0.515,0.2743565483707
65,0.522,0.271387092106928
66,0.528,0.272417311627012
67,0.535,0.273780837462418
68,0.541,0.272523363636432
69,0.548,0.272265808756411
70,0.554,0.271265889810447
71,0.561,0.26484216809698
72,0.567,0.257130671983407
73,0.574,0.254358169451416
74,0.580,0.255630793564461
75,0.586,0.251615967493544
76,0.593,0.247222384246125
77,0.599,0.248040499747369
78,0.606,0.246767875634324
79,0.612,0.246979979653164
80,0.619,0.248904066109793
81,0.625,0.249388875295715
82,0.632,0.248570759794471
83,0.638,0.246722424773143
84,0.645,0.248601060368591
85,0.651,0.245798257262479
86,0.658,0.246283066448402
87,0.664,0.249161620989814
88,0.671,0.250843302853481
89,0.677,0.249267672999234
90,0.684,0.247313285968486
91,0.690,0.244434731427074
92,0.696,0.238677622344249
93,0.703,0.23419313737447
94,0.709,0.234238588235651
95,0.716,0.23407193507799
96,0.722,0.232890212687305
97,0.729,0.233253819576746
98,0.735,0.230435866183575
99,0.742,0.230223762164734
100,0.748,0.228042120828084
101,0.755,0.22707250245624
102,0.761,0.222557716912341
103,0.768,0.221224491651056
104,0.774,0.219557960074449
105,0.781,0.218845896582626
106,0.787,0.221527497392257
107,0.793,0.224254549063068
108,0.800,0.227133103604481
109,0.806,0.225527173176114
110,0.813,0.226163485232636
111,0.819,0.228102721976325
112,0.826,0.226708895566799
113,0.832,0.223830341025387
114,0.839,0.223406132987705
115,0.845,0.224224248488948
116,0.852,0.220769983039254
117,0.858,0.21517952711409
118,0.865,0.216603654097736
119,0.871,0.218633792563785
120,0.878,0.22455755480427
121,0.884,0.225724126907895
122,0.891,0.221951705429939
123,0.897,0.219012549740286
124,0.903,0.218588341702604
125,0.910,0.218330786822583
126,0.916,0.21511892596585
127,0.923,0.216936960413057
128,0.929,0.21755812218252
129,0.936,0.218709543999085
130,0.942,0.217967179933142
131,0.949,0.214618966492868
132,0.955,0.208907308271223
133,0.962,0.209589071188926
134,0.968,0.21289183376802
135,0.975,0.215952191754153
136,0.981,0.214709868215228
137,0.988,0.214558365344627
138,0.994,0.210149631810149
139,1.000,0.2080437419088
140,1.007,0.210058730087788
141,1.013,0.210770793579611
142,1.020,0.209725423772467
143,1.026,0.207392279565217
144,1.033,0.209498169466566
145,1.039,0.208346747650001
146,1.046,0.206422661193373
147,1.052,0.206998372101655
148,1.059,0.2079679904735
149,1.065,0.206195406887472
150,1.072,0.206392360619253
151,1.078,0.210755643292551
152,1.085,0.214043255584585
153,1.091,0.211937365683236
154,1.098,0.207634684158178
155,1.104,0.207468031000517
156,1.110,0.205180337654448
157,1.117,0.203771360957862
158,1.123,0.204589476459105
159,1.130,0.206225707461592
160,1.136,0.206846869231055
161,1.143,0.21037688611605
162,1.149,0.207771036741719
163,1.156,0.209346666595965
164,1.162,0.207074123536956
165,1.169,0.203907713541402
166,1.175,0.200483748665828
167,1.182,0.200498898952888
168,1.188,0.202741141437777
169,1.195,0.205589395405069
170,1.201,0.209589071188926
171,1.207,0.209422418031266
172,1.214,0.207165025259316
173,1.220,0.20572574798861
174,1.227,0.209967828365428
175,1.233,0.21036173582899
176,1.240,0.207619533871118
177,1.246,0.207058973249896
178,1.253,0.20575604856273
179,1.259,0.204044066124943
180,1.266,0.200044390341086
181,1.272,0.199120222830422
182,1.279,0.200574650388188
183,1.285,0.19636287058549
184,1.292,0.194469084702982
185,1.298,0.194620587573583
186,1.305,0.196059864844289
187,1.311,0.193075258293457
188,1.317,0.195287200204226
189,1.324,0.194923593314784
190,1.330,0.192348044514573
191,1.337,0.193529766905258
192,1.343,0.193560067479379
193,1.350,0.194650888147703
194,1.356,0.197226436947914
195,1.363,0.194847841879484
196,1.369,0.197574893550296
197,1.376,0.199392927997503
198,1.382,0.200589800675248
199,1.389,0.199286875988083
200,1.395,0.198423309625659
201,1.402,0.197771847282076
202,1.408,0.19627196886313
203,1.414,0.19624166828901
204,1.421,0.193166160015817
205,1.427,0.191181472410949
206,1.434,0.188984680787239
207,1.440,0.187424201220053
208,1.447,0.185772819930506
209,1.453,0.189484640260221
210,1.460,0.192514697672234
211,1.466,0.188969530500179
212,1.473,0.184894103281022
213,1.479,0.187939310980095
214,1.486,0.195393252213646
215,1.492,0.198786916515101
216,1.499,0.197923350152677
217,1.505,0.192999506858156
218,1.512,0.188105964137756
219,1.518,0.188908929351939
220,1.524,0.189514940834341
221,1.531,0.188666524758978
222,1.537,0.188515021888377
223,1.544,0.191999587912192
224,1.550,0.188954380213119
225,1.557,0.190136102603804
226,1.563,0.195772009390148
227,1.570,0.196847679771412
228,1.576,0.197287038096154
229,1.583,0.194999344750085
230,1.589,0.197271887809094
231,1.596,0.195787159677208
232,1.602,0.195878061399568
233,1.609,0.192408645662814
234,1.615,0.188787727055458
235,1.621,0.191969287338072
236,1.628,0.195362951639526
237,1.634,0.202589638567177
238,1.641,0.200044390341086
239,1.647,0.195196298481865
240,1.654,0.190787564947387
241,1.660,0.189848247149663
242,1.667,0.19390852408176
243,1.673,0.193408564608778
244,1.680,0.191317824994489
245,1.686,0.191954137051012
246,1.693,0.193757021211159
