Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
LOHC009_01_LQ1.D,FID1A,2.425,85.3537,7.5499,
LOHC009_01_LQ1.D,FID1A,2.986,1043706.1250,54219.8516,
LOHC009_01_LQ1.D,FID1A,5.978,0.1641,0.0544,
LOHC009_01_LQ1.D,FID1A,6.073,0.1999,0.0475,
LOHC009_01_LQ1.D,FID1A,6.313,1.5246,0.3696,
LOHC009_01_LQ1.D,FID1A,6.384,2.5512,0.2989,
LOHC009_01_LQ1.D,FID1A,7.106,1.1062,0.1748,
LOHC009_01_LQ1.D,FID1A,7.641,0.3174,0.0572,
LOHC009_01_LQ1.D,FID1A,7.893,0.2023,0.0460,
LOHC009_01_LQ1.D,FID1A,8.117,39.7594,8.4499,
LOHC009_01_LQ1.D,FID1A,8.558,3.6279,0.6565,
LOHC009_01_LQ1.D,FID1A,8.734,1.8218,0.2993,
LOHC009_01_LQ1.D,FID1A,9.269,1.7116,0.3522,
LOHC009_01_LQ1.D,FID1A,9.946,0.6764,0.1329,
LOHC009_01_LQ1.D,FID1A,10.548,3.9754,1.1030,
LOHC009_01_LQ1.D,FID1A,10.710,12.5298,2.7969,
LOHC009_01_LQ1.D,FID1A,10.837,4.3786,1.2463,
LOHC009_01_LQ1.D,FID1A,11.070,3.3649,1.0669,
LOHC009_01_LQ1.D,FID1A,11.329,10.3809,3.5190,
LOHC009_01_LQ1.D,FID1A,11.593,0.9220,0.2670,
LOHC009_01_LQ1.D,FID1A,11.883,1.3379,0.4381,
LOHC009_01_LQ1.D,FID1A,12.138,4.4431,1.6874,
LOHC009_01_LQ1.D,FID1A,12.375,0.6819,0.2218,
LOHC009_01_LQ1.D,FID1A,12.466,3.4373,1.2026,
LOHC009_01_LQ1.D,FID1A,12.660,0.1466,0.0578,
LOHC009_01_LQ1.D,FID1A,12.856,0.2752,0.0734,
LOHC009_01_LQ1.D,FID1A,12.926,4.1170,1.8004,
LOHC009_01_LQ1.D,FID1A,13.023,7.9971,3.7297,
LOHC009_01_LQ1.D,FID1A,13.180,0.0568,0.0250,
LOHC009_01_LQ1.D,FID1A,13.227,0.0951,0.0348,
LOHC009_01_LQ1.D,FID1A,13.330,0.2497,0.0746,
LOHC009_01_LQ1.D,FID1A,13.497,0.1361,0.0521,
LOHC009_01_LQ1.D,FID1A,13.567,0.1515,0.0688,
LOHC009_01_LQ1.D,FID1A,13.692,0.1270,0.0485,
LOHC009_01_LQ1.D,FID1A,13.804,0.0558,0.0256,
LOHC009_01_LQ1.D,FID1A,13.890,0.7789,0.2268,
LOHC009_01_LQ1.D,FID1A,13.960,0.1747,0.0681,
LOHC009_01_LQ1.D,FID1A,14.070,0.8495,0.3656,
LOHC009_01_LQ1.D,FID1A,14.131,0.1460,0.0761,
LOHC009_01_LQ1.D,FID1A,14.272,8.3667,4.2391,
LOHC009_01_LQ1.D,FID1A,14.559,0.2571,0.1432,
LOHC009_01_LQ1.D,FID1A,14.635,70.5515,35.4734,
LOHC009_01_LQ1.D,FID1A,14.739,0.0933,0.0506,
LOHC009_01_LQ1.D,FID1A,14.804,0.3387,0.2066,
LOHC009_01_LQ1.D,FID1A,15.090,0.2416,0.1347,
LOHC009_01_LQ1.D,FID1A,15.232,0.0996,0.0518,
LOHC009_01_LQ1.D,FID1A,15.324,0.1833,0.0944,
LOHC009_01_LQ1.D,FID1A,15.361,0.1653,0.0787,
LOHC009_01_LQ1.D,FID1A,15.494,0.1015,0.0288,
LOHC009_01_LQ1.D,FID1A,15.574,0.0685,0.0385,
LOHC009_01_LQ1.D,FID1A,15.814,0.6987,0.3497,
LOHC009_01_LQ1.D,FID1A,15.865,0.0877,0.0542,
LOHC009_01_LQ1.D,FID1A,15.909,0.2320,0.1226,
LOHC009_01_LQ1.D,FID1A,15.987,0.2127,0.0958,
LOHC009_01_LQ1.D,FID1A,16.083,0.0945,0.0335,
LOHC009_01_LQ1.D,FID1A,16.250,15.7930,8.3291,
LOHC009_01_LQ1.D,FID1A,16.500,6.3774,3.3409,
LOHC009_01_LQ1.D,FID1A,17.102,0.2472,0.1035,
LOHC009_01_LQ1.D,FID1A,17.315,0.0385,0.0295,
LOHC009_01_LQ1.D,FID1A,17.379,0.7036,0.3265,
LOHC009_01_LQ1.D,FID1A,17.587,4.4381,2.4359,
LOHC009_01_LQ1.D,FID1A,17.642,1.2314,0.6273,
LOHC009_01_LQ1.D,FID1A,17.731,1.4575,0.5926,
LOHC009_01_LQ1.D,FID1A,17.908,386.1588,247.0845,
LOHC009_01_LQ1.D,FID1A,17.976,1.1377,0.3918,
LOHC009_01_LQ1.D,FID1A,18.192,0.9707,0.3680,
LOHC009_01_LQ1.D,FID1A,18.401,0.5438,0.2537,
LOHC009_01_LQ1.D,FID1A,18.625,0.0775,0.0445,
LOHC009_01_LQ1.D,FID1A,18.718,0.0646,0.0479,
LOHC009_01_LQ1.D,FID1A,18.796,3.6187,1.7183,
LOHC009_01_LQ1.D,FID1A,18.877,0.1039,0.0560,
LOHC009_01_LQ1.D,FID1A,18.927,0.2396,0.1244,
LOHC009_01_LQ1.D,FID1A,18.974,0.8676,0.3657,
LOHC009_01_LQ1.D,FID1A,19.041,0.1943,0.0995,
LOHC009_01_LQ1.D,FID1A,19.116,0.6508,0.3052,
LOHC009_01_LQ1.D,FID1A,19.206,0.1673,0.0882,
LOHC009_01_LQ1.D,FID1A,19.236,0.2863,0.1189,
LOHC009_01_LQ1.D,FID1A,19.304,0.4105,0.1751,
LOHC009_01_LQ1.D,FID1A,19.411,0.2177,0.0758,
LOHC009_01_LQ1.D,FID1A,19.503,0.1050,0.0609,
LOHC009_01_LQ1.D,FID1A,19.542,0.1476,0.0682,
LOHC009_01_LQ1.D,FID1A,19.735,0.2164,0.0706,
LOHC009_01_LQ1.D,FID1A,19.793,0.0848,0.0371,
