#"+EI TIC Scan LOHC010_01_LQ1.d "
#Point,X(Minutes),Y(Counts)
0,0.101,0.19529531396357
1,0.108,0.185877412924207
2,0.114,0.176964042297668
3,0.121,0.166290821540686
4,0.127,0.156104112253212
5,0.133,0.148398010828784
6,0.140,0.142223519586141
7,0.146,0.137280322803363
8,0.153,0.131820582978886
9,0.159,0.127009525113752
10,0.166,0.121021229618698
11,0.172,0.115645578196358
12,0.179,0.113008806157914
13,0.185,0.112059808476651
14,0.192,0.109122720716289
15,0.198,0.107525041075683
16,0.205,0.104990376382691
17,0.211,0.101945174962438
18,0.218,0.0992723650373638
19,0.224,0.0957346458331644
20,0.230,0.0953622543379855
21,0.237,0.0959268478951922
22,0.243,0.0951340143893275
23,0.250,0.0922329645155952
24,0.256,0.0895961924771512
25,0.263,0.0868332878355015
26,0.269,0.0848632166997164
27,0.276,0.0834937770077683
28,0.282,0.0827429877029721
29,0.289,0.0817279205628878
30,0.295,0.0806347713351046
31,0.302,0.0806347713351046
32,0.308,0.0808269733971324
33,0.315,0.0805987334484744
34,0.321,0.0792593253287181
35,0.328,0.0785145423383603
36,0.334,0.0785866181116207
37,0.340,0.0782802960752639
38,0.347,0.0773012668218098
39,0.353,0.0768447869244937
40,0.360,0.0768688121822472
41,0.366,0.0773012668218098
42,0.373,0.0764784017437532
43,0.379,0.0752290883405724
44,0.386,0.0728325688796632
45,0.392,0.0731328846015816
46,0.399,0.0722319374358263
47,0.405,0.0711568071513582
48,0.412,0.070111708439082
49,0.418,0.0693188749332173
50,0.425,0.0703459547021784
51,0.431,0.0700576516091367
52,0.437,0.0703219294444249
53,0.444,0.0691206665567511
54,0.450,0.0679734604990226
55,0.457,0.0678233026380634
56,0.463,0.0670124501888836
57,0.470,0.0668142418124174
58,0.476,0.067312765910802
59,0.483,0.067360816426309
60,0.489,0.0662616608840874
61,0.496,0.0663577619151013
62,0.502,0.0663817871728548
63,0.509,0.0669523870444999
64,0.515,0.067703176349296
65,0.522,0.0675650311172135
66,0.528,0.0669043365289929
67,0.535,0.0670665070188289
68,0.541,0.0676971700348576
69,0.547,0.0671505954209661
70,0.554,0.0671325764776509
71,0.560,0.0672707217097334
72,0.567,0.06669411552365
73,0.573,0.066808235497979
74,0.580,0.0661955914252654
75,0.586,0.0669643996733766
76,0.593,0.0669944312455685
77,0.599,0.0667481723535953
78,0.606,0.0649282590787695
79,0.612,0.0634326867836156
80,0.619,0.0626158280199974
81,0.625,0.0628440679686554
82,0.632,0.0641774697739734
83,0.638,0.0641294192584664
84,0.644,0.0648621896199474
85,0.651,0.0659193009611004
86,0.657,0.0657391115279493
87,0.664,0.0649642969653997
88,0.670,0.0654327894915925
89,0.677,0.0657150862701959
90,0.683,0.0656309978680587
91,0.690,0.0665739892348826
92,0.696,0.0667902165546639
93,0.703,0.067312765910802
94,0.709,0.0658352125589632
95,0.716,0.0653547074038937
96,0.722,0.0665259387193757
97,0.729,0.0659313135899771
98,0.735,0.0640333182274525
99,0.742,0.0644837918103302
100,0.748,0.0658352125589632
