#"+EI TIC Scan MBPR054_01_GS1.d "
#Point,X(Minutes),Y(Counts)
0,0.095,0.570530951010133
1,0.099,0.575572484610315
2,0.102,0.563137742294076
3,0.106,0.54238889193543
4,0.110,0.536832279051018
5,0.113,0.548351324861961
6,0.117,0.560473897915032
7,0.120,0.564438447557281
8,0.124,0.557711199935984
9,0.128,0.538544007177396
10,0.131,0.519402828524071
11,0.135,0.520094803724096
12,0.138,0.537513848608937
13,0.142,0.550838273325209
14,0.145,0.55356975437794
15,0.149,0.552846562251598
16,0.153,0.553424075388461
17,0.156,0.552497973241059
18,0.160,0.554136861872697
19,0.163,0.558741358504443
20,0.167,0.562024338588772
21,0.171,0.560328218925553
22,0.174,0.557575926588611
23,0.178,0.559017108020242
24,0.181,0.56187345677824
25,0.185,0.559927601704486
26,0.189,0.551608290841027
27,0.192,0.545791536903974
28,0.196,0.548897621072507
29,0.199,0.557284568609653
30,0.203,0.561987918841402
31,0.206,0.558231482041266
32,0.210,0.547440831177718
33,0.214,0.540037216819555
34,0.217,0.539605382672171
35,0.221,0.544896651682889
36,0.224,0.548158820483007
37,0.228,0.548392947430384
38,0.232,0.549313846756733
39,0.235,0.549131748019884
40,0.239,0.540802031514319
41,0.242,0.532253796524536
42,0.246,0.531749122882413
43,0.250,0.532493126292966
44,0.253,0.528559793577034
45,0.257,0.534340127766717
46,0.260,0.553132717409503
47,0.264,0.564521692694126
48,0.267,0.563621604651988
49,0.271,0.556519753914889
50,0.275,0.543934129788117
51,0.278,0.531260057703448
52,0.282,0.529933338334979
53,0.285,0.536561732356271
54,0.289,0.539121520314259
55,0.293,0.541837392903831
56,0.296,0.552373105535791
57,0.300,0.552295063219999
58,0.303,0.53178033980873
59,0.307,0.512602741408035
60,0.311,0.50735309496574
61,0.314,0.505568527344623
62,0.318,0.506343747681493
63,0.321,0.508123112481557
64,0.325,0.515615174797618
65,0.328,0.531759528524518
66,0.332,0.539261996482685
67,0.336,0.527045772650664
68,0.339,0.515656797366041
69,0.343,0.51893977745037
70,0.346,0.522914732734724
71,0.350,0.514725492397586
72,0.354,0.507826551681547
73,0.357,0.514246832860726
74,0.361,0.526390217198008
75,0.364,0.53333078048247
76,0.368,0.535011291682531
77,0.372,0.526166495892737
78,0.375,0.521020905871498
79,0.379,0.528648241534932
80,0.382,0.534012350040389
81,0.386,0.52755564911384
82,0.389,0.51873686742931
83,0.393,0.513934663597557
84,0.397,0.515542335302879
85,0.400,0.516473640271333
86,0.404,0.510870201997446
87,0.407,0.508763059471054
88,0.411,0.512644363976458
89,0.415,0.515916938418682
90,0.418,0.515339425281819
91,0.422,0.514434134418628
92,0.425,0.512665175260669
93,0.429,0.512410237029081
94,0.432,0.515245774502868
95,0.436,0.517753534250327
96,0.440,0.514772317787061
97,0.443,0.512613147050141
98,0.447,0.514985633450227
99,0.450,0.515303005534449
100,0.454,0.509798420860565
101,0.458,0.508289602755247
102,0.461,0.512613147050141
103,0.465,0.517524610124003
104,0.468,0.516510060018703
