,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,39.3035,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,63.3845836938576,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,60.4549317704205
1,38.4726106081321,No Match,,,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,57.4406623417914,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,57.4406623417914
2,37.799,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,51.4943222102281,"Thiophen-2-methylamine, N-(2-fluorophenyl)-",C11H10FNS,69.0413748047584,Methyl 3-bromo-1-adamantaneacetate,C13H19BrO2,50.7156870837745
3,37.654,No Match,,,"Ethane, iodo-",C2H5I,85.780937981984,"Ethane, iodo-",C2H5I,82.6351822211701
4,37.1414,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,69.5826383522012,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,69.5826383522012
5,37.1343,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,56.1177082852006,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,63.2147909110549,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,56.1177082852006
6,36.9325,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,71.8443428305147,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,71.8443428305147,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,67.9152401230274
7,36.2548,No Match,,,"1,2,4-Triazol-3-amine, 5-(1,3,5-trimethyl-4-pyrazolyl)amino-",C8H13N7,51.1238538100931,"1,2,4-Triazol-3-amine, 5-(1,3,5-trimethyl-4-pyrazolyl)amino-",C8H13N7,51.1238538100931
8,35.8624677078972,No Match,,,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,67.9200551413328,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,67.9200551413328
9,35.6084,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,51.4392843966965,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,51.7102111794322,"4-tert-Octylphenol, TMS derivative",C17H30OSi,50.9784548065016
10,35.1784,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,71.7339241255809,"4-tert-Octylphenol, TMS derivative",C17H30OSi,73.0771553858901,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,67.2160302002369
11,35.1422,No Match,,,"Vanadium, bis[(1,2,3,3a,7a-.eta.)-1H-inden-1-yl]-",C18H14V,66.809646288066,"Vanadium, bis[(1,2,3,3a,7a-.eta.)-1H-inden-1-yl]-",C18H14V,66.809646288066
12,34.9945,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,74.2150607143223,"Caprolactone oxime, (NB)-O-[(diethylboryloxy)(ethyl)boryl]-",C12H25B2NO2,74.3158659716764,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,69.9137330802511
13,34.7727,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,65.0016066101385,"4-tert-Amylphenol, TMS derivative",C14H24OSi,67.9649690130718,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,63.4933366825127
14,34.7672,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,76.3015882372938,"4-tert-Octylphenol, TMS derivative",C17H30OSi,76.9341917029493,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,72.6835640480523
15,34.4856,No Match,,,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,56.4731236847972,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,54.0861736655288
16,34.3528,No Match,,,"4-(Trifluoromethoxy)-1H-indole-2-carboxylic acid, N-trimethylsilyl-, trimethylsilyl ester",C16H22F3NO3Si2,52.2283211027247,"7-(4-Methoxyphenyl)-5-phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ol, TMS",C22H23N3O2Si,50.9932703988847
17,34.3447686594514,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,72.8850246942155,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,72.8850246942155
18,33.6821287807833,No Match,,,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,50.9412510349039,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,50.9412510349039
19,33.4349,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,76.8771969623858,"4-tert-Octylphenol, TMS derivative",C17H30OSi,77.0797643931956,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,61.5942847011612
20,33.2127598775779,No Match,,,"Cyclopentylmethylamine, N,N-didecyl-",C26H53N,57.6215255103076,"Cyclopentylmethylamine, N,N-didecyl-",C26H53N,57.6215255103076
21,33.0631,No Match,,,"Ethylamine, N,N-didecyl-2-(2-thiophenyl)-",C26H49NS,74.6784921375075,1-Amino-3-(4-methylphenyl)phenazine-2-carbonitrile,C20H14N4,63.9441880767745
22,32.9958,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,69.1746821562094,"4-tert-Octylphenol, TMS derivative",C17H30OSi,72.9153219578346,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,61.0959259898571
23,32.6129068057896,No Match,,,"3-(p-Nitrophenyl)-2-oxo-1,3-oxazolidine",C9H8N2O4,52.7319566551392,"3-(p-Nitrophenyl)-2-oxo-1,3-oxazolidine",C9H8N2O4,52.7319566551392
24,32.5124,No Match,,,"Benzeneethanamine, .beta.-hydroxy-.alpha.-methyl-N-octadecyl-",C27H49NO,62.9177992373056,"2-Butylamine, N-octadecyl-",C22H47N,51.3388502918473
25,32.3532,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,51.2491938137657,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,51.2491938137657
26,32.1958,No Match,,,"4-(5-Methyl-1,3-benzoxazol-2-yl)phenylamine, N-TMS",C17H20N2OSi,68.2558259074637,"4-(6-Methyl-1,3-benzoxazol-2-yl)phenylamine, 1TMS derivative",C17H20N2OSi,50.9894044757121
