Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR038_02_LQ1.D,FID1A,2.353,0.1485,0.0522,
MBPR038_02_LQ1.D,FID1A,2.446,0.5569,0.3616,
MBPR038_02_LQ1.D,FID1A,2.497,0.3135,0.1841,
MBPR038_02_LQ1.D,FID1A,2.674,4.1642,2.6588,
MBPR038_02_LQ1.D,FID1A,2.77,1.1554,0.6962,
MBPR038_02_LQ1.D,FID1A,2.875,0.1,0.0469,
MBPR038_02_LQ1.D,FID1A,2.945,0.0855,0.04,
MBPR038_02_LQ1.D,FID1A,3.163,6.1125,2.9054,
MBPR038_02_LQ1.D,FID1A,3.284,2.2362,1.1403,
MBPR038_02_LQ1.D,FID1A,3.435,1.9201,0.9241,
MBPR038_02_LQ1.D,FID1A,3.687,0.4388,0.1766,
MBPR038_02_LQ1.D,FID1A,3.777,2.9801,0.8141,
MBPR038_02_LQ1.D,FID1A,4.388,88445.0547,15335.9707,
MBPR038_02_LQ1.D,FID1A,4.458,2.2848,1.8029,
MBPR038_02_LQ1.D,FID1A,4.604,0.5307,0.2812,
MBPR038_02_LQ1.D,FID1A,4.647,0.0786,0.0945,
MBPR038_02_LQ1.D,FID1A,4.692,0.6738,0.4433,
MBPR038_02_LQ1.D,FID1A,4.847,1.0362,0.6064,
MBPR038_02_LQ1.D,FID1A,4.932,0.0599,0.0234,
MBPR038_02_LQ1.D,FID1A,5.095,0.0421,0.0364,
MBPR038_02_LQ1.D,FID1A,5.259,0.0872,0.0527,
MBPR038_02_LQ1.D,FID1A,5.34,0.6728,0.3151,
MBPR038_02_LQ1.D,FID1A,5.464,1.073,0.5605,
MBPR038_02_LQ1.D,FID1A,5.511,0.8052,0.4037,
MBPR038_02_LQ1.D,FID1A,5.569,0.0841,0.0324,
MBPR038_02_LQ1.D,FID1A,5.69,0.1651,0.073,
MBPR038_02_LQ1.D,FID1A,6.138,0.3591,0.1578,
MBPR038_02_LQ1.D,FID1A,6.261,2.7202,1.1542,
MBPR038_02_LQ1.D,FID1A,6.349,0.2863,0.1311,
MBPR038_02_LQ1.D,FID1A,6.449,1.3649,0.6009,
MBPR038_02_LQ1.D,FID1A,6.592,0.3267,0.1521,
MBPR038_02_LQ1.D,FID1A,6.628,0.3223,0.1137,
MBPR038_02_LQ1.D,FID1A,6.823,0.1536,0.0507,
MBPR038_02_LQ1.D,FID1A,6.882,0.1206,0.0458,
MBPR038_02_LQ1.D,FID1A,7.085,0.6988,0.2742,
MBPR038_02_LQ1.D,FID1A,7.241,0.3061,0.1294,
MBPR038_02_LQ1.D,FID1A,7.45,0.087,0.0379,
MBPR038_02_LQ1.D,FID1A,7.522,0.0629,0.029,
MBPR038_02_LQ1.D,FID1A,7.617,0.3239,0.1493,
MBPR038_02_LQ1.D,FID1A,7.769,0.613,0.2827,
MBPR038_02_LQ1.D,FID1A,7.928,1.0505,0.4822,
MBPR038_02_LQ1.D,FID1A,7.99,0.0343,0.026,
MBPR038_02_LQ1.D,FID1A,8.044,0.1039,0.0465,
MBPR038_02_LQ1.D,FID1A,8.117,0.0756,0.0285,
MBPR038_02_LQ1.D,FID1A,8.335,0.155,0.0663,
MBPR038_02_LQ1.D,FID1A,8.424,0.3312,0.125,
MBPR038_02_LQ1.D,FID1A,8.519,0.0502,0.0291,
MBPR038_02_LQ1.D,FID1A,8.607,1.5994,0.6795,
MBPR038_02_LQ1.D,FID1A,8.763,1.5376,0.6486,
MBPR038_02_LQ1.D,FID1A,8.902,0.1609,0.088,
MBPR038_02_LQ1.D,FID1A,8.974,0.0557,0.0332,
MBPR038_02_LQ1.D,FID1A,9.04,0.0992,0.0352,
MBPR038_02_LQ1.D,FID1A,9.15,0.1134,0.0623,
MBPR038_02_LQ1.D,FID1A,9.199,0.0717,0.0397,
MBPR038_02_LQ1.D,FID1A,9.29,0.2753,0.1046,
MBPR038_02_LQ1.D,FID1A,9.389,0.3503,0.1881,
MBPR038_02_LQ1.D,FID1A,9.577,0.0894,0.0444,
MBPR038_02_LQ1.D,FID1A,9.643,0.0981,0.0512,
MBPR038_02_LQ1.D,FID1A,9.766,0.3237,0.1167,
MBPR038_02_LQ1.D,FID1A,9.917,0.4237,0.1836,
MBPR038_02_LQ1.D,FID1A,10.004,0.3498,0.1275,
MBPR038_02_LQ1.D,FID1A,10.105,0.5023,0.2391,
MBPR038_02_LQ1.D,FID1A,10.226,0.2321,0.0732,
MBPR038_02_LQ1.D,FID1A,10.425,0.1043,0.0262,
MBPR038_02_LQ1.D,FID1A,10.534,0.2489,0.0954,
MBPR038_02_LQ1.D,FID1A,10.666,0.4387,0.1667,
MBPR038_02_LQ1.D,FID1A,10.719,0.8881,0.4031,
MBPR038_02_LQ1.D,FID1A,10.853,0.7212,0.3584,
MBPR038_02_LQ1.D,FID1A,10.961,0.1522,0.0529,
MBPR038_02_LQ1.D,FID1A,11.055,0.0751,0.0333,
MBPR038_02_LQ1.D,FID1A,11.194,0.0433,0.0193,
MBPR038_02_LQ1.D,FID1A,11.35,0.8543,0.4224,
MBPR038_02_LQ1.D,FID1A,11.395,0.2867,0.1103,
MBPR038_02_LQ1.D,FID1A,11.66,0.1629,0.0765,
MBPR038_02_LQ1.D,FID1A,11.701,0.0537,0.0343,
MBPR038_02_LQ1.D,FID1A,11.763,0.1845,0.0989,
MBPR038_02_LQ1.D,FID1A,11.816,0.1375,0.0826,
MBPR038_02_LQ1.D,FID1A,11.909,0.4249,0.1861,
MBPR038_02_LQ1.D,FID1A,12.032,0.2662,0.1348,
MBPR038_02_LQ1.D,FID1A,12.112,0.1467,0.0686,
MBPR038_02_LQ1.D,FID1A,12.425,0.3649,0.0947,
MBPR038_02_LQ1.D,FID1A,12.482,0.1707,0.1033,
MBPR038_02_LQ1.D,FID1A,12.539,0.4894,0.1627,
MBPR038_02_LQ1.D,FID1A,12.657,0.2562,0.1423,
MBPR038_02_LQ1.D,FID1A,12.708,0.0763,0.034,
MBPR038_02_LQ1.D,FID1A,12.798,0.072,0.0274,
MBPR038_02_LQ1.D,FID1A,12.849,0.0736,0.0454,
MBPR038_02_LQ1.D,FID1A,12.88,0.0853,0.0602,
MBPR038_02_LQ1.D,FID1A,12.991,0.2107,0.1078,
MBPR038_02_LQ1.D,FID1A,13.043,0.0675,0.0306,
MBPR038_02_LQ1.D,FID1A,13.141,0.1636,0.0759,
MBPR038_02_LQ1.D,FID1A,13.235,0.0332,0.0171,
MBPR038_02_LQ1.D,FID1A,13.352,0.1544,0.0557,
MBPR038_02_LQ1.D,FID1A,13.419,0.3254,0.1076,
MBPR038_02_LQ1.D,FID1A,13.512,0.5421,0.2415,
MBPR038_02_LQ1.D,FID1A,13.584,0.6113,0.2931,
MBPR038_02_LQ1.D,FID1A,13.692,0.1598,0.0708,
MBPR038_02_LQ1.D,FID1A,13.805,0.077,0.0277,
MBPR038_02_LQ1.D,FID1A,13.941,0.1793,0.072,
MBPR038_02_LQ1.D,FID1A,14.023,0.1307,0.0525,
MBPR038_02_LQ1.D,FID1A,14.093,0.1964,0.081,
MBPR038_02_LQ1.D,FID1A,14.153,0.1272,0.0747,
MBPR038_02_LQ1.D,FID1A,14.197,0.0533,0.0328,
MBPR038_02_LQ1.D,FID1A,14.263,0.1614,0.0768,
MBPR038_02_LQ1.D,FID1A,14.336,0.0931,0.0486,
MBPR038_02_LQ1.D,FID1A,14.426,0.1968,0.0674,
MBPR038_02_LQ1.D,FID1A,14.584,0.0817,0.022,
MBPR038_02_LQ1.D,FID1A,14.654,0.1754,0.0781,
MBPR038_02_LQ1.D,FID1A,14.695,0.2411,0.0965,
MBPR038_02_LQ1.D,FID1A,14.786,0.229,0.1289,
MBPR038_02_LQ1.D,FID1A,14.824,0.2151,0.1142,
MBPR038_02_LQ1.D,FID1A,14.912,0.0995,0.052,
MBPR038_02_LQ1.D,FID1A,14.967,0.2031,0.0985,
MBPR038_02_LQ1.D,FID1A,15.03,0.1562,0.0709,
MBPR038_02_LQ1.D,FID1A,15.126,0.1357,0.0574,
MBPR038_02_LQ1.D,FID1A,15.195,0.2292,0.0684,
MBPR038_02_LQ1.D,FID1A,15.302,0.0374,0.0223,
MBPR038_02_LQ1.D,FID1A,15.396,0.1067,0.0407,
MBPR038_02_LQ1.D,FID1A,15.459,0.1336,0.0645,
MBPR038_02_LQ1.D,FID1A,15.494,0.1261,0.0711,
MBPR038_02_LQ1.D,FID1A,15.556,0.0908,0.0586,
