#"+EI TIC Scan MBPR038_02_LQ1.d "
#Point,X(Minutes),Y(Counts)
0,0.101,0.064495088433673
1,0.108,0.058238627176868
2,0.114,0.0535101336598573
3,0.121,0.0489731245910561
4,0.127,0.0447428814239784
5,0.134,0.0412355897450387
6,0.140,0.0378103628296173
7,0.147,0.0348872941100107
8,0.153,0.0320228430786315
9,0.160,0.0281579835015046
10,0.166,0.0250903244842703
11,0.173,0.0229625024016155
12,0.179,0.0225267775857918
13,0.185,0.021981633085277
14,0.192,0.0212098335236161
15,0.198,0.0202152867466911
16,0.205,0.0189589142956838
17,0.211,0.0175149652423487
18,0.218,0.0162331917931094
19,0.224,0.0151722116361934
20,0.231,0.0143828267680643
21,0.237,0.0137751567334402
22,0.244,0.0137302165057992
23,0.250,0.0135973497458171
24,0.257,0.0131362239317615
25,0.263,0.0125969412000694
26,0.270,0.0125949872771285
27,0.276,0.0126438353506513
28,0.282,0.0123468390636325
29,0.289,0.0116082561919671
30,0.295,0.010799332094429
31,0.302,0.00990443538749057
32,0.308,0.00905057106231136
33,0.315,0.0090408014476068
34,0.321,0.00891379645644742
35,0.328,0.00929285750698464
36,0.334,0.0092440094334618
37,0.341,0.00921665451228901
38,0.347,0.00903689360172497
39,0.354,0.00857576778766938
40,0.360,0.00834911272652341
41,0.367,0.00792901929422701
42,0.373,0.00774339661484023
43,0.380,0.00730767179901652
44,0.386,0.00707710889198872
45,0.392,0.00713377265727521
46,0.399,0.00690516367318833
47,0.405,0.00630530933032789
48,0.412,0.00583245997862682
49,0.418,0.00599463558272264
50,0.425,0.00597900419919533
51,0.431,0.00596923458449076
52,0.438,0.00627209264033236
53,0.444,0.0061196866509411
54,0.451,0.00629358579268241
55,0.457,0.00586763059156326
56,0.464,0.00525800663399825
57,0.470,0.00507238395461146
58,0.477,0.00525214486517551
59,0.483,0.0052951311698756
60,0.489,0.00494537896345209
61,0.496,0.00510950849048882
62,0.502,0.00530294686163926
63,0.509,0.00521892817517998
64,0.515,0.00478906512817901
65,0.522,0.00442172761528727
66,0.528,0.00432403146824159
67,0.535,0.00413645486591389
68,0.541,0.00421070393766861
69,0.548,0.00434943246647347
70,0.554,0.00462493560114227
71,0.561,0.0050196280352068
72,0.567,0.00481251220346997
73,0.574,0.00409737640709562
74,0.580,0.00378084089066764
75,0.587,0.00389416842124062
76,0.593,0.00378474873654946
77,0.599,0.00422633532119592
78,0.606,0.00442758938411001
79,0.612,0.00433380108294616
80,0.619,0.0039488782635862
81,0.625,0.00359912605716268
82,0.632,0.00374567027773119
83,0.638,0.00410714602180019
84,0.645,0.00424392062766414
85,0.651,0.00398014103064081
86,0.658,0.00371049966479475
87,0.664,0.00413059309709115
88,0.671,0.00439046484823265
89,0.677,0.00435920208117803
90,0.684,0.00425955201119145
91,0.690,0.00375543989243576
92,0.696,0.00311846101369796
93,0.703,0.00318880223957084
94,0.709,0.00378865658243129
95,0.716,0.0046151659864377
96,0.722,0.00475389451524256
97,0.729,0.00424587455060505
98,0.735,0.00378670265949038
99,0.742,0.004224381398255
100,0.748,0.00588521589803148
101,0.755,0.00698136666788396
102,0.761,0.00573085598569932
103,0.768,0.00380624188889951
104,0.774,0.00271790681081069
105,0.781,0.00308329040076151
106,0.787,0.00395083218652711
107,0.794,0.00374957812361302
108,0.800,0.00323960423603459
109,0.806,0.00236815460438717
110,0.813,0.00235056929791895
111,0.819,0.00263193420141049
112,0.826,0.00336270138131215
113,0.832,0.00333534646013936
114,0.839,0.00288594418372925
115,0.845,0.00261434889494227
116,0.852,0.0026612430455242
117,0.858,0.00315753947251623
118,0.865,0.00323960423603459
119,0.871,0.00305593547958873
120,0.878,0.00267492050611059
121,0.884,0.00252056059377842
122,0.891,0.00255573120671487
123,0.897,0.00265928912258328
124,0.903,0.00297582463901127
125,0.910,0.00314386201192983
126,0.916,0.0028058333431518
127,0.923,0.00234666145203712
128,0.929,0.00182887187269504
129,0.936,0.00180347087446317
130,0.942,0.0022997673014552
131,0.949,0.00308719824664334
132,0.955,0.00335097784366666
133,0.962,0.00330408369308474
134,0.968,0.0025459615920103
135,0.975,0.00197541609326356
136,0.981,0.00175462280094033
137,0.988,0.00196369255561807
138,0.994,0.00236424675850534
139,1.001,0.00265147343081963
140,1.007,0.00241504875496909
141,1.013,0.00179760910564043
142,1.020,0.00184254933328144
143,1.026,0.00195587686385442
144,1.033,0.00183473364151778
145,1.039,0.00196369255561807
146,1.046,0.00184645717916326
147,1.052,0.00220597900029135
148,1.059,0.0023290761455689
149,1.065,0.00219034761676404
150,1.072,0.00193633763444529
151,1.078,0.00209265146971837
152,1.085,0.00191093663621341
153,1.091,0.00194806117209077
154,1.098,0.00199886316855452
155,1.104,0.0018366875644587
156,1.110,0.00178393164505403
157,1.117,0.00153187558567619
158,1.123,0.00158853935096268
159,1.130,0.00188944348386336
160,1.136,0.00222942607558231
161,1.143,0.00270227542728338
162,1.149,0.00304811978782507
163,1.156,0.00281169511197454
164,1.162,0.00299731779136132
165,1.169,0.00310869139899339
166,1.175,0.00289766772137473
167,1.182,0.00230758299321885
168,1.188,0.00207115831736832
169,1.195,0.00189139740680427
170,1.201,0.00188358171504062
171,1.208,0.00188358171504062
172,1.214,0.00222942607558231
173,1.220,0.001852318947986
174,1.227,0.0017800237991722
175,1.233,0.0017214061109448
176,1.240,0.00231735260792342
177,1.246,0.00194415332620894
178,1.253,0.0017937012597586
179,1.259,0.00193633763444529
180,1.266,0.00222551822970048
181,1.272,0.00270227542728338
182,1.279,0.00297387071607036
183,1.285,0.00306570509429329
184,1.292,0.00244826544496462
185,1.298,0.00177220810740855
186,1.305,0.00178393164505403
187,1.311,0.00216103877265034
188,1.317,0.00248929782672381
189,1.324,0.00237010852732808
190,1.330,0.00159635504272634
191,1.337,0.00118407730219359
192,1.343,0.000949606549283964
193,1.350,0.00127591168041652
194,1.356,0.00157290796743537
195,1.363,0.00193242978856346
196,1.369,0.00185622679386783
197,1.376,0.0016920972668311
198,1.382,0.00155532266096715
199,1.389,0.00135211467511215
200,1.395,0.00127786560335743
201,1.402,0.00109419684691156
202,1.408,0.001287635218062
203,1.415,0.00174289926329485
204,1.421,0.00172336003388571
205,1.427,0.00130717444747114
206,1.434,0.00132280583099844
207,1.440,0.00152601381685345
208,1.447,0.00193047586562255
209,1.453,0.00222551822970048
210,1.460,0.00195587686385442
211,1.466,0.00109224292397065
212,1.473,0.000177806987623129
213,1.479,0.000416185586414577
214,1.486,0.000760076024015354
215,1.492,0.000869495708706511
216,1.499,0.00129740483276657
217,1.505,0.00221184076911409
218,1.512,0.00253423805436482
219,1.518,0.00212977600559572
220,1.524,0.00210632893030476
221,1.531,0.00240332521732361
222,1.537,0.00216103877265034
223,1.544,0.0019676004014999
224,1.550,0.001649110962131
225,1.557,0.00120557045454363
226,1.563,0.000820647635183673
227,1.570,0.000699504412847036
228,1.576,0.000758122101074441
229,1.583,0.000848002556356462
230,1.589,0.00149670497273975
231,1.596,0.00223528784440505
232,1.602,0.00251469882495568
233,1.609,0.00244044975320097
234,1.615,0.00183473364151778
235,1.622,0.00177220810740855
236,1.628,0.00151038243332614
237,1.634,0.00107856546338426
238,1.641,0.000418139509355491
239,1.647,0.000466987582878328
240,1.654,0.00101799385221594
241,1.660,0.00157290796743537
242,1.667,0.00187381210033605
243,1.673,0.00205552693384101
244,1.680,0.00196369255561807
245,1.686,0.00175462280094033
246,1.693,0.00186990425445423
247,1.699,0.00186990425445423
248,1.706,0.00173312964859028
249,1.712,0.00143613336157143
250,1.719,0.00127981952629835
251,1.725,0.000928113396933916
252,1.731,0.000250102136436929
253,1.738,0.000410323817591836
254,1.744,0.000973053624574926
255,1.751,0.001287635218062
256,1.757,0.0015338295086171
257,1.764,0.00169014334389018
258,1.770,0.00142831766980777
259,1.777,0.00106488800279786
260,1.783,0.00103753308162507
261,1.790,0.00118993907101633
262,1.796,0.000906620244583867
263,1.803,0.000685826952260641
264,1.809,0.000832371172829154
265,1.816,0.00136579213569854
266,1.822,0.00173312964859028
267,1.829,0.00201254062914091
268,1.835,0.00180347087446317
269,1.841,0.00167646588330379
270,1.848,0.00169600511271292
271,1.854,0.00195392294091351
272,1.861,0.00172726787976754
273,1.867,0.00142831766980777
274,1.874,0.00134820682923032
275,1.880,0.0009691457786931
276,1.887,0.000865587862824684
277,1.893,0.000720997565197084
278,1.900,0.000681919106378814
279,1.906,0.000973053624574926
280,1.913,0.00125246460512556
281,1.919,0.00117821553337084
282,1.926,0.00113718315161166
283,1.932,0.00173508357153119
284,1.938,0.0018230101038723
285,1.945,0.00168232765212653
286,1.951,0.00144785689921691
287,1.958,0.00135406859805306
288,1.964,0.00132671367688027
289,1.971,0.0011860312251345
290,1.977,0.000998454622806802
291,1.984,0.00115086061219806
292,1.990,0.00129349698688474
293,1.997,0.00160221681154908
294,2.003,0.00146935005156696
295,2.010,0.00162370996389912
296,2.016,0.00178783949093586
297,2.023,0.00132085190805753
298,2.029,0.000549052346396695
299,2.036,0.000552960192278523
300,2.042,0.000873403554588338
301,2.048,0.00115476845807988
302,2.055,0.00138533136510768
303,2.061,0.00129740483276657
304,2.068,0.00097500754751584
305,2.074,0.00079133879106997
306,2.081,0.000953514395165792
307,2.087,0.000842140787533722
308,2.094,0.000695596566965209
309,2.100,0.0010707497716206
310,2.107,0.00100822423751137
311,2.113,0.00118798514807541
312,2.120,0.00125051068218464
313,2.126,0.000695596566965209
314,2.133,0.000636978878737803
315,2.139,0.000765937792838095
316,2.145,0.000890988861056559
317,2.152,0.00108638115514791
318,2.158,0.00101017816045228
319,2.165,0.00101603992927502
320,2.171,0.000855818248120116
321,2.178,0.000805016251656365
322,2.184,0.000678011260496987
323,2.191,0.000720997565197084
324,2.197,0.000963284009870359
325,2.204,0.000871449631647424
326,2.210,0.000525605271105733
327,2.217,0.000558821961101263
328,2.223,0.000697550489906122
329,2.230,0.00117626161042993
330,2.236,0.00123292537571642
331,2.243,0.00125051068218464
332,2.249,0.00106293407985695
333,2.255,0.00141464020922138
334,2.262,0.00154359912332167
335,2.268,0.00135211467511215
336,2.275,0.00052951311698756
337,2.281,0.000109419684691156
338,2.288,0.000463079736996501
339,2.294,0.00147325789744878
340,2.301,0.00477734159053352
341,2.307,0.0138884842640132
342,2.314,0.0324546600485733
343,2.320,0.0595926957749211
344,2.327,0.0858729593302077
345,2.333,0.101803293067476
346,2.340,0.100269463558858
347,2.346,0.0812851482649428
348,2.352,0.0538970104021582
349,2.359,0.029504236407794
350,2.365,0.0136305664358126
351,2.372,0.00550420092455335
352,2.378,0.00259285574259222
353,2.385,0.00132671367688027
354,2.391,0.000996500699865889
355,2.398,0.000986731085161321
356,2.404,0.00159244719684451
357,2.411,0.00190507486739067
358,2.417,0.00220402507735044
359,2.424,0.00349166029541244
360,2.430,0.00710055596727968
361,2.437,0.0108774890120655
362,2.443,0.0125676323559557
363,2.450,0.0113014902902437
364,2.456,0.00827290973182779
365,2.462,0.00511927810519339
366,2.469,0.00352292306246705
367,2.475,0.00317903262486628
368,2.482,0.00397232533887716
369,2.488,0.0043396628517689
370,2.495,0.00506456826284781
371,2.501,0.00468550721231059
372,2.508,0.00356981721304898
373,2.514,0.00241895660085092
374,2.521,0.00141854805510321
375,2.527,0.00134234506040758
376,2.534,0.00120361653160272
377,2.540,0.00101603992927502
378,2.547,0.000642840647560544
379,2.553,0.000453310122291934
380,2.559,0.000636978878737803
381,2.566,0.001084427232207
382,2.572,0.00119775476277998
383,2.579,0.00079133879106997
384,2.585,0.000365383589950826
385,2.592,0.000169991295859475
386,2.598,0.000468941505819242
387,2.605,0.000678011260496987
388,2.611,0.000666287722851506
389,2.618,0.00018953052526861
390,2.624,0
391,2.631,0.000185622679386783
392,2.637,0.00059594649697862
393,2.644,0.00290548341313838
394,2.650,0.0127278540371106
395,2.657,0.0347173028141512
396,2.663,0.0647744994142237
397,2.669,0.0857166454949346
398,2.676,0.083878004007535
399,2.682,0.0637975379437669
400,2.689,0.0400397889051996
401,2.695,0.0218116417894175
402,2.702,0.0105961241085739
403,2.708,0.00478515728229718
404,2.715,0.00277066273021535
405,2.721,0.00211609854500933
406,2.728,0.00158267758213994
407,2.734,0.00135797644393489
408,2.741,0.00269836758140155
409,2.747,0.00597900419919533
410,2.754,0.0121573085383638
411,2.760,0.0193516528068074
412,2.766,0.023111000545125
413,2.773,0.021754978024131
414,2.779,0.0168135069065607
415,2.786,0.0109126596250019
416,2.792,0.00632680248267794
417,2.799,0.00366360551421283
418,2.805,0.0024306801384964
419,2.812,0.00219425546264587
420,2.818,0.00174876103211759
421,2.825,0.0015045206645034
422,2.831,0.0008968506298793
423,2.838,0.000424001278178231
424,2.844,0.00033412082289621
425,2.851,0.000722951488137998
426,2.857,0.00167255803742196
427,2.864,0.00215908484970943
428,2.870,0.00249320567260563
429,2.876,0.00284100395608824
430,2.883,0.00294456187195666
431,2.889,0.00287031280020194
432,2.896,0.00233298399145073
433,2.902,0.00225287315087327
434,2.909,0.00156118442978989
435,2.915,0.00122120183807094
436,2.922,0.00132475975393936
437,2.928,0.00204966516501827
438,2.935,0.00272181465669252
439,2.941,0.0032259267754482
440,2.948,0.00280974118903362
441,2.954,0.00186795033151331
442,2.961,0.00131889798511662
443,2.967,0.00118407730219359
444,2.973,0.000994546776924975
445,2.980,0.000683873029319728
446,2.986,0.00033412082289621
447,2.993,0.000101603992927502
448,2.999,0.000257917828200583
449,3.006,0.000803062328715451
450,3.012,0.000971099701634013
451,3.019,0.00109224292397065
452,3.025,0.000912482013406608
453,3.032,0.000758122101074441
454,3.038,0.000711227950492517
455,3.045,0.000531467039928474
456,3.051,0.000558821961101263
457,3.058,0.000803062328715451
458,3.064,0.000799154482833624
459,3.071,0.000933975165756656
460,3.077,0.000908574167524781
461,3.083,0.0012290175298346
462,3.090,0.00111178215337979
463,3.096,0.00127200383453469
464,3.103,0.00145176474509874
465,3.109,0.00273158427139708
466,3.116,0.00534202532045753
467,3.122,0.0107426683291425
468,3.129,0.0199339218431996
469,3.135,0.0331795654596523
470,3.142,0.0540201075474357
471,3.148,0.0836064087187481
472,3.155,0.112227471957249
473,3.161,0.122976002055214
474,3.168,0.110726859138628
475,3.174,0.0853219530608701
476,3.180,0.0582796595586272
477,3.187,0.0354461160711119
478,3.193,0.019111320285075
479,3.200,0.00864415509060136
480,3.206,0.00320834146897998
481,3.213,0.00132280583099844
482,3.219,0.00133452936864393
483,3.226,0.00178393164505403
484,3.232,0.00189139740680427
485,3.239,0.00177025418446764
486,3.245,0.0020692043944274
487,3.252,0.00384141250183595
488,3.258,0.0100470717621773
489,3.265,0.022251274451123
490,3.271,0.0360635557204406
491,3.278,0.0460969500220315
492,3.284,0.048299021176441
493,3.290,0.0423590954360639
494,3.297,0.0317688330963127
495,3.303,0.0209108833136564
496,3.310,0.0125969412000694
497,3.316,0.00671563314791972
498,3.323,0.002936746180193
499,3.329,0.00142831766980777
500,3.336,0.00147325789744878
501,3.342,0.00186990425445423
502,3.349,0.0017800237991722
503,3.355,0.0013013126786484
504,3.362,0.00100822423751137
505,3.368,0.000920297705170262
506,3.375,0.000957422241047618
507,3.381,0.000951560472224878
508,3.387,0.00100627031457046
509,3.394,0.00132866759982118
510,3.400,0.00275503134668804
511,3.407,0.00606497680859553
512,3.413,0.0140213510239953
513,3.420,0.0253365187748254
514,3.426,0.0356004759834441
515,3.433,0.0401277154375407
516,3.439,0.0376892196072806
517,3.446,0.0306531430970511
518,3.452,0.0221516243811364
519,3.459,0.0142597296227868
520,3.465,0.00837060587887347
521,3.472,0.00494537896345209
522,3.478,0.00319466400839358
523,3.485,0.002213794692055
524,3.491,0.00188748956092245
525,3.497,0.00227436630322332
526,3.504,0.00265928912258328
527,3.510,0.0026905518896379
528,3.517,0.00263584204729232
529,3.523,0.00224114961322779
530,3.530,0.00216103877265034
531,3.536,0.00157095404449446
532,3.543,0.00158463150508085
533,3.549,0.00239550952555996
534,3.556,0.00261434889494227
535,3.562,0.00240332521732361
536,3.569,0.00189725917562702
537,3.575,0.00164520311624917
538,3.582,0.0012583263739483
539,3.588,0.000812831943420019
540,3.594,0.00108638115514791
541,3.601,0.00156900012155355
542,3.607,0.00160417073448999
543,3.614,0.00135602252099397
544,3.620,0.00109224292397065
545,3.627,0.000908574167524781
546,3.633,0.000992592853984062
547,3.640,0.00110201253867522
548,3.646,0.00126614206571195
549,3.653,0.00204380339619553
550,3.659,0.00349947598717609
551,3.666,0.00576016482981302
552,3.672,0.00795832813834071
553,3.679,0.0096777803263446
554,3.685,0.0104065935833053
555,3.691,0.0100255786098272
556,3.698,0.00878483754234713
557,3.704,0.00694619605494752
558,3.711,0.0049766417305067
