,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,39.6924,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,54.3395267071966,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,50.9847990830709
1,38.9562590492731,No Match,,,"3-Aminoquinoline, N-heptafluorobutyryl-",C13H7F7N2O,51.9687589560011,"3-Aminoquinoline, N-heptafluorobutyryl-",C13H7F7N2O,51.9687589560011
2,38.153,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,72.0927256524272,"4-tert-Octylphenol, TMS derivative",C17H30OSi,75.7833736994052,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,66.6717400829649
3,38.1426,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,65.9100937675728,"4-tert-Octylphenol, TMS derivative",C17H30OSi,69.2844359721273,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,50.6124916454287
4,37.8777,No Match,,,"Benzene, 1-bromo-4-iodo-",C6H4BrI,75.554500118881,"Benzene, 1-bromo-2-iodo-",C6H4BrI,64.7723227642461
5,37.059903604522,No Match,,,N-(9-Anthrylmethylene)aniline,C21H15N,53.1587092337715,N-(9-Anthrylmethylene)aniline,C21H15N,53.1587092337715
6,36.6698,No Match,,,"Pyrazole, 5-methyl-3-(5-nitro-2-furyl)-",C8H7N3O3,52.726172458991,"Pyrazole, 5-methyl-3-(5-nitro-2-furyl)-",C8H7N3O3,52.726172458991
7,36.2264060704149,Dimethyl hydrastate,C11H10O6,50.2967937643014,Dimethyl hydrastate,C11H10O6,50.2967937643014,Dimethyl hydrastate,C11H10O6,50.2967937643014
8,34.5096,No Match,,,"d-Proline, N-allyloxycarbonyl-, tetradecyl ester",C23H41NO4,57.8399577475044,"d-Proline, N-allyloxycarbonyl-, undecyl ester",C20H35NO4,57.3439521818108
9,34.4961,No Match,,,"d-Proline, N-allyloxycarbonyl-, tetradecyl ester",C23H41NO4,59.3784783335669,"d-Proline, N-allyloxycarbonyl-, undecyl ester",C20H35NO4,58.8144145982161
10,34.0474211144597,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,64.5867102279306,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,64.5867102279306
11,33.3761,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,51.9844683242776,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,51.5775824177579
12,33.3599,No Match,,,"Hexestrol, O,O'-di(pentafluoropropionyl)-",C24H20F10O4,62.0631089379359,"4-tert-Butylphenol, O-pentafluoropropionyl-",C13H13F5O2,57.819138530568
13,33.1855,No Match,,,HMMA,C11H17NO2,54.5977705939233,N-methyl-1-[4-(methylsulfanyl)phenyl]propan-2-amine,C11H17NS,51.9296727410919
14,33.1464376562165,No Match,,,"1,2,4-Triazol-3-amine, 5-(1,3,5-trimethyl-4-pyrazolyl)amino-",C8H13N7,50.6835383632893,"1,2,4-Triazol-3-amine, 5-(1,3,5-trimethyl-4-pyrazolyl)amino-",C8H13N7,50.6835383632893
15,32.9969,No Match,,,"Pyrrole, 2-methyl-5-phenyl-",C11H11N,53.8975420440369,"Acrylamide, N-(2-pentyl)-N-octyl-",C16H31NO,50.4393664992844
16,32.9642010002558,No Match,,,"Propane(dithioic) acid, ethyl ester",C5H10S2,62.5085556327814,"Propane(dithioic) acid, ethyl ester",C5H10S2,62.5085556327814
17,32.9375,No Match,,,Brallobarbital,C10H11BrN2O3,54.8351113559537,"8-Isopropyl-5-methyl-5,6,7,8-tetrahydro-2,4-quinazolinedione",C12H18N2O2,50.2747105360041
18,32.8973,No Match,,,"Vanadium, bis[(1,2,3,3a,7a-.eta.)-1H-inden-1-yl]-",C18H14V,67.1124742699681,"Vanadium, bis[(1,2,3,3a,7a-.eta.)-1H-inden-1-yl]-",C18H14V,63.2297130309344
19,32.2768,No Match,,,"benzenamine, 4-fluoro-N-(4-fluorophenyl)-N-phenyl-",C18H13F2N,51.0538179267054,"benzenamine, 4-fluoro-N-(4-fluorophenyl)-N-phenyl-",C18H13F2N,51.0538179267054
20,31.5731,No Match,,,"(S)-9-[(S)-2-(Hydroxymethyl)pyrrolidin-1-yl]-3-methyl-3,4-dihydro-2H-benzo[b][1,4,5]oxathiazepine 1,1-dioxide",C14H20N2O4S,59.3486012600828,"(S)-9-[(R)-2-(Hydroxymethyl)pyrrolidin-1-yl]-3-methyl-3,4-dihydro-2H-benzo[b][1,4,5]oxathiazepine 1,1-dioxide",C14H20N2O4S,57.9631471608314
21,31.452,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,54.9039613441178,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,51.444619413467
22,31.3999,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,51.8001690657547,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,51.8001690657547
23,31.1329,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,65.8883723588216,"2,4-Dihydroxy-3-methylbenzaldehyde, 2TMS",C14H24O3Si2,54.6754385535881
24,31.016,"Butane, 1,4-bis(9,10-dihydro-9-methylanthracen-10-yl)-",C34H34,56.1890743968033,"Butane, 1,4-bis(9,10-dihydro-9-methylanthracen-10-yl)-",C34H34,56.1890743968033,"Anthracene, 9-ethyl-9,10-dihydro-9-methyl-",C17H18,50.7157997865448
25,30.9633,No Match,,,"Cyclohexanecarboxamide, N-[[4-(1H-pyrrol-1-yl)phenyl]methyl]-",C18H22N2O,52.4705598523769,"Cyclohexanecarboxamide, N-[[4-(1H-pyrrol-1-yl)phenyl]methyl]-",C18H22N2O,52.4705598523769
26,30.9408,"4H-1-Benzopyran-4-one, 6,7-dimethoxy-3-phenyl-",C17H14O4,53.2164788302594,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,54.7654155061419,"Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS",C14H24O3Si2,51.1429166193477
27,30.7882,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,57.7375213073266,.beta.-Hydroxyethyltheophylline tert-butyldimethylsilyl ether,C15H26N4O3Si,60.3480341635995,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,55.345146277103
28,30.7474,No Match,,,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,59.1356224819837,"(R)-9-[(S)-2-(Hydroxymethyl)pyrrolidin-1-yl]-3-methyl-3,4-dihydro-2H-benzo[b][1,4,5]oxathiazepine 1,1-dioxide",C14H20N2O4S,55.3647352180031
29,30.6919702645703,No Match,,,2-(4-chlorobenzyl)malononitrile,C10H7ClN2,52.1922011389187,2-(4-chlorobenzyl)malononitrile,C10H7ClN2,52.1922011389187
30,30.5484539569264,No Match,,,Dibutyltetradecylamine,C22H47N,60.1713694429392,Dibutyltetradecylamine,C22H47N,60.1713694429392
31,29.8931551464067,No Match,,,Isobutyl ethylphosphonofluoridate,C6H14FO2P,53.4498103536738,Isobutyl ethylphosphonofluoridate,C6H14FO2P,53.4498103536738
