,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
203,0.182086124,No Match,,,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",C20H26OSi,51.83194006,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",C20H26OSi,51.83194006
202,0.2115,No Match,,,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",C20H26OSi,51.43289445,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",C20H26OSi,51.43289445
201,2.4434,Isobutane,C4H10,96.44576233,Isobutane,C4H10,96.44576233,Isobutane,C4H10,78.80751148
200,2.6725,"Butane, 2-methyl-",C5H12,97.70118476,"Butane, 2-methyl-",C5H12,97.70118476,Pentane,C5H12,91.02142869
199,2.7676,"Butane, 2-methyl-",C5H12,92.16347125,"Butane, 2-methyl-",C5H12,92.16347125,Pentane,C5H12,86.84556792
198,2.8731,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,85.86335913,"Oxetane, 3-(1-methylethyl)-",C6H12O,87.06790474,"2-Pentene, (Z)-",C5H10,79.7151736
197,3.161,"Pentane, 2-methyl-",C6H14,98.4499574,"Pentane, 2-methyl-",C6H14,98.4499574,"Pentane, 3,3-dimethyl-",C7H16,86.6709962
196,3.2826,"Pentane, 3-methyl-",C6H14,97.78715088,"Pentane, 3-methyl-",C6H14,97.78715088,Butyl isocyanatoacetate,C7H11NO3,89.36341052
195,3.4343,n-Hexane,C6H14,93.38331994,n-Hexane,C6H14,93.38331994,"Pentane, 3-methyl-",C6H14,80.85308519
194,3.5251,"1-Butene, 2,3-dimethyl-",C6H12,76.97470018,"1-Butene, 2,3-dimethyl-",C6H12,76.97470018,"2-Butene, 2,3-dimethyl-",C6H12,74.42383012
193,3.686,"Pentane, 2,2-dimethyl-",C7H16,90.0202472,"Pentane, 2,2-dimethyl-",C7H16,90.0202472,"Pentane, 2,2-dimethyl-",C7H16,85.35493958
192,3.7557,Acetyl valeryl,C7H12O2,88.40028984,Acetyl valeryl,C7H12O2,88.40028984,"2,3-Pentanedione",C5H8O2,73.44689103
191,3.7674,"Hexane, 3,4-dimethyl-",C8H18,91.02915552,"Hexane, 3,4-dimethyl-",C8H18,91.02915552,3-Butenenitrile,C4H5N,54.75082817
190,3.7774,"Cyclopentane, methyl-",C6H12,88.46884218,"Cyclopentane, methyl-",C6H12,88.46884218,"Ethane, diazo-",C2H4N2,50.7608198
189,3.7841,"1-Octyn-3-ol, 3-methyl-",C9H16O,61.82411489,"Ethane, 1,1,1-trifluoro-",C2H3F3,64.83335405,2-Octen-4-one,C8H14O,57.91307022
188,4.3556,"5-Oxotetrahydrofuran-2-carboxylic acid, ethyl ester",C7H10O4,78.83111802,Silicon tetrafluoride,F4Si,84.96166076,Diethyl(3-decyn-1-yl)amine,C14H27N,53.82401952
187,4.3713,"1,3-Dioxolane",C3H6O2,56.69341366,"1,3-Dioxolane",C3H6O2,56.69341366,"1-Butanol, 2-methyl-, propanoate",C8H16O2,50.26316106
