#"+EI TIC Scan MBPR039_LQ.d "
#Point,X(Minutes),Y(Counts)
0,0.101,0.093778206169186
1,0.108,0.0849734904303461
2,0.114,0.0785410297092246
3,0.121,0.0720477419363668
4,0.127,0.0665428937542251
5,0.134,0.0615056535323067
6,0.140,0.0554419568123371
7,0.146,0.0496671885881152
8,0.153,0.045481527090506
9,0.159,0.0421284358635385
10,0.166,0.0390186528435164
11,0.172,0.0368802018059095
12,0.179,0.0347930735932053
13,0.185,0.0326717301638993
14,0.192,0.0311092352724212
15,0.198,0.0297197173093184
16,0.205,0.0283758196350179
17,0.211,0.0254675262238726
18,0.218,0.0240742065700363
19,0.224,0.0228557646899421
20,0.231,0.0217817870577218
21,0.237,0.0211450038598566
22,0.244,0.0199740831139314
23,0.250,0.0188791961826767
24,0.256,0.0182576197477457
25,0.263,0.0182196028404104
26,0.269,0.0181701808608746
27,0.276,0.0178128219319234
28,0.282,0.0167692578255713
29,0.289,0.0157865207709555
30,0.295,0.0148798175310102
31,0.302,0.0141327853018729
32,0.308,0.0137982365173228
33,0.315,0.0141631988277411
34,0.321,0.0144616315503226
35,0.328,0.014729650747036
36,0.334,0.0139046838578615
37,0.341,0.0128421112978417
38,0.347,0.0123231805127158
39,0.353,0.01187458100616
40,0.360,0.0112872197878307
41,0.366,0.0111484580760571
42,0.373,0.0109754811476818
43,0.379,0.0109526710032806
44,0.386,0.0106200230640973
45,0.392,0.0100155542374671
46,0.399,0.00968480714365061
47,0.405,0.00951753275137559
48,0.412,0.00995092549499724
49,0.418,0.010486963888424
50,0.425,0.0104698562801232
51,0.431,0.00989960267009468
52,0.438,0.00926472031759628
53,0.444,0.00851958893382572
54,0.451,0.00884083180080844
55,0.457,0.00878000474907206
56,0.463,0.00887884870814367
57,0.470,0.00885984025447605
58,0.476,0.00896628759501471
59,0.483,0.00841884412938735
60,0.489,0.0076185882299807
61,0.496,0.00739999101280311
62,0.502,0.00795123616916399
63,0.509,0.00848727456259077
64,0.515,0.00803677421066826
65,0.522,0.00752164511627585
66,0.528,0.00732015550739912
67,0.535,0.00751784342554233
68,0.541,0.00744180961087186
69,0.548,0.00731635381666559
70,0.554,0.00696659826918145
71,0.560,0.00658642919582912
72,0.567,0.00616444152440803
73,0.573,0.00564170904854858
74,0.580,0.00609220940047109
75,0.586,0.00685825008327604
76,0.593,0.00725742761029598
77,0.599,0.00720990647612694
78,0.606,0.0070730456097201
79,0.612,0.00702172278481754
80,0.619,0.006443865793322
81,0.625,0.00601617558580062
82,0.632,0.00613973053464013
83,0.638,0.00637353451475181
84,0.645,0.00647237847382342
85,0.651,0.00650089115432485
86,0.658,0.00633551760741658
87,0.664,0.00636783197865153
88,0.670,0.00617394575124184
89,0.677,0.00595724937943101
90,0.683,0.00555997269777783
91,0.690,0.00576146230665456
92,0.696,0.00597625783309863
93,0.703,0.00563600651244829
94,0.709,0.00502963684045133
95,0.716,0.00487186667501011
96,0.722,0.00512467910878941
97,0.729,0.00570253610028495
98,0.735,0.00597245614236511
99,0.742,0.00591733162672902
100,0.748,0.00522162222249425
101,0.755,0.00543831859430508
102,0.761,0.00594964599796397
103,0.767,0.00585840542035941
104,0.774,0.0051645968614914
105,0.780,0.00420276910591001
106,0.787,0.00424458770397877
107,0.793,0.00429781137424809
108,0.800,0.00460384747829672
109,0.806,0.00493839626284677
110,0.813,0.00495550387114762
111,0.819,0.00487376752037687
112,0.826,0.00472550158176946
113,0.832,0.00404689978583555
114,0.839,0.00340251320650335
115,0.845,0.00337970306210221
116,0.852,0.00417995896150887
117,0.858,0.00413053698197307
118,0.865,0.00382069918719092
119,0.871,0.00405070147656908
120,0.877,0.00452211112752597
121,0.884,0.00442516801382112
122,0.890,0.00480343624180669
123,0.897,0.005016330922884
124,0.903,0.00460384747829672
125,0.910,0.00451260690069216
126,0.916,0.00458864071536262
127,0.923,0.00489277597404449
128,0.929,0.0049517021804141
129,0.936,0.00467798044760042
130,0.942,0.00401648625996737
131,0.949,0.00386822032135996
132,0.955,0.00425409193081257
133,0.962,0.00439855617868646
134,0.968,0.00450880520995863
135,0.974,0.00465517030319928
136,0.981,0.00484335399450869
137,0.987,0.00451450774605892
138,0.994,0.0042578936215461
139,1.000,0.00462855846806462
140,1.007,0.00473690665397003
141,1.013,0.00463806269489843
142,1.020,0.00429020799278105
143,1.026,0.00431872067328247
144,1.033,0.00471219566420213
145,1.039,0.00479963455107317
146,1.046,0.00490037935551153
147,1.052,0.00452971450899301
148,1.059,0.00444417646748874
149,1.065,0.00431301813718218
150,1.072,0.00421227333274382
151,1.078,0.00446318492115636
152,1.084,0.00471789820030242
153,1.091,0.00445177984895579
154,1.097,0.00390433638332843
155,1.104,0.00406780908486993
156,1.110,0.00413433867270659
157,1.117,0.00438715110648589
