#"+EI TIC Scan MBPR040_GasMS_01.d "
#Point,X(Minutes),Y(Counts)
0,0.095,1.84916046032561
1,0.099,1.84239431373884
2,0.103,1.83462343302755
3,0.106,1.83288095706335
4,0.110,1.83288095706335
5,0.113,1.82736545854766
6,0.117,1.81655227101178
7,0.121,1.80752371611666
8,0.124,1.80896406923222
9,0.128,1.81942595113015
10,0.131,1.82544030365173
11,0.135,1.81655929712454
12,0.138,1.80266164608753
13,0.142,1.80505052442554
14,0.146,1.820100457955
15,0.149,1.82440746507618
16,0.153,1.81588479029969
17,0.156,1.81110703362367
18,0.160,1.80996880335674
19,0.164,1.80546506507832
20,0.167,1.80222602709648
21,0.171,1.8070389143363
22,0.174,1.80989151611639
23,0.178,1.7995420520226
24,0.181,1.78948065855193
25,0.185,1.78117579327097
26,0.189,1.76903467042367
27,0.192,1.764334200988
28,0.196,1.77335572977036
29,0.199,1.78276369475447
30,0.203,1.78341009712828
31,0.207,1.78296745202447
32,0.210,1.77660179386495
33,0.214,1.76740461226362
34,0.217,1.7698145689399
35,0.221,1.77750816241084
36,0.225,1.77530898911732
37,0.228,1.76683549713015
38,0.232,1.76344188466762
39,0.235,1.76297113511278
40,0.239,1.75886788526161
41,0.242,1.75788422947537
42,0.246,1.75974614935647
43,0.250,1.75168719802206
44,0.253,1.74510373036702
45,0.257,1.75259356656796
46,0.260,1.76686360158118
47,0.264,1.7727866146369
48,0.268,1.77093172086856
49,0.271,1.76851473807951
50,0.275,1.76412341760523
51,0.278,1.7606454917896
52,0.282,1.76120055469755
53,0.286,1.75697083481672
54,0.289,1.74569392383876
55,0.293,1.73547795588739
56,0.296,1.73218973511625
57,0.300,1.73399544609528
58,0.303,1.73665834283088
59,0.307,1.74003790306789
60,0.311,1.73862565440336
61,0.314,1.73670049950743
62,0.318,1.73449430010115
63,0.321,1.73558334757878
64,0.325,1.73974280633202
65,0.329,1.73719935351331
66,0.332,1.7313114710214
67,0.336,1.73159251553175
68,0.339,1.73479642294979
69,0.343,1.73358793155526
70,0.347,1.73116392265346
71,0.350,1.73414299446321
72,0.354,1.73510557191117
73,0.357,1.7305245463924
74,0.361,1.72906311493856
75,0.364,1.72725037784678
76,0.368,1.72108847695727
77,0.372,1.71740679387163
78,0.375,1.72058259683863
79,0.379,1.72177000989487
80,0.382,1.71983080277343
81,0.386,1.72105334639347
82,0.390,1.72442588051772
83,0.393,1.71787051731371
84,0.397,1.70383937013429
85,0.400,1.69755099921511
86,0.404,1.69709430188579
87,0.408,1.69686244016475
88,0.411,1.69919510960068
89,0.415,1.70241306924424
90,0.418,1.69800067043168
91,0.422,1.69178958675285
92,0.425,1.69242896301391
93,0.429,1.69733318971959
94,0.433,1.70135212621765
95,0.436,1.70001716479347
96,0.440,1.68951312621899
97,0.443,1.67938849773348
98,0.447,1.68227623007737
99,0.451,1.69560476598091
100,0.454,1.69852060277583
101,0.458,1.69620198556541
102,0.461,1.70505488764157
103,0.465,1.7127836116763
104,0.469,1.70220931197423
105,0.472,1.68466510841538
106,0.476,1.67749847340135
107,0.479,1.68035107518144
108,0.483,1.68055483245145
109,0.486,1.68125744372734
110,0.490,1.6901595285928
111,0.494,1.69712943244958
112,0.497,1.69458597963088
113,0.501,1.69047570366695
114,0.504,1.69030707696074
115,0.508,1.69082700930489
116,0.512,1.68697669951304
117,0.515,1.67999274343074
118,0.519,1.67685207102754
119,0.522,1.67965549001832
120,0.526,1.68110286924664
121,0.529,1.67846105084931
122,0.533,1.67963441168004
123,0.537,1.6830912591574
124,0.540,1.68163685381631
125,0.544,1.67465992384677
126,0.547,1.6707112484763
127,0.551,1.67205323601324
128,0.555,1.67463181939574
129,0.558,1.6793674193952
130,0.562,1.68401167992881
131,0.565,1.68946394342967
132,0.569,1.69611064609955
133,0.573,1.69790230485306
134,0.576,1.68850136598171
135,0.580,1.67371842473709
136,0.583,1.66430343364023
137,0.587,1.66190752918946
138,0.590,1.66148596242393
139,0.594,1.66192158141498
140,0.598,1.66298252444156
141,0.601,1.66477418319507
142,0.605,1.66499901880335
143,0.608,1.66489362711197
144,0.612,1.66491470545025
145,0.616,1.67176516539013
146,0.619,1.67703474995927
147,0.623,1.67272071672533
148,0.626,1.67152627755633
149,0.630,1.67945173274831
150,0.634,1.68009110900937
151,0.637,1.66652368527202
152,0.641,1.65447390189059
153,0.644,1.65560510604477
154,0.648,1.66089576895218
155,0.651,1.66381160574711
156,0.655,1.66617940574684
157,0.659,1.66466176539093
158,0.662,1.66215344313602
159,0.666,1.65843662948659
160,0.669,1.6559072288934
161,0.673,1.65445282355232
162,0.677,1.65554187102994
163,0.680,1.6556683410596
164,0.684,1.64942212681698
165,0.687,1.64898650782593
166,0.691,1.66011587043595
167,0.695,1.66983298438144
168,0.698,1.66660799862513
169,0.702,1.65564726272132
170,0.705,1.64514322414684
171,0.709,1.63969798675873
172,0.712,1.64333048705505
173,0.716,1.65212015411638
174,0.720,1.65608990782513
175,0.723,1.65819071554003
176,0.727,1.66256798378879
177,0.730,1.66903903363969
178,0.734,1.67334604076087
179,0.738,1.67309310070155
180,0.741,1.65918842355178
181,0.745,1.63949422948872
182,0.748,1.62940473156701
183,0.752,1.63896727103181
184,0.756,1.65413664847817
185,0.759,1.65306165322606
186,0.763,1.64049896361324
187,0.766,1.63931155055699
188,0.770,1.65234498972466
189,0.773,1.66160540634083
190,0.777,1.6594764941749
191,0.781,1.64802393037797
192,0.784,1.63925534165492
193,0.788,1.63918508052733
194,0.791,1.64439143008164
195,0.795,1.64744778913174
196,0.799,1.64328130426574
197,0.802,1.63674701940001
198,0.806,1.63799766747109
199,0.809,1.64207983898398
200,0.813,1.65105218497703
201,0.817,1.65897061405626
202,0.820,1.66429640752747
203,0.824,1.66783756835793
204,0.827,1.66478120930783
205,0.831,1.65192342295913
206,0.834,1.6410680787467
207,0.838,1.64092755649153
208,0.842,1.6430494425447
209,0.845,1.64592312266307
210,0.849,1.65030741702459
211,0.852,1.65444579743956
212,0.856,1.65316001880469
213,0.860,1.65247848586708
214,0.863,1.6573405558962
215,0.867,1.65550674046614
216,0.870,1.64399094165439
217,0.874,1.63116125975672
218,0.877,1.62508367222032
219,0.881,1.624830732161
220,0.885,1.63112612919293
221,0.888,1.64204470842018
222,0.892,1.64633766331584
223,0.895,1.64046383304944
224,0.899,1.63636760931103
225,0.903,1.64359747933989
226,0.906,1.65318812325572
227,0.910,1.65382047340402
228,0.913,1.64847360159453
229,0.917,1.6468224650962
230,0.921,1.64893029892386
231,0.924,1.64758831138692
232,0.928,1.63872135708525
233,0.931,1.63522235293134
234,0.935,1.64059732919186
235,0.938,1.64555073868685
236,0.942,1.64476381405786
237,0.946,1.64087837370222
238,0.949,1.63472349892546
239,0.953,1.62741634165626
240,0.956,1.62597598854069
241,0.960,1.62849133690836
242,0.964,1.62591977963862
243,0.967,1.62543497785826
244,0.971,1.63267187399988
245,0.974,1.63718263839106
246,0.978,1.6364589487769
247,0.982,1.64378718438438
248,0.985,1.65535216598545
249,0.989,1.6528508698433
250,0.992,1.63922723720389
251,0.996,1.63000897726427
252,0.999,1.62906747815459
253,1.003,1.62887074699734
254,1.007,1.62537876895619
255,1.010,1.62582141406
256,1.014,1.62809084848111
257,1.017,1.62700180100348
258,1.021,1.62797843067696
259,1.025,1.63274916124022
260,1.028,1.6359811731093
261,1.032,1.63846139091317
262,1.035,1.63499751732306
263,1.039,1.6247112882441
264,1.043,1.61617456124209
265,1.046,1.61650478854176
266,1.050,1.62469723601858
267,1.053,1.63475862948926
268,1.057,1.64307754699574
269,1.060,1.64621821939894
270,1.064,1.64111726153602
271,1.068,1.63429490604717
272,1.071,1.63726695174417
273,1.075,1.64452492622406
274,1.078,1.64302133809367
275,1.082,1.63210978497917
276,1.086,1.62235051435712
277,1.089,1.62394544195338
278,1.093,1.63206762830262
279,1.096,1.63756204848004
280,1.100,1.64020386687737
281,1.104,1.6405903030791
282,1.107,1.63614277370275
283,1.111,1.62943283601805
284,1.114,1.6301073428429
285,1.118,1.63423167103234
286,1.121,1.6349904912103
287,1.125,1.62984737667082
288,1.129,1.62450050486133
289,1.132,1.62200623483194
290,1.136,1.62303907340749
291,1.139,1.61797324610836
292,1.143,1.61077148053054
293,1.147,1.61389810070823
294,1.150,1.62688938319934
295,1.154,1.63794145856902
296,1.157,1.64037249358358
297,1.161,1.63809603304971
298,1.165,1.63865109595766
299,1.168,1.63632545263448
300,1.172,1.62679804373348
301,1.175,1.62120525797743
302,1.179,1.63056404017222
303,1.182,1.64264192800469
304,1.186,1.64518538082339
305,1.190,1.63898834937008
306,1.193,1.6316952443264
307,1.197,1.63442137607683
308,1.200,1.64168637666948
309,1.204,1.64479894462165
310,1.208,1.63957854284183
311,1.211,1.63175145322847
312,1.215,1.62291962949059
313,1.218,1.62381897192372
314,1.222,1.62780277785799
315,1.225,1.63341664195232
316,1.229,1.63926236776768
317,1.233,1.63603738201137
318,1.236,1.62693856598865
319,1.240,1.62613758913414
320,1.243,1.63143527815432
321,1.247,1.63126665144811
322,1.251,1.62504854165652
323,1.254,1.62086097845225
324,1.258,1.62225917489126
325,1.261,1.62731797607763
326,1.265,1.62953822770943
327,1.269,1.62673480871865
328,1.272,1.62695261821417
329,1.276,1.6265029469976
330,1.279,1.61840183898665
