Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR040_LQ.D,FID1A,0.062,0.0325,0.0164,
MBPR040_LQ.D,FID1A,2.354,0.1336,0.0610,
MBPR040_LQ.D,FID1A,3.165,0.2258,0.0882,
MBPR040_LQ.D,FID1A,3.283,0.3014,0.1614,
MBPR040_LQ.D,FID1A,3.434,0.4321,0.2048,
MBPR040_LQ.D,FID1A,3.687,0.3108,0.1304,
MBPR040_LQ.D,FID1A,3.778,1.3735,0.5102,
MBPR040_LQ.D,FID1A,3.846,0.1778,0.0657,
MBPR040_LQ.D,FID1A,4.143,0.1641,0.0369,
MBPR040_LQ.D,FID1A,4.374,75830.6875,14148.0117,
MBPR040_LQ.D,FID1A,4.602,0.4350,0.1639,
MBPR040_LQ.D,FID1A,4.689,0.5719,0.3577,
MBPR040_LQ.D,FID1A,14.702,0.0740,0.0280,
MBPR040_LQ.D,FID1A,16.450,0.0454,0.0165,
MBPR040_LQ.D,FID1A,17.075,0.0513,0.0197,
MBPR040_LQ.D,FID1A,17.463,0.0914,0.0290,
MBPR040_LQ.D,FID1A,17.791,0.0833,0.0250,
MBPR040_LQ.D,FID1A,17.923,79.2577,50.7591,
MBPR040_LQ.D,FID1A,18.651,0.1001,0.0253,
MBPR040_LQ.D,FID1A,18.713,0.1666,0.0459,
MBPR040_LQ.D,FID1A,18.818,0.5879,0.3277,
MBPR040_LQ.D,FID1A,19.252,0.0565,0.0202,
MBPR040_LQ.D,FID1A,19.899,0.3098,0.0635,
MBPR040_LQ.D,FID1A,19.964,0.0860,0.0313,
MBPR040_LQ.D,FID1A,21.002,0.2887,0.1004,
MBPR040_LQ.D,FID1A,22.066,0.1394,0.0850,
MBPR040_LQ.D,FID1A,22.114,0.2954,0.0863,
MBPR040_LQ.D,FID1A,22.429,0.0390,0.0195,
MBPR040_LQ.D,FID1A,23.077,0.4381,0.2216,
MBPR040_LQ.D,FID1A,23.662,0.1076,0.0142,
MBPR040_LQ.D,FID1A,23.978,0.0603,0.0290,
MBPR040_LQ.D,FID1A,24.045,0.2964,0.1678,
MBPR040_LQ.D,FID1A,24.121,0.6773,0.2897,
MBPR040_LQ.D,FID1A,24.370,0.1359,0.0368,
MBPR040_LQ.D,FID1A,24.674,0.0986,0.0271,
MBPR040_LQ.D,FID1A,24.750,0.1092,0.0363,
MBPR040_LQ.D,FID1A,24.844,0.1291,0.0441,
MBPR040_LQ.D,FID1A,24.973,0.8127,0.3975,
MBPR040_LQ.D,FID1A,25.373,0.0971,0.0445,
MBPR040_LQ.D,FID1A,25.535,0.0643,0.0225,
MBPR040_LQ.D,FID1A,25.586,0.0427,0.0290,
MBPR040_LQ.D,FID1A,25.630,0.0678,0.0369,
MBPR040_LQ.D,FID1A,25.667,0.0302,0.0294,
MBPR040_LQ.D,FID1A,25.780,0.1329,0.0498,
MBPR040_LQ.D,FID1A,25.857,0.6885,0.2834,
MBPR040_LQ.D,FID1A,25.958,1.2514,0.6655,
MBPR040_LQ.D,FID1A,26.154,0.0907,0.0462,
MBPR040_LQ.D,FID1A,26.482,0.2581,0.0474,
MBPR040_LQ.D,FID1A,26.542,0.1708,0.0666,
MBPR040_LQ.D,FID1A,26.600,0.1115,0.0503,
MBPR040_LQ.D,FID1A,26.712,1.0327,0.5290,
MBPR040_LQ.D,FID1A,26.822,0.0765,0.0327,
MBPR040_LQ.D,FID1A,27.107,0.2300,0.0505,
MBPR040_LQ.D,FID1A,27.230,0.1791,0.0487,
MBPR040_LQ.D,FID1A,27.347,0.3845,0.1350,
MBPR040_LQ.D,FID1A,27.437,0.4591,0.0881,
MBPR040_LQ.D,FID1A,27.530,0.6544,0.3351,
MBPR040_LQ.D,FID1A,27.649,1.9358,0.9969,
MBPR040_LQ.D,FID1A,27.735,0.1147,0.0454,
MBPR040_LQ.D,FID1A,27.804,0.1647,0.0549,
MBPR040_LQ.D,FID1A,27.892,0.0785,0.0494,
MBPR040_LQ.D,FID1A,27.950,0.2905,0.1270,
MBPR040_LQ.D,FID1A,28.142,0.5817,0.1040,
MBPR040_LQ.D,FID1A,28.218,0.2966,0.1436,
MBPR040_LQ.D,FID1A,28.317,1.0990,0.6066,
MBPR040_LQ.D,FID1A,28.351,0.3373,0.2156,
MBPR040_LQ.D,FID1A,28.503,0.2264,0.0328,
MBPR040_LQ.D,FID1A,28.585,0.0859,0.0564,
MBPR040_LQ.D,FID1A,28.671,0.1013,0.0505,
MBPR040_LQ.D,FID1A,28.713,0.0882,0.0842,
MBPR040_LQ.D,FID1A,28.843,0.2259,0.0712,
MBPR040_LQ.D,FID1A,28.912,0.2749,0.0792,
MBPR040_LQ.D,FID1A,28.980,0.1838,0.1131,
MBPR040_LQ.D,FID1A,29.076,0.9691,0.3919,
MBPR040_LQ.D,FID1A,29.213,2.4588,1.4208,
MBPR040_LQ.D,FID1A,29.366,2.0631,1.1820,
MBPR040_LQ.D,FID1A,29.623,0.1045,0.0361,
MBPR040_LQ.D,FID1A,29.715,0.0927,0.0721,
MBPR040_LQ.D,FID1A,29.767,0.2271,0.1509,
MBPR040_LQ.D,FID1A,29.808,1.2269,0.6909,
MBPR040_LQ.D,FID1A,29.857,0.5172,0.2364,
MBPR040_LQ.D,FID1A,29.961,0.1673,0.0831,
MBPR040_LQ.D,FID1A,30.208,0.5799,0.1281,
MBPR040_LQ.D,FID1A,30.340,0.3641,0.1992,
MBPR040_LQ.D,FID1A,30.382,0.2089,0.1037,
MBPR040_LQ.D,FID1A,30.431,0.2316,0.1087,
MBPR040_LQ.D,FID1A,30.540,1.1234,0.4486,
MBPR040_LQ.D,FID1A,30.707,3.0133,1.4572,
MBPR040_LQ.D,FID1A,30.805,0.4173,0.1381,
MBPR040_LQ.D,FID1A,30.951,0.4327,0.0901,
MBPR040_LQ.D,FID1A,31.112,0.6515,0.2078,
MBPR040_LQ.D,FID1A,31.157,0.1317,0.1562,
MBPR040_LQ.D,FID1A,31.241,0.4780,0.1673,
MBPR040_LQ.D,FID1A,31.339,1.6296,0.6784,
MBPR040_LQ.D,FID1A,31.415,0.7761,0.2040,
MBPR040_LQ.D,FID1A,31.546,0.5777,0.1807,
MBPR040_LQ.D,FID1A,31.855,0.2452,0.1032,
MBPR040_LQ.D,FID1A,32.046,0.8592,0.2111,
MBPR040_LQ.D,FID1A,32.086,0.4231,0.1955,
MBPR040_LQ.D,FID1A,32.247,0.8667,0.2862,
MBPR040_LQ.D,FID1A,32.491,2.9771,0.9426,
MBPR040_LQ.D,FID1A,32.582,0.4906,0.1201,
MBPR040_LQ.D,FID1A,32.689,0.5309,0.1131,
MBPR040_LQ.D,FID1A,32.806,0.5461,0.1586,
MBPR040_LQ.D,FID1A,32.983,0.6897,0.0871,
MBPR040_LQ.D,FID1A,33.050,0.3017,0.0367,
MBPR040_LQ.D,FID1A,33.160,0.5532,0.2148,
MBPR040_LQ.D,FID1A,33.291,1.6996,0.3906,
MBPR040_LQ.D,FID1A,33.405,1.0208,0.2128,
MBPR040_LQ.D,FID1A,33.565,0.1135,0.1761,
MBPR040_LQ.D,FID1A,33.596,0.2760,0.0229,
MBPR040_LQ.D,FID1A,33.780,0.6694,0.1919,
MBPR040_LQ.D,FID1A,33.889,0.4693,0.0572,
MBPR040_LQ.D,FID1A,34.010,0.5039,0.0604,
MBPR040_LQ.D,FID1A,34.511,1.0697,0.2048,
MBPR040_LQ.D,FID1A,34.883,3.3544,0.5194,
MBPR040_LQ.D,FID1A,35.146,0.3811,0.1779,
MBPR040_LQ.D,FID1A,35.179,0.2983,0.2212,
MBPR040_LQ.D,FID1A,35.307,0.4468,0.1037,
MBPR040_LQ.D,FID1A,35.501,2.0137,0.1655,
MBPR040_LQ.D,FID1A,35.807,0.9902,0.2212,
MBPR040_LQ.D,FID1A,35.951,1.6822,0.2801,
MBPR040_LQ.D,FID1A,36.074,0.4164,0.1325,
MBPR040_LQ.D,FID1A,36.137,1.6521,0.1969,
MBPR040_LQ.D,FID1A,36.359,0.9546,0.1880,
MBPR040_LQ.D,FID1A,36.530,0.1258,0.0901,
MBPR040_LQ.D,FID1A,36.779,0.1540,0.1004,
MBPR040_LQ.D,FID1A,36.987,0.5423,0.0943,
MBPR040_LQ.D,FID1A,37.286,0.8300,0.0923,
MBPR040_LQ.D,FID1A,37.689,1.1722,0.1546,
MBPR040_LQ.D,FID1A,38.051,0.0928,0.1480,
