Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
F-001-1-MBPR041_01_GS2.D,FID1A,0.016,0.0660,0.1103,
F-001-1-MBPR041_01_GS2.D,FID1A,1.226,4604.9580,4302.9082,
F-001-1-MBPR041_01_GS2.D,FID1A,1.250,12356.9209,12483.6104,
F-001-1-MBPR041_01_GS2.D,FID1A,1.279,62126.3945,61012.6953,
F-001-1-MBPR041_01_GS2.D,FID1A,1.306,18432.4434,15836.2822,
F-001-1-MBPR041_01_GS2.D,FID1A,1.408,42662.6211,40135.9141,
F-001-1-MBPR041_01_GS2.D,FID1A,1.464,9912.7813,8324.9229,
F-001-1-MBPR041_01_GS2.D,FID1A,1.525,805.4686,804.0638,
F-001-1-MBPR041_01_GS2.D,FID1A,1.564,189.2788,197.0870,
F-001-1-MBPR041_01_GS2.D,FID1A,1.697,14692.5781,11469.9482,
F-001-1-MBPR041_01_GS2.D,FID1A,1.765,4347.8223,4040.2849,
F-001-1-MBPR041_01_GS2.D,FID1A,1.802,49.7218,59.0258,
F-001-1-MBPR041_01_GS2.D,FID1A,1.856,3889.5391,2897.2671,
F-001-1-MBPR041_01_GS2.D,FID1A,1.912,248.9678,168.9286,
F-001-1-MBPR041_01_GS2.D,FID1A,2.000,330.8083,317.7311,
F-001-1-MBPR041_01_GS2.D,FID1A,2.043,1816.0044,1411.2496,
F-001-1-MBPR041_01_GS2.D,FID1A,2.152,1.5981,1.7414,
F-001-1-MBPR041_01_GS2.D,FID1A,2.186,21.5721,20.7479,
F-001-1-MBPR041_01_GS2.D,FID1A,2.245,97.9672,54.2357,
F-001-1-MBPR041_01_GS2.D,FID1A,2.317,1170.1769,1170.4113,
F-001-1-MBPR041_01_GS2.D,FID1A,2.355,5606.9790,3890.3689,
F-001-1-MBPR041_01_GS2.D,FID1A,2.433,1898.0836,1853.2534,
F-001-1-MBPR041_01_GS2.D,FID1A,2.513,178.3538,161.6461,
F-001-1-MBPR041_01_GS2.D,FID1A,2.540,212.5508,159.2097,
F-001-1-MBPR041_01_GS2.D,FID1A,2.570,98.8733,65.8651,
F-001-1-MBPR041_01_GS2.D,FID1A,2.678,872.3867,779.0712,
F-001-1-MBPR041_01_GS2.D,FID1A,2.728,204.6396,105.0747,
F-001-1-MBPR041_01_GS2.D,FID1A,2.812,60.7682,46.6525,
F-001-1-MBPR041_01_GS2.D,FID1A,2.858,49.5060,39.9121,
F-001-1-MBPR041_01_GS2.D,FID1A,2.937,539.9072,399.9470,
F-001-1-MBPR041_01_GS2.D,FID1A,3.034,647.2184,558.5495,
F-001-1-MBPR041_01_GS2.D,FID1A,3.057,491.2129,409.4519,
F-001-1-MBPR041_01_GS2.D,FID1A,3.147,83.8873,68.3617,
F-001-1-MBPR041_01_GS2.D,FID1A,3.239,43.5061,30.1909,
F-001-1-MBPR041_01_GS2.D,FID1A,3.267,17.5179,13.9993,
F-001-1-MBPR041_01_GS2.D,FID1A,3.312,12.9805,8.5561,
F-001-1-MBPR041_01_GS2.D,FID1A,3.345,37.0549,19.5745,
F-001-1-MBPR041_01_GS2.D,FID1A,3.406,170.1620,124.9727,
F-001-1-MBPR041_01_GS2.D,FID1A,3.487,1374.4604,815.4521,
F-001-1-MBPR041_01_GS2.D,FID1A,3.591,528.2938,418.7718,
F-001-1-MBPR041_01_GS2.D,FID1A,3.650,218.9192,106.9650,
F-001-1-MBPR041_01_GS2.D,FID1A,3.716,36.2362,29.0733,
F-001-1-MBPR041_01_GS2.D,FID1A,3.760,13.4919,11.5840,
F-001-1-MBPR041_01_GS2.D,FID1A,3.793,53.1571,41.6144,
F-001-1-MBPR041_01_GS2.D,FID1A,3.826,49.1154,28.6887,
F-001-1-MBPR041_01_GS2.D,FID1A,3.886,11.9764,9.5228,
F-001-1-MBPR041_01_GS2.D,FID1A,3.925,54.9032,39.8741,
F-001-1-MBPR041_01_GS2.D,FID1A,3.972,175.6140,144.8332,
F-001-1-MBPR041_01_GS2.D,FID1A,4.037,124.4107,79.5613,
F-001-1-MBPR041_01_GS2.D,FID1A,4.122,44.3557,27.8970,
F-001-1-MBPR041_01_GS2.D,FID1A,4.191,23.4721,17.5523,
F-001-1-MBPR041_01_GS2.D,FID1A,4.242,9.7695,8.0938,
F-001-1-MBPR041_01_GS2.D,FID1A,4.303,64.0564,47.8920,
