FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
2.357,0.1603,,No match,,,Manual assignment based on HydroUI,
2.447,0.8804,2.4442,Isobutane,C4H10,94.97128226,Manual assignment based on HydroUI,B
2.497,0.5842,2.4945,Acetone,C3H6O,84.43878175,Manual assignment based on HydroUI,O
2.675,12.3903,2.6723,"Butane, 2-methyl-",C5H12,98.24359495,Manual assignment based on HydroUI,B
2.771,4.3784,2.7682,Pentane,C5H12,97.87652606,Manual assignment based on HydroUI,L
2.875,0.4999,2.8725,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,92.63639095,Manual assignment based on HydroUI,C
2.946,0.3041,,No match,,,Manual assignment based on HydroUI,
3.164,23.4097,3.1611,"Pentane, 2-methyl-",C6H14,98.68576605,Manual assignment based on HydroUI,B
3.284,8.2376,3.2818,"Pentane, 3-methyl-",C6H14,98.48696143,Manual assignment based on HydroUI,B
3.348,0.1242,,No match,,,Manual assignment based on HydroUI,
3.436,7.981,3.4334,n-Hexane,C6H14,96.99918962,Manual assignment based on HydroUI,L
3.53,0.7726,3.5297,"1-Butene, 2,3-dimethyl-",C6H12,86.34968268,Manual assignment based on HydroUI,E
3.687,1.1724,3.6848,"Hexane, 3,4-dimethyl-",C8H18,91.89543939,Manual assignment based on HydroUI,B
3.771,7.7483,3.7676,"Cyclopentane, methyl-",C6H12,90.96622641,Manual assignment based on HydroUI,C
4.136,0.3772,4.1346,"Furan, 2-butyltetrahydro-",C8H16O,54.03547448,Manual assignment based on HydroUI,O
4.391,91051.5859,,No match,,,Manual assignment based on HydroUI,
4.46,18.8555,4.4569,"Hexane, 3-methyl-",C7H16,97.83491917,Manual assignment based on HydroUI,B
4.605,1.6235,4.6064,"Pentane, 2,3,4-trimethyl-",C8H18,81.23570803,Manual assignment based on HydroUI,B
4.649,0.6395,4.6464,"Cyclopentane, 1,2-dimethyl-",C7H14,87.95574337,Manual assignment based on HydroUI,C
4.693,0.8485,4.6896,"Cyclopentane, 1,2-dimethyl-, trans-",C7H14,81.33054686,Manual assignment based on HydroUI,C
4.847,6.9711,4.8446,Heptane,C7H16,97.52821855,Manual assignment based on HydroUI,L
4.936,0.8191,4.9351,(Z)-4-Methyl-2-hexene,C7H14,90.58497627,Manual assignment based on HydroUI,E
5.033,0.0335,,No match,,,Manual assignment based on HydroUI,
5.084,0.2304,5.0812,(Z)-4-Methyl-2-hexene,C7H14,79.90740396,Manual assignment based on HydroUI,E
5.165,0.2656,5.1632,"2-Pentene, 3,4-dimethyl-, (E)-",C7H14,69.57294275,Manual assignment based on HydroUI,E
5.257,0.483,5.2548,"Hexane, 2,2-dimethyl-",C8H18,86.59444305,Manual assignment based on HydroUI,B
5.34,4.097,5.337,"Cyclohexane, methyl-",C7H14,96.46626313,Manual assignment based on HydroUI,C
5.463,6.7202,5.4598,"Hexane, 2,5-dimethyl-",C8H18,98.59649868,Manual assignment based on HydroUI,B
5.51,4.7001,5.5073,"Hexane, 2,4-dimethyl-",C8H18,92.94607704,Manual assignment based on HydroUI,B
5.572,0.2799,5.569,"Cyclopentane, ethyl-",C7H14,79.95987516,Manual assignment based on HydroUI,C
5.691,1.0304,5.6887,"Cyclopentane, 1,2,4-trimethyl-",C8H16,94.14911132,Manual assignment based on HydroUI,C
5.824,0.2052,5.817,3-Ethyl-3-hexene,C8H16,77.00509379,Manual assignment based on HydroUI,E
5.868,0.3475,5.8685,"Cyclopentane, 1,2,3-trimethyl-, (1.alpha.,2.alpha.,3.alpha.)-",C8H16,68.89589343,Manual assignment based on HydroUI,C
5.966,0.048,,No match,,,Manual assignment based on HydroUI,
6.04,0.262,6.0318,"1,3-Pentadiene, 2,4-dimethyl-",C7H12,63.62571448,Manual assignment based on HydroUI,E
6.137,2.3202,6.134,"Hexane, 2,3-dimethyl-",C8H18,95.42128733,Manual assignment based on HydroUI,B
6.259,19.4026,6.2567,"Heptane, 2-methyl-",C8H18,98.39845815,Manual assignment based on HydroUI,B
6.347,1.7685,6.3426,Toluene,C7H8,96.18115118,Manual assignment based on HydroUI,A
6.447,9.7464,6.4446,"Heptane, 3-methyl-",C8H18,97.19550687,Manual assignment based on HydroUI,B
6.591,2.1661,6.5891,"Cyclohexane, 1,4-dimethyl-",C8H16,91.89463085,Manual assignment based on HydroUI,C
6.627,2.2069,,No match,,,Manual assignment based on HydroUI,
6.824,1.1412,6.8223,"Cyclopentane, 1-ethyl-1-methyl-",C8H16,89.21939382,Manual assignment based on HydroUI,C
6.882,0.8095,6.8808,"Cyclohexane, ethyl-",C8H16,84.16671685,Manual assignment based on HydroUI,C
7.083,5.4504,7.0809,Octane,C8H18,96.27730924,Manual assignment based on HydroUI,L
7.152,0.3209,,No match,,,Manual assignment based on HydroUI,
7.24,2.0017,7.2366,"Cyclohexane, 1,4-dimethyl-, cis-",C8H16,94.8928325,Manual assignment based on HydroUI,C
7.346,0.7244,7.3476,"Cyclopentene, 1,2,3-trimethyl-",C8H14,81.19756016,Manual assignment based on HydroUI,C
7.447,0.5901,7.4445,"Pentane, 2,3,3,4-tetramethyl-",C9H20,77.53978088,Manual assignment based on HydroUI,B
7.52,0.3122,7.5177,"Propanoic acid, anhydride",C6H10O3,73.34350926,Manual assignment based on HydroUI,O
7.616,2.1603,7.6121,"Heptane, 2,4-dimethyl-",C9H20,96.16105758,Manual assignment based on HydroUI,B
7.767,4.679,7.7639,"Octane, 2-methyl-",C9H20,91.89969147,Manual assignment based on HydroUI,B
7.927,7.7355,7.9249,"Heptane, 2,5-dimethyl-",C9H20,96.99070585,Manual assignment based on HydroUI,B
7.989,0.7266,7.9888,"Cyclohexane, 1,1,3-trimethyl-",C9H18,60.93902754,Manual assignment based on HydroUI,C
8.041,0.8595,8.0375,"1,1,4-Trimethylcyclohexane",C9H18,87.08031066,Manual assignment based on HydroUI,C
8.119,0.5048,8.1147,"Cyclohexane, 1-ethyl-1-methyl-",C9H18,78.52054175,Manual assignment based on HydroUI,C
8.208,0.125,,No match,,,Manual assignment based on HydroUI,
8.26,0.0515,,No match,,,Manual assignment based on HydroUI,
8.334,1.2323,8.3307,"Cyclohexane, 1,3,5-trimethyl-",C9H18,91.46608403,Manual assignment based on HydroUI,C
8.423,1.9852,8.419,"Heptane, 2,3-dimethyl-",C9H20,86.89669649,Manual assignment based on HydroUI,B
8.478,0.3294,,No match,,,Manual assignment based on HydroUI,
8.521,0.3734,8.518,"Heptane, 4-ethyl-",C9H20,71.45174289,Manual assignment based on HydroUI,B
8.606,12.9289,8.6023,"Octane, 2-methyl-",C9H20,96.83368655,Manual assignment based on HydroUI,B
8.762,11.5977,8.7611,"Octane, 3-methyl-",C9H20,96.287714,Manual assignment based on HydroUI,B
8.901,1.4829,8.8981,"Cyclohexane, 1,2,4-trimethyl-",C9H18,87.25685836,Manual assignment based on HydroUI,C
8.973,0.5127,8.9717,"Cyclohexane, 1,3,5-trimethyl-",C9H18,85.32885902,Manual assignment based on HydroUI,C
9.039,0.6557,9.034,"Cyclohexane, 1,3,5-trimethyl-",C9H18,81.03638529,Manual assignment based on HydroUI,C
9.088,0.2979,9.084,(E)-But-2-enyl (E)-2-methylbut-2-enoate,C9H14O2,71.00831354,Manual assignment based on HydroUI,O
9.15,1.1605,9.1474,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,87.7890406,Manual assignment based on HydroUI,C
