[Quantification.py] 2023-12-26 00:02:19,888 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:17:53,870 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:17:53,870 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:17:53,870 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:18:33,805 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:18:33,805 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:18:33,805 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:18:33,805 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:18:33,805 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:22:06,046 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:22:06,046 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:22:06,046 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:22:06,046 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:22:06,046 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:22:06,046 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:30:25,149 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:30:25,149 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:30:25,149 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:30:25,149 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:30:25,149 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:30:25,149 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:30:25,149 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:31:53,412 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:31,688 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:33:49,368 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
