#"+EI TIC Scan MBPR042_01_GS1.d "
#Point,X(Minutes),Y(Counts)
0,0.096,1.24913806074649
1,0.099,1.2460469499367
2,0.103,1.23702324329437
3,0.106,1.22921048727857
4,0.110,1.22652833786457
5,0.113,1.2276489983128
6,0.117,1.22438792952034
7,0.121,1.21936885784465
8,0.124,1.21956537176211
9,0.128,1.22079756713646
10,0.131,1.21721782712649
11,0.135,1.21095062651558
12,0.139,1.20708408240986
13,0.142,1.20874117274089
14,0.146,1.21071693428941
15,0.149,1.21144987808967
16,0.153,1.21308572367286
17,0.157,1.21440289803854
18,0.160,1.20984058844127
19,0.164,1.20424790857408
20,0.167,1.20345654171728
21,0.171,1.20437006587412
22,0.174,1.20117804251212
23,0.178,1.19544196059705
24,0.182,1.19202155619584
25,0.185,1.19077342726061
26,0.189,1.18826654701625
27,0.192,1.18959434375585
28,0.196,1.19611648134076
29,0.200,1.19921290333751
30,0.203,1.19815066594583
31,0.207,1.19810817645017
32,0.210,1.20212874497768
33,0.214,1.20485338388734
34,0.217,1.2027129755431
35,0.221,1.19656262104527
36,0.225,1.18477709718458
37,0.228,1.17443090498961
38,0.232,1.17348020252406
39,0.235,1.17558343255958
40,0.239,1.17716085508623
41,0.243,1.18449560427578
42,0.246,1.19275981118305
43,0.250,1.18828248057712
44,0.253,1.17688998455135
45,0.257,1.17394227578944
46,0.261,1.17782475345603
47,0.264,1.17842491758233
48,0.268,1.1764757119686
49,0.271,1.18049628049611
50,0.275,1.19140545850866
51,0.278,1.19803381983275
52,0.282,1.19381673738778
53,0.286,1.18512763552383
54,0.289,1.18219586032279
55,0.293,1.18751235846815
56,0.296,1.18967932274718
57,0.300,1.1817231646835
58,0.304,1.16788752265686
59,0.307,1.16142911931544
60,0.311,1.16441400638607
61,0.314,1.172465765815
62,0.318,1.18072466153532
63,0.322,1.18246141967071
64,0.325,1.17264634617159
65,0.329,1.15797684779248
66,0.332,1.15180524854682
67,0.336,1.15818398408386
68,0.339,1.17350675845885
69,0.343,1.18315718516226
70,0.347,1.17591803733796
71,0.350,1.15870448040578
72,0.354,1.14638783784925
73,0.357,1.14773687933668
74,0.361,1.15783875693156
75,0.365,1.16519475086895
76,0.368,1.16455209724698
77,0.372,1.15829020782303
78,0.375,1.15261786015145
79,0.379,1.15097670338131
80,0.383,1.15083861252039
81,0.386,1.15205487433386
82,0.390,1.15516722989149
83,0.393,1.15744041790968
84,0.397,1.15345702769088
85,0.400,1.14291432157845
86,0.404,1.13576015274549
87,0.408,1.14004096943396
88,0.411,1.14804492818027
89,0.415,1.15311711172554
90,0.418,1.15481138036527
91,0.422,1.15088110201606
92,0.426,1.1420273533564
93,0.429,1.13909557815536
94,0.433,1.14771563458885
95,0.436,1.15408374775197
96,0.440,1.14863446993265
97,0.444,1.1411722522561
98,0.447,1.13966918634687
99,0.451,1.14142187804314
100,0.454,1.14365788775263
101,0.458,1.14924525643287
102,0.461,1.15424839454768
