,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,14.0333144893717,"Benzene, 1,2,3-trimethyl-",C9H12,68.3424710989279,"Benzene, 1,2,3-trimethyl-",C9H12,68.3424710989279,Mesitylene,C9H12,64.3447781048004
1,14.033052724682,"Benzene, 1,2,3-trimethyl-",C9H12,68.6234512858124,"Benzene, 1,2,3-trimethyl-",C9H12,68.6234512858124,Mesitylene,C9H12,65.0587020651841
2,13.8952,"Decane, 2,4-dimethyl-",C12H26,87.8161341989481,"Decane, 2,4-dimethyl-",C12H26,87.8161341989481,Mesitylene,C9H12,64.7924241599756
3,13.5037,"Benzene, 1,2,4-trimethyl-",C9H12,93.0112935884612,"Benzene, 1,2,4-trimethyl-",C9H12,93.0112935884612,Mesitylene,C9H12,83.2247772246777
4,13.0304,Mesitylene,C9H12,69.7614347088188,"1-Hexanone, 5-methyl-1-phenyl-",C13H18O,71.2698071881299,"Benzene, (1-methylethyl)-",C9H12,60.7063270932434
5,12.9167,"Benzene, 1-ethyl-4-methyl-",C9H12,86.4308215650609,"Benzene, 1-ethyl-4-methyl-",C9H12,86.4308215650609,"Benzene, 1-ethyl-4-methyl-",C9H12,74.5770398567104
6,12.9069,"Benzene, 1-ethyl-4-methyl-",C9H12,85.9070703708061,"Benzene, 1-ethyl-4-methyl-",C9H12,85.9070703708061,"Benzene, 1,2,3-trimethyl-",C9H12,84.059075524506
7,12.9014,"Nonane, 2-methyl-",C10H22,88.9407478750052,"Nonane, 2-methyl-",C10H22,88.9407478750052,"Undecane, 3,5-dimethyl-",C13H28,85.5949918366962
8,12.8514,"Nonane, 4-methyl-",C10H22,85.6211204578037,"Nonane, 4-methyl-",C10H22,85.6211204578037,"Undecane, 2,3-dimethyl-",C13H28,76.8869954819246
9,12.7253,"Heptane, 3-ethyl-2-methyl-",C10H22,85.0071768490162,"Heptane, 3-ethyl-2-methyl-",C10H22,85.0071768490162,"Undecane, 2,6-dimethyl-",C13H28,83.0264793163827
10,12.3337,"Octane, 3,6-dimethyl-",C10H22,95.1872796156785,"Octane, 3,6-dimethyl-",C10H22,95.1872796156785,"Undecane, 6,6-dimethyl-",C13H28,92.4457880105151
11,12.3194,"Octane, 3,6-dimethyl-",C10H22,96.0176196879418,"Octane, 3,6-dimethyl-",C10H22,96.0176196879418,"Undecane, 6,6-dimethyl-",C13H28,93.2696677012734
12,12.2838,"Octane, 3,6-dimethyl-",C10H22,95.6361545305285,"Octane, 3,6-dimethyl-",C10H22,95.6361545305285,"Octane, 3,6-dimethyl-",C10H22,92.9407680027832
13,12.2355,"Octane, 2,7-dimethyl-",C10H22,86.2824685935618,"Octane, 2,7-dimethyl-",C10H22,86.2824685935618,"Octane, 2,4,6-trimethyl-",C11H24,81.8830221920551
14,12.2238,"Octane, 2,7-dimethyl-",C10H22,87.9204967645965,"Octane, 2,7-dimethyl-",C10H22,87.9204967645965,"Octane, 2,7-dimethyl-",C10H22,82.9292772867387
