,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
0,0,0,0,2.356,0.1818,,,,,,
1,1,1,1,2.674,0.0707,,"Butane, 2-methyl-",C5H12,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
2,2,2,2,3.168,0.234,3.1617,"Hexane, 2,3-dimethyl-",C8H18,85.06449577,,
3,3,3,3,3.284,0.2801,3.2825,"Pentane, 3-methyl-",C6H14,89.9844289654207,Automatically assigned using a linear fit of manual peak assignments,B
4,4,4,4,3.436,0.4267,3.4326,n-Hexane,C6H14,90.3791602457015,Automatically assigned using a linear fit of manual peak assignments,L
5,5,5,5,3.688,0.2759,3.6872,"Pentane, 2,2-dimethyl-",C7H16,91.9437086046604,Automatically assigned using a linear fit of manual peak assignments,B
6,6,6,6,3.78,1.4507,3.7798,"Cyclopentane, methyl-",C6H12,94.3271854631162,Automatically assigned using a linear fit of manual peak assignments,B
7,7,7,7,3.846,0.152,,,,,,
8,8,8,9,4.452,1.2628,4.4533,"Heptane, 3,3,4-trimethyl-",C10H22,79.871409695282,Automatically assigned using a linear fit of manual peak assignments,B
9,9,9,10,4.607,0.6431,4.606,"Pentane, 3-ethyl-",C7H16,89.2474701802567,Automatically assigned using a linear fit of manual peak assignments,B
10,10,10,11,4.691,0.659,4.6883,"Cyclopentane, 1,2-dimethyl-",C7H14,86.8606803512731,Automatically assigned using a linear fit of manual peak assignments,B
11,11,11,12,4.845,0.0374,,Heptane,C7H16,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",L
12,12,12,13,11.845,0.0536,,,,,,
13,13,13,14,12.069,0.1004,,"Nonane, 3,7-dimethyl-",C11H24,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
14,14,14,15,12.418,0.0584,,"Heptane, 4-ethyl-",C9H20,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
15,15,15,16,12.553,0.0606,,"Benzene, 1,2,4,5-tetramethyl-",C10H14,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
16,16,16,17,13.144,0.0532,,"Hexane, 3,3-dimethyl-",C8H18,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
17,17,17,18,14.704,0.0926,,Dodecane,C12H26,,"Speculated based on MBPR024, which used Ru/C 5wt.% at 281.0C and 127.0psi",L
18,18,18,19,17.461,0.257,,,,,,
19,19,19,20,17.925,169.4258,17.9234,"Benzene, 1,3,5-tri-tert-butyl-",C18H30,97.35031665913,Automatically assigned using a linear fit of manual peak assignments,A
20,20,20,21,18.086,0.0757,,,,,,
21,21,21,22,18.145,0.0475,,3-Formyl-6-isopropylchromone,C13H12O3,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
22,22,22,23,18.369,0.0868,,,,,,
23,23,23,24,18.708,0.363,18.7026,"Hexane, 3,3-dimethyl-",C8H18,90.73346374,,B
24,24,24,25,18.819,1.2412,18.8167,"Benzene, 1,3,5-tri-tert-butyl-",C18H30,76.9711365429399,Automatically assigned using a linear fit of manual peak assignments,A
25,25,25,26,19.017,0.0439,,"Naphthalene, 1,6,7-trimethyl-",C13H14,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
26,26,26,27,19.757,0.0612,,"Naphthalene, 1,4,6-trimethyl-",C13H14,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
27,27,27,28,19.888,0.7947,19.8812,"Hexane, 3,3-dimethyl-",C8H18,90.7051959597105,Automatically assigned using a linear fit of manual peak assignments,B
28,28,28,29,20.3,0.0782,,,,,,
29,29,29,30,20.542,0.299,,,,,,
30,30,30,31,20.852,0.0354,,,,,,
31,31,31,32,21.0,0.6837,20.9967,"Dodecane, 2,6,11-trimethyl-",C15H32,88.7260679741015,Automatically assigned using a linear fit of manual peak assignments,B
32,32,32,33,21.52,0.0425,,"Naphthalene, 1-methyl-7-(1-methylethyl)-",C14H16,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
33,33,33,34,21.772,0.0553,,,,,,
34,34,34,35,21.903,0.0712,,,,,,
35,35,35,36,22.063,0.5891,22.0591,"Undecane, 3,8-dimethyl-",C13H28,89.4325719879175,Automatically assigned using a linear fit of manual peak assignments,B
36,36,36,37,22.109,1.1577,22.1068,"2-Propanone, 1-cyclopentyl-",C8H14O,67.1709635008675,Automatically assigned using a linear fit of manual peak assignments,O
37,37,37,38,22.425,0.0919,,,,,,
38,38,38,39,22.591,0.0613,,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
39,39,39,40,22.707,0.0722,,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
40,40,40,41,22.762,0.1289,,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
41,41,41,42,22.957,0.2399,,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,,"Speculated based on MBPR038_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",A
42,42,42,43,23.076,1.2865,23.0736,Nonadecane,C19H40,87.78715862,,L
43,43,43,44,23.136,0.0923,,"Undecane, 3,8-dimethyl-",C13H28,,"Speculated based on MBPR033, which used Ru/C 5wt.% at 280.0C and 134.0psi",B
44,44,44,45,23.346,0.0483,,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
45,45,45,46,23.417,0.0712,,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
46,46,46,47,23.484,0.0913,,,,,,
47,47,47,48,23.783,0.0964,,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
48,48,48,49,23.845,0.1469,,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,,"Speculated based on MBPR039_02, which used Ru/C 5wt.% at 280.0C and 134.0psi",O
49,49,49,50,23.915,0.0519,,,,,,
50,50,50,51,23.975,0.0958,,,,,,
51,51,51,52,24.045,0.8475,24.0406,"Undecane, 3,8-dimethyl-",C13H28,83.4295097605449,Automatically assigned using a linear fit of manual peak assignments,B
