#"+EI TIC Scan MBPR043_01_LQ1.d "
#Point,X(Minutes),Y(Counts)
0,0.101,0.132608388919694
1,0.108,0.121352384876391
2,0.114,0.11080392348669
3,0.121,0.101339315524805
4,0.127,0.0941972506225248
5,0.134,0.0883781532858428
6,0.140,0.0795858088424761
7,0.147,0.0721203518686055
8,0.153,0.0664345312644577
9,0.160,0.062246113949372
10,0.166,0.057985178412172
11,0.172,0.0537183630191249
12,0.179,0.0502472881173856
13,0.185,0.0467762132156463
14,0.192,0.0429641066747751
15,0.198,0.0406180441917814
16,0.205,0.0394087538392274
17,0.211,0.0386012536362254
18,0.218,0.037599718190269
19,0.224,0.0363316292792439
20,0.231,0.035239936043632
21,0.237,0.0336582548207615
22,0.244,0.0315297470041105
23,0.250,0.0301813000631751
24,0.257,0.0289876893262134
25,0.263,0.0282213481141411
26,0.269,0.0269081803082883
27,0.276,0.0258223669285234
28,0.282,0.0248463108579045
29,0.289,0.023611541130013
30,0.295,0.022631565155496
31,0.302,0.0229608370829337
32,0.308,0.0228295203023485
33,0.315,0.0222082155345047
34,0.321,0.0212733184548154
35,0.328,0.0198895923787974
36,0.334,0.0198856724748993
37,0.341,0.0199013520904916
38,0.347,0.0195172015084809
39,0.354,0.0191898895329923
40,0.360,0.0183177109156721
41,0.367,0.0180746768739919
42,0.373,0.0179903989401834
43,0.379,0.0175200104724153
44,0.386,0.0170241426293096
45,0.392,0.0171770188813343
46,0.399,0.0169516244071954
47,0.405,0.0168399071461004
48,0.412,0.016181363291225
49,0.418,0.0154679407817766
50,0.425,0.0151112295270524
51,0.431,0.014395847065655
52,0.438,0.0140391358109308
53,0.444,0.0138862595589062
54,0.451,0.0140410957628798
55,0.457,0.0143076492279485
56,0.464,0.0145644029332719
57,0.470,0.0148368362541877
58,0.476,0.0142057317265987
59,0.483,0.0134001914755457
60,0.489,0.012610330840085
61,0.496,0.0121850212671446
62,0.502,0.0116166352019247
63,0.509,0.0110051301938261
64,0.515,0.0109228122119667
65,0.522,0.0117420721266629
66,0.528,0.0123437773750164
67,0.535,0.0127004886297406
68,0.541,0.0126828490621993
69,0.548,0.0123006584321376
70,0.554,0.0119968658800373
71,0.561,0.0121987409307878
72,0.567,0.0121713016035014
73,0.574,0.0122967385282395
74,0.580,0.0123908162217932
75,0.586,0.0135648274392646
76,0.593,0.014339008459133
77,0.599,0.0130356404130254
78,0.606,0.0113285222654167
79,0.612,0.0104935827351282
80,0.619,0.0105778606689367
81,0.625,0.0103524661947978
82,0.632,0.0103603060025939
83,0.638,0.0104073448493707
84,0.645,0.0104151846571669
85,0.651,0.0103015074441229
86,0.658,0.00973900123475013
87,0.664,0.0092019744007148
88,0.671,0.00930781180596264
89,0.677,0.00973312137890303
90,0.683,0.0101290316726079
91,0.690,0.00971744176331075
92,0.696,0.00884330319404157
93,0.703,0.00889034204081839
94,0.709,0.00925881300723679
95,0.716,0.00921177416045997
96,0.722,0.00873942574074277
97,0.729,0.00891778136810487
98,0.735,0.00914905569809088
99,0.742,0.00900205930191333
100,0.748,0.00884330319404157
101,0.755,0.00815340010798159
102,0.761,0.00784372770003421
103,0.768,0.00772809053504121
104,0.774,0.00863946819134203
105,0.781,0.00899225954216816
106,0.787,0.00894522069539134
107,0.793,0.00876098521218214
108,0.800,0.0083611550145792
109,0.806,0.00895894035903458
110,0.813,0.0096566832528907
111,0.819,0.00999379498812455
112,0.826,0.00990167724651995
113,0.832,0.00912749622665151
114,0.839,0.00885114300183771
115,0.845,0.00880802405895896
116,0.852,0.00901577896555657
117,0.858,0.00898049983047396
