Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR049_01_LQ1.D,FID1A,0.064,0.0609,0.0162,
MBPR049_01_LQ1.D,FID1A,2.439,15.1772,2.0158,
MBPR049_01_LQ1.D,FID1A,2.664,58.3269,5.4434,
MBPR049_01_LQ1.D,FID1A,3.149,20.8589,3.5581,
MBPR049_01_LQ1.D,FID1A,3.264,25.0965,3.3452,
MBPR049_01_LQ1.D,FID1A,3.408,26.7710,2.5407,
MBPR049_01_LQ1.D,FID1A,3.653,4.2446,1.2435,
MBPR049_01_LQ1.D,FID1A,3.753,42.6681,2.0582,
MBPR049_01_LQ1.D,FID1A,4.986,1844211.7500,68416.7344,
MBPR049_01_LQ1.D,FID1A,6.252,2.0016,0.9762,
MBPR049_01_LQ1.D,FID1A,6.368,18.1607,7.2106,
MBPR049_01_LQ1.D,FID1A,6.544,6.6990,3.0499,
MBPR049_01_LQ1.D,FID1A,6.680,1.5832,0.8012,
MBPR049_01_LQ1.D,FID1A,6.713,1.3315,0.6840,
MBPR049_01_LQ1.D,FID1A,6.747,0.9251,0.4602,
MBPR049_01_LQ1.D,FID1A,6.863,0.1198,0.0884,
MBPR049_01_LQ1.D,FID1A,6.901,0.4014,0.2015,
MBPR049_01_LQ1.D,FID1A,6.956,0.2845,0.1457,
MBPR049_01_LQ1.D,FID1A,7.151,2.1563,0.7932,
MBPR049_01_LQ1.D,FID1A,7.214,0.5203,0.1638,
MBPR049_01_LQ1.D,FID1A,7.301,1.8282,0.7782,
MBPR049_01_LQ1.D,FID1A,7.399,0.8262,0.2290,
MBPR049_01_LQ1.D,FID1A,7.504,0.7109,0.3168,
MBPR049_01_LQ1.D,FID1A,7.573,0.1656,0.0721,
MBPR049_01_LQ1.D,FID1A,7.668,2.0445,0.8482,
MBPR049_01_LQ1.D,FID1A,7.815,6.2750,2.0470,
MBPR049_01_LQ1.D,FID1A,7.971,11.0470,3.4307,
MBPR049_01_LQ1.D,FID1A,8.078,0.6817,0.2996,
MBPR049_01_LQ1.D,FID1A,8.151,0.5392,0.1585,
MBPR049_01_LQ1.D,FID1A,8.239,0.1275,0.0577,
MBPR049_01_LQ1.D,FID1A,8.368,1.3748,0.4651,
MBPR049_01_LQ1.D,FID1A,8.456,2.6567,0.8116,
MBPR049_01_LQ1.D,FID1A,8.547,0.1813,0.0754,
MBPR049_01_LQ1.D,FID1A,8.636,12.2126,4.2450,
MBPR049_01_LQ1.D,FID1A,8.787,10.2272,3.2545,
MBPR049_01_LQ1.D,FID1A,8.925,1.9649,0.7879,
MBPR049_01_LQ1.D,FID1A,8.996,0.8702,0.3317,
MBPR049_01_LQ1.D,FID1A,9.059,0.8905,0.3440,
MBPR049_01_LQ1.D,FID1A,9.109,0.5776,0.2492,
MBPR049_01_LQ1.D,FID1A,9.170,1.1436,0.4463,
MBPR049_01_LQ1.D,FID1A,9.213,0.9658,0.4090,
MBPR049_01_LQ1.D,FID1A,9.301,0.9973,0.4050,
MBPR049_01_LQ1.D,FID1A,9.357,0.6551,0.2910,
MBPR049_01_LQ1.D,FID1A,9.402,1.7730,0.6335,
