Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
F-001-1-MBPR054_01_GS2.D,FID1A,0.016,0.0735,0.0916,
F-001-1-MBPR054_01_GS2.D,FID1A,0.516,0.0345,0.0476,
F-001-1-MBPR054_01_GS2.D,FID1A,1.251,8024.2466,6979.0469,
F-001-1-MBPR054_01_GS2.D,FID1A,1.280,40171.2344,32498.6465,
F-001-1-MBPR054_01_GS2.D,FID1A,1.409,11747.2178,10501.3936,
F-001-1-MBPR054_01_GS2.D,FID1A,1.464,1127.3088,1111.6895,
F-001-1-MBPR054_01_GS2.D,FID1A,1.525,202.2563,201.4830,
F-001-1-MBPR054_01_GS2.D,FID1A,1.564,53.2625,56.8032,
F-001-1-MBPR054_01_GS2.D,FID1A,1.694,2546.1384,1952.4032,
F-001-1-MBPR054_01_GS2.D,FID1A,1.763,676.3125,608.7091,
F-001-1-MBPR054_01_GS2.D,FID1A,1.854,442.2221,409.3365,
F-001-1-MBPR054_01_GS2.D,FID1A,1.911,72.8010,35.8300,
F-001-1-MBPR054_01_GS2.D,FID1A,1.999,43.7722,41.6570,
F-001-1-MBPR054_01_GS2.D,FID1A,2.041,269.2237,204.7306,
F-001-1-MBPR054_01_GS2.D,FID1A,2.146,0.3102,0.2349,
F-001-1-MBPR054_01_GS2.D,FID1A,2.185,2.6063,2.5527,
F-001-1-MBPR054_01_GS2.D,FID1A,2.243,17.0998,9.9244,
F-001-1-MBPR054_01_GS2.D,FID1A,2.346,760.4250,559.6602,
F-001-1-MBPR054_01_GS2.D,FID1A,2.428,237.7010,212.0910,
F-001-1-MBPR054_01_GS2.D,FID1A,2.512,18.1563,13.7423,
F-001-1-MBPR054_01_GS2.D,FID1A,2.539,21.0274,15.1838,
F-001-1-MBPR054_01_GS2.D,FID1A,2.569,11.4354,7.6799,
F-001-1-MBPR054_01_GS2.D,FID1A,2.675,115.2294,101.2324,
F-001-1-MBPR054_01_GS2.D,FID1A,2.726,18.9872,10.7500,
F-001-1-MBPR054_01_GS2.D,FID1A,2.778,1.8527,1.6713,
