,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,0.1478,"Propanoic acid, 2,2-dimethyl-, phenyl ester",C11H14O2,51.4420082821435,"Propanoic acid, 2,2-dimethyl-, phenyl ester",C11H14O2,51.4420082821435,"Propanoic acid, 2,2-dimethyl-, phenyl ester",C11H14O2,51.4420082821435
1,0.1639,"Carbonic acid, heptyl phenyl ester",C14H20O3,52.6150096442052,"Carbonic acid, heptyl phenyl ester",C14H20O3,52.6150096442052,"Propanoic acid, 2,2-dimethyl-, phenyl ester",C11H14O2,50.7817496793557
2,2.3902,Isobutane,C4H10,59.1941592807304,Methylamine,CH5N,90.5118832538663,"1,2-Ethanediol",C2H6O2,50.2525576084237
3,4.4286,No Match,,,"Geodin hydrate, 3TMS derivative",C26H38Cl2O8Si3,53.7075531177403,"Pregnan-20-one, 3,17,21-tris[(trimethylsilyl)oxy]-, O-(phenylmethyl)oxime, (3.beta.,5.beta.)-",C37H65NO4Si3,50.3181375344645
4,4.4545,Acetone,C3H6O,94.4947177322422,Acetone,C3H6O,94.4947177322422,Acetone,C3H6O,87.3246089455455
5,4.4721,No Match,,,Hydrazine,H4N2,55.8960552112396,Hydrazine,H4N2,55.1717714222893
6,4.493,No Match,,,2-Benzyloxyethylamine,C9H13NO,50.0679206301447,2-Benzyloxyethylamine,C9H13NO,50.0679206301447
7,4.537,No Match,,,2-(Adamantan-1-yl)pyrrolidine,C14H23N,61.5018456065266,"2,3-Bis-methylamino-succinonitrile",C6H10N4,50.9527132834853
8,4.7619,Heptane,C7H16,72.606876765346,2-n-Propylaziridine,C5H11N,76.7980953466202,"3-Heptanone, 2,4-dimethyl-",C9H18O,52.8453655030708
9,4.8678,Di(1-methylcyclobutyl) ether,C10H18O,55.3444732212031,(.+/-.)-.alpha.-Pyrrolidinopropiophenone,C13H17NO,63.4808285200476,Methanesulfonyl fluoride,CH3FO2S,50.6404461785395
10,4.9839,4-Methyl-2H-pyran,C6H8O,80.2999527002567,"3,5-Dimethylpyrazole-1-methanol",C6H10N2O,81.0685224644526,"1H-Imidazole-4-ethanamine, .beta.-methyl-",C6H11N3,79.2305901018835
11,5.0032,"1-Penten-3-one, 2-methyl-",C6H10O,51.6430793960223,"3,5-Dimethylpyrazole-1-methanol",C6H10N2O,69.7575399961462,"2(5H)-Furanone, 3-methyl-",C5H6O2,51.2002831607872
12,5.1856,"2-Pentene, 5-butoxy-, (E)-",C9H18O,57.0398170485605,"2-Pentene, 5-butoxy-, (E)-",C9H18O,57.0398170485605,"Heptane, 2-iodo-",C7H15I,55.4001657681742
13,5.2638,"Cyclohexane, methyl-",C7H14,88.6226604230632,"Cyclohexane, methyl-",C7H14,88.6226604230632,"Cyclohexane, methyl-",C7H14,72.6416269495512
14,5.3996,"2-Octen-4-one, 2-methoxy-",C9H16O2,63.1067144871412,"Acetaldehyde, diethylhydrazone",C6H14N2,68.2381980832667,"Acetaldehyde, diethylhydrazone",C6H14N2,56.8518264258278
15,5.4389,Octane,C8H18,87.3152740719385,Octane,C8H18,87.3152740719385,"2(3H)-Furanone, dihydro-5-propyl-",C7H12O2,56.7313197916184
16,5.4772,Pent-1-yn-3-one,C5H6O,57.9004313528398,Pent-1-yn-3-one,C5H6O,57.9004313528398,2-Propynal,C3H2O,55.9489037703487
17,5.4829,"2-Butyne, 1-methoxy-",C5H8O,61.8979672840375,"2-Butyne, 1-methoxy-",C5H8O,61.8979672840375,"2-Propynoic acid, methyl ester",C4H4O2,52.1198570719175
18,5.5017,Isobutyl 3-methylbut-3-enyl carbonate,C10H18O3,55.7391025084085,Isobutyl 3-methylbut-3-enyl carbonate,C10H18O3,55.7391025084085,"Cyclopropanecarboxylic acid, 3-methylbut-2-enyl ester",C9H14O2,53.4328158907842
19,5.6167,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,67.8500339558682,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,67.8500339558682,(S)-(+)-2-Pyrrolidinemethanol,C5H11NO,55.9651361631474
