Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
TB_MBPR055_01_LQ1.D,FID1A,2.503,1.2034,0.1455,
TB_MBPR055_01_LQ1.D,FID1A,2.683,1.1839,0.2573,
TB_MBPR055_01_LQ1.D,FID1A,2.764,21.8929,2.1011,
TB_MBPR055_01_LQ1.D,FID1A,3.140,0.2969,0.0555,
TB_MBPR055_01_LQ1.D,FID1A,3.424,0.2049,0.0583,
TB_MBPR055_01_LQ1.D,FID1A,3.748,0.5453,0.1138,
TB_MBPR055_01_LQ1.D,FID1A,4.309,3.9475,0.3158,
TB_MBPR055_01_LQ1.D,FID1A,4.613,7.4103,0.6078,
TB_MBPR055_01_LQ1.D,FID1A,5.988,0.7371,0.0533,
TB_MBPR055_01_LQ1.D,FID1A,7.587,1828478.6250,47615.2383,
TB_MBPR055_01_LQ1.D,FID1A,7.805,0.6659,0.4839,
TB_MBPR055_01_LQ1.D,FID1A,7.883,0.4927,0.2329,
TB_MBPR055_01_LQ1.D,FID1A,7.978,0.2377,0.1391,
TB_MBPR055_01_LQ1.D,FID1A,8.038,1.5360,0.9842,
TB_MBPR055_01_LQ1.D,FID1A,8.101,0.2594,0.1033,
TB_MBPR055_01_LQ1.D,FID1A,8.166,1.6446,1.0440,
TB_MBPR055_01_LQ1.D,FID1A,8.201,1.2106,0.7684,
TB_MBPR055_01_LQ1.D,FID1A,8.238,1.7598,0.9663,
TB_MBPR055_01_LQ1.D,FID1A,8.295,0.0933,0.0626,
TB_MBPR055_01_LQ1.D,FID1A,8.558,0.1512,0.0481,
TB_MBPR055_01_LQ1.D,FID1A,8.628,0.1013,0.0524,
TB_MBPR055_01_LQ1.D,FID1A,8.689,0.0734,0.0183,
TB_MBPR055_01_LQ1.D,FID1A,8.782,662.0830,378.4572,
TB_MBPR055_01_LQ1.D,FID1A,8.936,395.4196,197.6938,
TB_MBPR055_01_LQ1.D,FID1A,9.129,0.6392,0.3289,
TB_MBPR055_01_LQ1.D,FID1A,9.192,0.3351,0.1428,
TB_MBPR055_01_LQ1.D,FID1A,9.287,0.1329,0.0529,
TB_MBPR055_01_LQ1.D,FID1A,9.416,2.6874,1.3469,
TB_MBPR055_01_LQ1.D,FID1A,9.491,0.0670,0.0479,
TB_MBPR055_01_LQ1.D,FID1A,9.556,0.1051,0.0403,
TB_MBPR055_01_LQ1.D,FID1A,9.654,0.4821,0.1550,
TB_MBPR055_01_LQ1.D,FID1A,9.819,0.2167,0.0708,
TB_MBPR055_01_LQ1.D,FID1A,10.044,21.0161,11.6268,
TB_MBPR055_01_LQ1.D,FID1A,10.283,0.1019,0.0190,
TB_MBPR055_01_LQ1.D,FID1A,10.618,8.5185,4.7327,
TB_MBPR055_01_LQ1.D,FID1A,10.702,3.2884,1.9810,
TB_MBPR055_01_LQ1.D,FID1A,10.766,54.2331,22.3952,
TB_MBPR055_01_LQ1.D,FID1A,10.895,15.6223,8.7652,
TB_MBPR055_01_LQ1.D,FID1A,10.952,1.0814,0.5302,
TB_MBPR055_01_LQ1.D,FID1A,10.992,0.7059,0.2478,
TB_MBPR055_01_LQ1.D,FID1A,11.122,15.1951,7.7207,
TB_MBPR055_01_LQ1.D,FID1A,11.293,1.0013,0.4143,
TB_MBPR055_01_LQ1.D,FID1A,11.373,37.2434,21.0791,
TB_MBPR055_01_LQ1.D,FID1A,11.439,0.1208,0.0922,
TB_MBPR055_01_LQ1.D,FID1A,11.503,0.2430,0.0683,
TB_MBPR055_01_LQ1.D,FID1A,11.654,1.2136,0.2840,
TB_MBPR055_01_LQ1.D,FID1A,11.776,0.2173,0.0914,
TB_MBPR055_01_LQ1.D,FID1A,11.858,2.6206,1.4944,
TB_MBPR055_01_LQ1.D,FID1A,11.914,15.5172,8.4764,
TB_MBPR055_01_LQ1.D,FID1A,11.989,1.0755,0.5632,
TB_MBPR055_01_LQ1.D,FID1A,12.077,5.1229,2.7318,
TB_MBPR055_01_LQ1.D,FID1A,12.168,2.4742,0.8821,
TB_MBPR055_01_LQ1.D,FID1A,12.237,0.2620,0.1217,
TB_MBPR055_01_LQ1.D,FID1A,12.334,0.2607,0.1507,
TB_MBPR055_01_LQ1.D,FID1A,12.415,5.8182,1.9215,
TB_MBPR055_01_LQ1.D,FID1A,12.465,1.9027,0.8772,
TB_MBPR055_01_LQ1.D,FID1A,12.516,1.8537,1.0713,
TB_MBPR055_01_LQ1.D,FID1A,12.553,2.3009,1.3701,
TB_MBPR055_01_LQ1.D,FID1A,12.598,0.2422,0.1503,
TB_MBPR055_01_LQ1.D,FID1A,12.641,0.5456,0.2835,
TB_MBPR055_01_LQ1.D,FID1A,12.679,0.7738,0.3298,
TB_MBPR055_01_LQ1.D,FID1A,12.780,2.1769,0.9526,
TB_MBPR055_01_LQ1.D,FID1A,12.845,1.1167,0.6159,
TB_MBPR055_01_LQ1.D,FID1A,12.876,0.9156,0.5327,
TB_MBPR055_01_LQ1.D,FID1A,12.986,2.4361,0.8107,
TB_MBPR055_01_LQ1.D,FID1A,13.088,0.3054,0.1662,
TB_MBPR055_01_LQ1.D,FID1A,13.133,0.7823,0.2903,
TB_MBPR055_01_LQ1.D,FID1A,13.236,0.5785,0.1762,
TB_MBPR055_01_LQ1.D,FID1A,13.344,0.3237,0.0871,
TB_MBPR055_01_LQ1.D,FID1A,13.414,0.1234,0.0682,
TB_MBPR055_01_LQ1.D,FID1A,13.481,0.4179,0.1497,
TB_MBPR055_01_LQ1.D,FID1A,13.534,0.4728,0.2647,
TB_MBPR055_01_LQ1.D,FID1A,13.576,0.2176,0.0763,
TB_MBPR055_01_LQ1.D,FID1A,13.678,0.1217,0.0478,
TB_MBPR055_01_LQ1.D,FID1A,13.768,0.0956,0.0357,
TB_MBPR055_01_LQ1.D,FID1A,13.833,0.0584,0.0239,
TB_MBPR055_01_LQ1.D,FID1A,13.925,0.0938,0.0334,
TB_MBPR055_01_LQ1.D,FID1A,14.049,0.1651,0.0418,
TB_MBPR055_01_LQ1.D,FID1A,14.093,0.1125,0.0541,
TB_MBPR055_01_LQ1.D,FID1A,14.193,0.3586,0.1915,
TB_MBPR055_01_LQ1.D,FID1A,14.233,0.2445,0.1309,
TB_MBPR055_01_LQ1.D,FID1A,14.301,0.1039,0.0356,
TB_MBPR055_01_LQ1.D,FID1A,14.683,0.0342,0.0249,
TB_MBPR055_01_LQ1.D,FID1A,16.411,0.1374,0.0796,
TB_MBPR055_01_LQ1.D,FID1A,17.433,0.0433,0.0274,
TB_MBPR055_01_LQ1.D,FID1A,18.626,0.0604,0.0299,
TB_MBPR055_01_LQ1.D,FID1A,19.879,0.0663,0.0240,
TB_MBPR055_01_LQ1.D,FID1A,20.602,0.6516,0.0526,
TB_MBPR055_01_LQ1.D,FID1A,22.049,0.0432,0.0248,
