#"+EI TIC Scan MBPR057_01_GS1.d "
#Point,X(Minutes),Y(Counts)
0,0.095,0.620769042532062
1,0.099,0.626716661783474
2,0.102,0.62577294359967
3,0.106,0.623770285825902
4,0.110,0.62611312108453
5,0.113,0.629454541863229
6,0.117,0.627462857556714
7,0.120,0.624209224516043
8,0.124,0.62443418059474
9,0.128,0.622640018698788
10,0.131,0.618360366469912
11,0.135,0.617515409491391
12,0.138,0.620675768060407
13,0.142,0.624357366323965
14,0.146,0.62668922811534
15,0.149,0.626628874045446
16,0.153,0.620417891579949
17,0.156,0.615474344582235
18,0.160,0.615924256739629
19,0.163,0.617438595220616
20,0.167,0.618645676618504
21,0.171,0.621904796392802
22,0.174,0.62460426933717
23,0.178,0.623797719494035
24,0.181,0.619342491789103
25,0.185,0.615562132320263
26,0.189,0.613850271428713
27,0.192,0.611721418781528
28,0.196,0.608917697898252
29,0.199,0.60842937860547
30,0.203,0.609932743619203
31,0.207,0.609504778396316
32,0.210,0.606498048368849
33,0.214,0.60432530185265
34,0.217,0.60374919482184
35,0.221,0.604330788586277
36,0.224,0.605334860839975
37,0.228,0.605279993503707
38,0.232,0.604616098734869
39,0.235,0.600983881073951
40,0.239,0.599041577370077
41,0.242,0.598728833553351
42,0.246,0.599864587414091
43,0.250,0.60093450047131
44,0.253,0.60164777584279
45,0.257,0.598652019282577
46,0.260,0.595979980006343
47,0.264,0.593735905952996
48,0.268,0.588836252824296
49,0.271,0.586745807312499
50,0.275,0.590098201558452
51,0.278,0.594262632381166
52,0.282,0.593856614092785
53,0.285,0.587179259269013
54,0.289,0.575075524888372
55,0.293,0.566999052989776
56,0.296,0.56760259368872
57,0.300,0.573067380380977
58,0.303,0.577023315325874
59,0.307,0.578762609885558
60,0.311,0.578104201850346
61,0.314,0.575651631919183
62,0.318,0.57419764750809
63,0.321,0.572310211140483
64,0.325,0.573314283394181
65,0.328,0.573934284294006
66,0.332,0.571629856170765
67,0.336,0.567635514090481
68,0.339,0.56629675108555
69,0.343,0.569177286239601
