FID RT (min),FID Signal,,MS RT (min),MS Signal
0.00082605,3.462424822,,0.096,0.962104537
0.001659383,3.454797644,,0.099,0.954661756
0.002492717,3.440539333,,0.103,0.95347323
0.00332605,3.425512578,,0.106,0.957147514
0.004159383,3.415465078,,0.11,0.957625824
0.004992717,3.408821222,,0.113,0.961840018
0.00582605,3.407216367,,0.117,0.960531915
0.006659383,3.4156496,,0.121,0.958810726
0.007492717,3.4291492,,0.124,0.960539162
0.00832605,3.442703367,,0.128,0.964872933
0.009159383,3.450526822,,0.131,0.966648475
0.009992717,3.457851244,,0.135,0.964423613
0.01082605,3.460750878,,0.139,0.962231362
0.011659383,3.4676491,,0.142,0.95974198
0.012492717,3.476067878,,0.146,0.962528493
0.01332605,3.485726722,,0.149,0.962329198
0.014159383,3.495905378,,0.153,0.960586268
0.014992717,3.510373489,,0.157,0.961481286
0.01582605,3.519559644,,0.16,0.963260451
0.016659383,3.519405244,,0.164,0.964075751
0.017492717,3.509970167,,0.167,0.958227334
0.01832605,3.496973056,,0.171,0.950349726
0.019159383,3.484994122,,0.174,0.94917207
0.019992717,3.474884811,,0.178,0.951574487
0.02082605,3.468046822,,0.182,0.949632262
0.021659383,3.4592407,,0.185,0.941816254
0.022492717,3.453337667,,0.189,0.935272114
0.02332605,3.451697567,,0.192,0.934221283
0.024159383,3.453217022,,0.196,0.934739451
0.024992717,3.451208611,,0.2,0.935076442
0.02582605,3.449261344,,0.203,0.93525762
0.026659383,3.4484664,,0.207,0.929844029
0.027492717,3.448438689,,0.21,0.918433455
0.02832605,3.447850611,,0.214,0.910537729
0.029159383,3.4492541,,0.218,0.912298776
0.029992717,3.450920756,,0.221,0.916067273
0.03082605,3.452253067,,0.225,0.915766518
0.031659383,3.4513456,,0.228,0.914335214
0.032492717,3.450177667,,0.232,0.917299282
0.03332605,3.448151233,,0.235,0.922321529
0.034159383,3.447818044,,0.239,0.924883382
0.034992717,3.448158033,,0.243,0.921430134
0.03582605,3.448751878,,0.246,0.91329163
0.036659383,3.447496211,,0.25,0.90936732
0.037492717,3.445938156,,0.253,0.910450763
0.03832605,3.4477217,,0.257,0.908834658
0.039159383,3.4509608,,0.261,0.904736417
0.039992717,3.453470467,,0.264,0.901138227
0.04082605,3.453979378,,0.268,0.897670485
0.041659383,3.452674011,,0.271,0.896576172
0.042492717,3.452351456,,0.275,0.898688704
0.04332605,3.450578689,,0.279,0.897612509
0.044159383,3.450312722,,0.282,0.890724131
0.044992717,3.450861533,,0.286,0.88629977
0.04582605,3.451471611,,0.289,0.886770833
0.046659383,3.451939167,,0.293,0.886691114
0.047492717,3.451416211,,0.296,0.885966403
0.04832605,3.451914533,,0.3,0.88814416
0.049159383,3.452885978,,0.304,0.890582812
0.049992717,3.452115378,,0.307,0.890173351
0.05082605,3.453469978,,0.311,0.887412202
0.051659383,3.453597144,,0.314,0.884806866
0.052492717,3.4553777,,0.318,0.883614716
0.05332605,3.455869289,,0.322,0.883063936
0.054159383,3.455512589,,0.325,0.882085576
0.054992717,3.456235167,,0.329,0.880936909
0.05582605,3.456354922,,0.332,0.876755327
0.056659383,3.458581278,,0.336,0.870983004
0.057492717,3.458695289,,0.34,0.867040576
0.05832605,3.458748111,,0.343,0.866417325
0.059159383,3.456641356,,0.347,0.866924623
