#"+EI TIC Scan Ni001BEA_265_24h_001_GA.d "
#Point,X(Minutes),Y(Counts)
0,0.096,0.962104537455219
1,0.099,0.954661755831903
2,0.103,0.953473229847265
3,0.106,0.957147514446117
4,0.110,0.957625823683837
5,0.113,0.96184001795254
6,0.117,0.960531914658471
7,0.121,0.958810726113644
8,0.124,0.960539161768134
9,0.128,0.964872933346267
10,0.131,0.966648475213562
11,0.135,0.964423612547196
12,0.139,0.962231361874311
13,0.142,0.959741979705267
14,0.146,0.962528493370471
15,0.149,0.962329197854754
16,0.153,0.96058626798094
17,0.157,0.96148128602425
18,0.160,0.963260451446376
19,0.164,0.9640757512834
20,0.167,0.958227333785819
21,0.171,0.950349725582757
22,0.174,0.949172070262612
23,0.178,0.951574487115708
24,0.182,0.949632261726177
25,0.185,0.941816253955246
26,0.189,0.935272113930072
27,0.192,0.934221283029019
28,0.196,0.934739451369883
29,0.200,0.935076441969186
30,0.203,0.935257619710747
31,0.207,0.929844028792912
32,0.210,0.918433454629416
33,0.214,0.910537728652198
34,0.218,0.912298776300169
35,0.221,0.916067273324632
36,0.225,0.915766518273641
37,0.228,0.914335214115311
38,0.232,0.917299281967245
39,0.235,0.922321528963309
40,0.239,0.924883382228978
41,0.243,0.92143013447483
42,0.246,0.913291630323921
43,0.250,0.909367320441716
44,0.253,0.910450763336249
45,0.257,0.908834657881527
46,0.261,0.904736417367423
47,0.264,0.901138227420026
48,0.268,0.897670485446554
49,0.271,0.896576171887527
50,0.275,0.898688704354125
51,0.279,0.897612508569254
52,0.282,0.890724130835114
53,0.286,0.886299770386201
54,0.289,0.886770832514259
55,0.293,0.886691114307972
56,0.296,0.885966403341729
57,0.300,0.888144159795289
58,0.304,0.890582812196697
59,0.307,0.89017335050077
60,0.311,0.887412201719384
61,0.314,0.88480686579574
62,0.318,0.883614716256271
63,0.322,0.883063935921926
64,0.325,0.882085576117498
65,0.329,0.880936909236003
66,0.332,0.876755326960781
67,0.336,0.870983004114655
68,0.340,0.867040576458293
69,0.343,0.866417325027324
70,0.347,0.866924622703694
71,0.350,0.866620244097872
72,0.354,0.865953510008929
73,0.357,0.866377465924181
74,0.361,0.867192765761204
75,0.365,0.868566093042235
76,0.368,0.870515565541428
77,0.372,0.869403134208245
78,0.375,0.864746866250134
79,0.379,0.860525424871769
80,0.383,0.85715914243357
81,0.386,0.851241877394196
82,0.390,0.846237748172288
83,0.393,0.845197787935729
84,0.397,0.846458785016992
85,0.400,0.8469008587064
86,0.404,0.846042076211402
87,0.408,0.843193962114067
88,0.411,0.84126260738903
89,0.415,0.846408055249355
90,0.418,0.856579373660576
91,0.422,0.85960504194464
92,0.426,0.854140721259168
93,0.429,0.850995475665673
94,0.433,0.851488279122719
95,0.436,0.849263416456353
96,0.440,0.847056671564143
97,0.444,0.847871971401166
98,0.447,0.84746613326007
99,0.451,0.845455060328746
100,0.454,0.844973127536194
101,0.458,0.84463251338206
102,0.461,0.843657777132463
103,0.465,0.842621440450735
104,0.469,0.839813185456544
105,0.472,0.835229388595057
106,0.476,0.833754601778752
107,0.479,0.839784197017894
108,0.483,0.845056469297312
109,0.487,0.841030699879832
110,0.490,0.835182282382251
111,0.494,0.836805634946635
112,0.497,0.840302365358758
113,0.501,0.839095721599963
114,0.505,0.836146147967354
115,0.508,0.833037137922172
116,0.512,0.82787357228769
117,0.515,0.823137586123292
118,0.519,0.822463604924686
119,0.522,0.825703062943793
120,0.526,0.831026064990847
121,0.530,0.833515447159892
122,0.533,0.829174428472097
123,0.537,0.824438442307699
124,0.540,0.82599294733029
125,0.544,0.829312123555683
126,0.548,0.828688872124714
127,0.551,0.825913229124003
128,0.555,0.825275483473709
129,0.558,0.825492896763582
130,0.562,0.824862398222951
131,0.566,0.823351375858334
132,0.569,0.820024952523279
133,0.573,0.81806098580476
134,0.576,0.819930740097667
135,0.580,0.821434515352621
136,0.583,0.81910456959615
137,0.587,0.81573466360312
138,0.591,0.813361235188674
139,0.594,0.811991531462475
140,0.598,0.810542109529989
141,0.601,0.809784786570265
142,0.605,0.811444374682962
143,0.609,0.81260391222895
144,0.612,0.808694096566069
145,0.616,0.803490671828445
146,0.619,0.800428767996068
147,0.623,0.796790718945528
148,0.627,0.794663692259605
149,0.630,0.797776325859619
150,0.634,0.803613872692706
151,0.637,0.807690371877823
152,0.641,0.80735338127852
153,0.644,0.805965559778165
154,0.648,0.808614378359783
155,0.652,0.810600086407288
156,0.655,0.806795353834513
157,0.659,0.80246158225638
158,0.662,0.802211556973026
159,0.666,0.801109996304336
160,0.670,0.796482716784875
161,0.673,0.792217792748535
162,0.677,0.793833898203257
163,0.680,0.801283926936235
164,0.684,0.807027261343711
165,0.688,0.805382167450339
166,0.691,0.800327308460794
167,0.695,0.80049399198303
168,0.698,0.807164956427297
169,0.702,0.811390021360493
170,0.705,0.809723186138134
171,0.709,0.806523587222172
172,0.713,0.80329862342239
173,0.716,0.802932644384438
174,0.720,0.80953113773208
175,0.723,0.813763449774939
176,0.727,0.806646788086433
177,0.731,0.797635007221201
178,0.734,0.795504356980447
179,0.738,0.796272550604664
180,0.741,0.793909992854712
181,0.745,0.790514721977864
182,0.748,0.787815173628609
183,0.752,0.783133540786679
184,0.756,0.782923374606468
185,0.759,0.777585878340089
186,0.763,0.767740679863677
187,0.766,0.767258747071126
188,0.770,0.772165040312591
189,0.774,0.764051901045501
190,0.777,0.746763920945774
191,0.781,0.752913093494346
192,0.784,0.764954166198473
193,0.788,0.757235994407985
194,0.792,0.750680983718317
195,0.795,0.764939671979148
196,0.799,0.79306932813387
197,0.802,0.805566968746731
198,0.806,0.780984772771768
199,0.809,0.759475351293676
200,0.813,0.77111783296637
201,0.817,0.812252427410323
202,0.820,0.825032705300018
203,0.824,0.777401077043697
204,0.827,0.718902407848562
205,0.831,0.704647343142562
206,0.835,0.687362986597666
207,0.838,0.677945367591339
208,0.842,0.753210224990505
209,0.845,0.851220136065209
210,0.849,0.891847432832791
211,0.853,0.858325927089221
212,0.856,0.816260079053646
213,0.860,0.8229527848269
214,0.863,0.820427167109544
