#"+EI TIC Scan Ni01BEA_265_24h_001_LA.d "
#Point,X(Minutes),Y(Counts)
0,0.101,0.0169871626752987
1,0.108,0.0201288957955261
2,0.114,0.0226561574537532
3,0.121,0.0250446674915285
4,0.127,0.0268211837748117
5,0.134,0.0276834259876185
6,0.140,0.0283102859871592
7,0.147,0.0290709421921354
8,0.153,0.0297869996619664
9,0.159,0.0302205984758779
10,0.166,0.0298538977646841
11,0.172,0.029056075947087
12,0.179,0.0285605344454738
13,0.185,0.0276090947623766
14,0.192,0.0264321836960453
15,0.198,0.025287482827319
16,0.205,0.0243979858319234
17,0.211,0.0233598263860438
18,0.218,0.0221160172169948
19,0.224,0.0208003545302119
20,0.231,0.0198117492344937
21,0.237,0.0188256216462835
22,0.244,0.0182384049668719
23,0.250,0.0174430608567828
24,0.257,0.0165139205412582
25,0.263,0.0158870605417175
26,0.269,0.0153221432298786
27,0.276,0.0146779392777815
28,0.282,0.0135035059189583
29,0.289,0.0126313528761192
30,0.295,0.0123711935877723
31,0.302,0.0116997348530864
32,0.308,0.0108994353279812
33,0.315,0.0103295626011261
34,0.321,0.00987118671213392
35,0.328,0.00926662608016588
36,0.334,0.00905354323447223
37,0.341,0.00882559414373018
38,0.347,0.00884789351130277
39,0.354,0.00845393801752031
40,0.360,0.00799308442102009
41,0.366,0.00801290608108461
42,0.373,0.00762886141733442
43,0.379,0.00702925620038251
44,0.386,0.00650893762368871
45,0.392,0.00613728149747885
46,0.399,0.00622647896776921
47,0.405,0.00591181011424486
48,0.412,0.00591924323676906
49,0.418,0.00593410948181745
50,0.425,0.00581022410641417
51,0.431,0.00566403936343829
52,0.438,0.0055327208655108
53,0.444,0.00531220489729295
54,0.451,0.00504956790143798
55,0.457,0.0048389627632524
56,0.464,0.00452677161723611
57,0.470,0.00436324292170377
58,0.476,0.00382062497743738
59,0.483,0.00363231920682438
60,0.489,0.00351834466145336
61,0.496,0.00391230015523581
62,0.502,0.00425174608384082
63,0.509,0.00424431296131662
64,0.515,0.00412538300092946
65,0.522,0.00374877145970347
66,0.528,0.00342171406863879
67,0.535,0.0034787013413243
68,0.541,0.00352825549148562
69,0.548,0.00362736379180825
70,0.554,0.00352082236896142
71,0.561,0.00337463762598554
72,0.567,0.00346631280378397
73,0.573,0.00343905802119525
74,0.580,0.00335481596592102
75,0.586,0.00322349746799353
76,0.593,0.00337463762598554
77,0.599,0.00345144655873558
78,0.606,0.00325818537310645
79,0.612,0.00306492418747732
80,0.619,0.00306492418747732
81,0.625,0.00319128727038868
82,0.632,0.00332756118333229
83,0.638,0.0032259751755016
84,0.645,0.00296829359466276
85,0.651,0.00275521074896911
86,0.658,0.00274529991893684
87,0.664,0.00273043367388845
88,0.671,0.00292617256702564
89,0.677,0.00305005794242893
90,0.683,0.00325075225058226
91,0.690,0.00326314078812258
92,0.696,0.00297324900967889
93,0.703,0.00261398142100936
94,0.709,0.00247770750806574
95,0.716,0.00216551636204946
96,0.722,0.00216799406955753
97,0.729,0.00224975841732369
98,0.735,0.00223984758729143
99,0.742,0.00218533802211399
100,0.748,0.00216551636204946
101,0.755,0.00223736987978337
102,0.761,0.00240089857531571
103,0.768,0.00241824252787217
104,0.774,0.00234391130263019
105,0.780,0.00233895588761406
106,0.787,0.00228940173745275
107,0.793,0.00200446537402519
108,0.800,0.00176165003823474
109,0.806,0.00193261185629128
110,0.813,0.00188553541363803
111,0.819,0.00194747810133967
112,0.826,0.00197225517642033
113,0.832,0.00219524885214625
114,0.839,0.00222250363473497
115,0.845,0.00220020426716238
116,0.852,0.00186323604606544
117,0.858,0.00173935067066215
118,0.865,0.0018657137535735
119,0.871,0.00200198766651712
120,0.878,0.00218038260709785
121,0.884,0.00220515968217851
122,0.890,0.00195986663888
123,0.897,0.00195243351635581
124,0.903,0.00196977746891227
125,0.910,0.00208127430677522
126,0.916,0.0020614526467107
127,0.923,0.00211100679687201
128,0.929,0.00196482205389613
129,0.936,0.00169475193551697
130,0.942,0.00171705130308956
131,0.949,0.00195986663888
132,0.955,0.00204906410917037
133,0.962,0.00202676474159778
134,0.968,0.00195986663888
135,0.975,0.00176908316075894
136,0.981,0.00186075833855737
137,0.987,0.0018012933583638
138,0.994,0.00158077739014594
139,1.000,0.00128593019668612
140,1.007,0.00134291746937163
141,1.013,0.00147175825979105
142,1.020,0.00190783478121062
143,1.026,0.00213082845693654
144,1.033,0.00206393035421876
145,1.039,0.00163033154030726
146,1.046,0.00123885375403287
147,1.052,0.00128345248917805
148,1.059,0.00139247161953295
149,1.065,0.00148910221234751
150,1.072,0.00166006403040405
151,1.078,0.0013528282994039
152,1.085,0.00132309580930711
153,1.091,0.00112240150115378
154,1.097,0.00112487920866185
155,1.104,0.00141972640212167
156,1.110,0.00169475193551697
157,1.117,0.00162537612529113
158,1.123,0.0015188347024443
159,1.130,0.00186819146108157
160,1.136,0.00209366284431555
161,1.143,0.00194252268632354
162,1.149,0.00147919138231525
163,1.156,0.00100099383325856
164,1.162,0.000891974702903667
165,1.169,0.0011645225287909
166,1.175,0.00117691106633123
167,1.182,0.00105054798341988
168,1.188,0.00111496837862958
169,1.194,0.00137017225196036
170,1.201,0.00147919138231525
171,1.207,0.00137512766697649
172,1.214,0.001243809169049
173,1.220,0.00122646521649254
174,1.227,0.00118929960387156
175,1.233,0.00101338237079889
176,1.240,0.000879586165363339
177,1.246,0.000844898260250418
178,1.253,0.000976216758177903
179,1.259,0.00112983462367798
180,1.266,0.00115461169875864
181,1.272,0.00108771359604086
182,1.279,0.000931618023032719
183,1.285,0.00104559256840374
184,1.292,0.00118186648134736
185,1.298,0.00121655438646028
186,1.304,0.00101586007830695
187,1.311,0.00105054798341988
188,1.317,0.00118929960387156
189,1.324,0.00120416584891995
190,1.330,0.00105550339843601
191,1.337,0.00120912126393608
192,1.343,0.00109019130354893
193,1.350,0.00120664355642802
194,1.356,0.00112983462367798
195,1.363,0.000812688062645564
196,1.369,0.000735879129895526
197,1.376,0.000891974702903667
198,1.382,0.000973739050669837
199,1.389,0.00100099383325856
200,1.395,0.000854809090282681
201,1.401,0.000971261343161771
202,1.408,0.00113974545371024
203,1.414,0.00126363082911353
204,1.421,0.00132805122432324
205,1.427,0.00110257984108926
206,1.434,0.00110257984108926
207,1.440,0.00100347154076663
208,1.447,0.000919229485492391
209,1.453,0.000981172173194034
210,1.460,0.00118682189636349
211,1.466,0.00130575185675065
212,1.473,0.00117443335882316
213,1.479,0.000958872805621443
214,1.486,0.000716057469831
215,1.492,0.000537662529250266
216,1.499,0.000502974624137346
217,1.505,0.000567395019347055
218,1.511,0.000790388695072972
219,1.518,0.000953917390605311
220,1.524,0.000899407825427865
221,1.531,0.000825076600185892
222,1.537,0.000981172173194034
223,1.544,0.00101338237079889
224,1.550,0.00110505754859732
225,1.557,0.000956395098113377
226,1.563,0.000723490592355197
227,1.570,0.000716057469831
228,1.576,0.00103072632335535
229,1.583,0.00132805122432324
230,1.589,0.00118186648134736
231,1.596,0.00102081549332309
232,1.602,0.000991083003226297
233,1.608,0.00102824861584728
234,1.615,0.000773044742516512
235,1.621,0.000463331304008294
236,1.628,0.000649159367113225
237,1.634,0.000953917390605311
238,1.641,0.00076808932750038
239,1.647,0.000641726244589027
240,1.654,0.000564917311838989
241,1.660,0.000716057469831
242,1.667,0.000852331382774616
243,1.673,0.000735879129895526
244,1.680,0.000589694386919647
245,1.686,0.000507930039153477
246,1.693,0.000611993754492239
247,1.699,0.000946484268081114
248,1.706,0.000993560710734363
249,1.712,0.00113974545371024
250,1.718,0.00104559256840374
251,1.725,0.000909318655460128
252,1.731,0.000790388695072972
253,1.738,0.000718535177339065
254,1.744,0.000889496995395602
255,1.751,0.00103320403086341
256,1.757,0.00115956711377477
257,1.764,0.001243809169049
258,1.770,0.00140486015707328
259,1.777,0.00132061810179904
260,1.783,0.00125619770658933
261,1.790,0.00128345248917805
262,1.796,0.00114222316121831
263,1.803,0.000839942845234287
264,1.809,0.000567395019347055
265,1.815,0.00048315296407282
266,1.822,0.000631815414556764
267,1.828,0.000780477865040709
268,1.835,0.000820121185169761
269,1.841,0.000785433280056841
270,1.848,0.000678891857210014
271,1.854,0.000626859999540633
272,1.861,0.000550051066790595
273,1.867,0.000490586086597017
274,1.874,0.000629337707048699
275,1.880,0.000874630750347207
276,1.887,0.00109266901105699
277,1.893,0.00096630592814564
278,1.900,0.000755700789960052
279,1.906,0.000693758102258408
280,1.913,0.000507930039153477
281,1.919,0.000507930039153477
282,1.925,0.000758178497468117
283,1.932,0.000976216758177903
284,1.938,0.00130327414924258
285,1.945,0.00124628687655707
286,1.951,0.0010703696434844
287,1.958,0.000874630750347207
288,1.964,0.000592172094427713
289,1.971,0.000797821817597169
290,1.977,0.000971261343161771
291,1.984,0.00106045881345214
292,1.990,0.000790388695072972
293,1.997,0.000624382292032567
294,2.003,0.000480675256564754
295,2.010,0.000535184821742201
296,2.016,0.000569872726855121
297,2.022,0.000795344110089104
298,2.029,0.000978694465685969
299,2.035,0.000857286797790747
300,2.042,0.000760656204976183
301,2.048,0.000686324979734211
302,2.055,0.000703668932290671
303,2.061,0.000889496995395602
304,2.068,0.0009836498807021
305,2.074,0.000941528853064982
306,2.081,0.000676414149701948
307,2.087,0.000512885454169609
308,2.094,0.000557484189314792
309,2.100,0.000649159367113225
310,2.107,0.000820121185169761
311,2.113,0.000847375967758484
312,2.120,0.000879586165363339
313,2.126,0.000686324979734211
314,2.132,0.000505452331645412
315,2.139,0.000455898181484097
316,2.145,0.000636770829572896
317,2.152,0.000743312252419723
318,2.158,0.000584738971903515
319,2.165,0.000676414149701948
320,2.171,0.000882063872871404
321,2.178,0.000872153042839142
322,2.184,0.000842420552742353
323,2.191,0.000792866402581038
324,2.197,0.000711102054814868
325,2.204,0.000579783556887384
326,2.210,0.000426165691387308
327,2.217,0.000411299446338913
328,2.223,0.000431121106403439
329,2.229,0.000428643398895374
330,2.236,0.000371656126209861
331,2.242,0.000240337628282377
332,2.249,0.000289891778443692
333,2.255,0.00040138861630665
334,2.262,0.000396433201290519
335,2.268,0.000245293043298509
336,2.275,0.000190783478121062
337,2.281,0.000391477786274387
338,2.288,0.000896930117919799
339,2.294,0.00210109596683975
340,2.301,0.00651141533119677
341,2.307,0.0173142200663634
342,2.314,0.0364223003685664
343,2.320,0.059809381537199
344,2.327,0.0779511559112563
345,2.333,0.0824011185957424
346,2.339,0.0719699699867856
347,2.346,0.0518262079462112
348,2.352,0.0305600444044829
349,2.359,0.0151387928742817
350,2.365,0.00667989944174524
351,2.372,0.00279733177660622
352,2.378,0.00154608948503302
353,2.385,0.0013379620543555
354,2.391,0.00135035059189583
355,2.398,0.00117938877383929
356,2.404,0.00109019130354893
357,2.411,0.00128840790419419
358,2.417,0.00203172015661391
359,2.424,0.0037611599972438
360,2.430,0.00659317967896294
361,2.436,0.0087586960410124
362,2.443,0.00876117374852047
363,2.449,0.00705403327546317
364,2.456,0.00491329398849437
365,2.462,0.00290882861446918
366,2.469,0.00187066916858964
367,2.475,0.00198216600645259
368,2.482,0.0029435165195821
369,2.488,0.00343162489867105
370,2.495,0.00307979043252572
371,2.501,0.00222250363473497
372,2.508,0.00144202576969426
373,2.514,0.000988605295718231
374,2.521,0.000988605295718231
375,2.527,0.0009836498807021
376,2.534,0.000887019287887536
377,2.540,0.000584738971903515
378,2.546,0.00076808932750038
379,2.553,0.00100594924827469
380,2.559,0.00129336331921032
381,2.566,0.00135778371442003
382,2.572,0.00144698118471039
383,2.579,0.00156343343758948
384,2.585,0.00140733786458134
385,2.592,0.00126115312160546
386,2.598,0.00104559256840374
387,2.605,0.00073340142238746
388,2.611,0.00058226126439545
389,2.618,0.000738356837403591
390,2.624,0.000931618023032719
391,2.631,0.00118186648134736
392,2.637,0.00255699414832385
393,2.643,0.00755948560710858
394,2.650,0.0206244372971392
395,2.656,0.0412786070843753
396,2.663,0.0598292031972635
397,2.669,0.063429312206483
398,2.676,0.0499927043902425
399,2.682,0.0300124710452003
400,2.689,0.0143335379341603
401,2.695,0.0059960521695191
402,2.702,0.00257681580838837
403,2.708,0.00118929960387156
404,2.715,0.000713579762322934
405,2.721,0.000708624347306802
406,2.728,0.00111496837862958
407,2.734,0.00186075833855737
408,2.741,0.00383796892999384
409,2.747,0.00792618631830231
