,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,16.3873297493548,"cis,cis- and cis,trans-1,9-dimethylspiro[4.5]decane",C12H22,75.7137428217076,"cis,cis- and cis,trans-1,9-dimethylspiro[4.5]decane",C12H22,75.7137428217076,"3,4-Dimethylcumene",C11H16,57.6615548154611
1,16.1425509284798,"Indan, 1-methyl-",C10H12,61.2886762018577,"Indan, 1-methyl-",C10H12,61.2886762018577,"Indan, 1-methyl-",C10H12,61.2886762018577
2,15.7467773463352,No Match,,,"Borane, diethyl(decyloxy)-",C14H31BO,77.0722175185309,"Borane, diethyl(decyloxy)-",C14H31BO,77.0722175185309
3,15.6476378170827,"Benzene, 1,2,4,5-tetramethyl-",C10H14,66.0688246760117,"Benzene, 1,2,4,5-tetramethyl-",C10H14,66.0688246760117,"Benzene, 1,2,4,5-tetramethyl-",C10H14,66.0688246760117
4,15.6418930548658,3-Methyl-1-adamantanecarboxylic acid,C12H18O2,62.4694901235308,3-Methyl-1-adamantanecarboxylic acid,C12H18O2,62.4694901235308,3-Methyl-1-adamantanecarboxylic acid,C12H18O2,62.4694901235308
5,15.5764972041396,"Benzene, 1,2,4,5-tetramethyl-",C10H14,74.1458082477645,"Benzene, 1,2,4,5-tetramethyl-",C10H14,74.1458082477645,"Benzene, 1,2,4,5-tetramethyl-",C10H14,74.1458082477645
6,15.529027010903,cis-4a-Methyl-decahydronaphthalene,C11H20,79.2556249782911,cis-4a-Methyl-decahydronaphthalene,C11H20,79.2556249782911,cis-4a-Methyl-decahydronaphthalene,C11H20,79.2556249782911
7,15.480424363981,3-Ethyl-3-methylheptane,C10H22,79.2480325940991,3-Ethyl-3-methylheptane,C10H22,79.2480325940991,3-Ethyl-3-methylheptane,C10H22,79.2480325940991
8,15.4097848469027,No Match,,,"1-Adamantanecarboxylic acid, 4-nitrophenyl ester",C17H19NO4,77.7835514049817,"1-Adamantanecarboxylic acid, 4-nitrophenyl ester",C17H19NO4,77.7835514049817
9,15.1821,"Undecane, 4,7-dimethyl-",C13H28,83.0926853364822,"Undecane, 4,7-dimethyl-",C13H28,83.0926853364822,"1-Pentanone, 1-(2-furanyl)-",C9H12O2,70.9714125102221
10,15.1267761974183,"Indan, 1-methyl-",C10H12,57.3909891041938,"Indan, 1-methyl-",C10H12,57.3909891041938,"Indan, 1-methyl-",C10H12,57.3909891041938
11,15.1079004294969,"Indan, 1-methyl-",C10H12,60.7703465355787,"Indan, 1-methyl-",C10H12,60.7703465355787,"Indan, 1-methyl-",C10H12,60.7703465355787
12,15.0702181046812,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,88.4616264770937,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,88.4616264770937,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,88.4616264770937
13,15.0256501402713,No Match,,,Methylphosphonic dichloride,CH3Cl2OP,55.049537214852,Methylphosphonic dichloride,CH3Cl2OP,55.049537214852
14,14.9655301550587,"o-Toluic acid, tridec-2-ynyl ester",C21H30O2,73.1036998303242,"o-Toluic acid, tridec-2-ynyl ester",C21H30O2,73.1036998303242,"o-Toluic acid, tridec-2-ynyl ester",C21H30O2,73.1036998303242
15,14.9333348035414,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,84.3846424371552,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,84.3846424371552,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,84.3846424371552
16,14.8831904061582,"Decane, 3,8-dimethyl-",C12H26,66.8784968160192,"Decane, 3,8-dimethyl-",C12H26,66.8784968160192,"Decane, 3,8-dimethyl-",C12H26,66.8784968160192
17,14.8700289319605,"Nonane, 2,2,4,4,6,8,8-heptamethyl-",C16H34,70.1729525971679,"Nonane, 2,2,4,4,6,8,8-heptamethyl-",C16H34,70.1729525971679,"Nonane, 2,2,4,4,6,8,8-heptamethyl-",C16H34,70.1729525971679
18,14.7982845679667,No Match,,,Trichloromethane,CHCl3,53.2530812749467,Trichloromethane,CHCl3,53.2530812749467
19,14.7439291467832,"Nonane, 5-(2-methylpropyl)-",C13H28,88.4921893176083,"Nonane, 5-(2-methylpropyl)-",C13H28,88.4921893176083,"Nonane, 5-(2-methylpropyl)-",C13H28,88.4921893176083
20,14.6839420401932,Isomaltol,C6H6O3,61.6926058603945,Isomaltol,C6H6O3,61.6926058603945,Isomaltol,C6H6O3,61.6926058603945
21,14.6339487818646,"Decane, 2-methyl-",C11H24,91.2213288123524,"Decane, 2-methyl-",C11H24,91.2213288123524,"Decane, 2-methyl-",C11H24,91.2213288123524
22,14.613141364221,p-Cymene,C10H14,62.5562423946647,p-Cymene,C10H14,62.5562423946647,p-Cymene,C10H14,62.5562423946647
23,14.5751,"Decane, 4-methyl-",C11H24,76.8844683161038,"Decane, 4-methyl-",C11H24,76.8844683161038,"Nonane, 4-methyl-5-propyl-",C13H28,75.841115735944
24,14.5615167957111,"Benzene, 1-methyl-4-propyl-",C10H14,82.79842304084,"Benzene, 1-methyl-4-propyl-",C10H14,82.79842304084,"Benzene, 1-methyl-4-propyl-",C10H14,82.79842304084
25,14.5213175597658,"Decane, 5-methyl-",C11H24,86.1696891390318,"Decane, 5-methyl-",C11H24,86.1696891390318,"Decane, 5-methyl-",C11H24,86.1696891390318
26,14.4969051248386,"Benzene, 1-methyl-4-propyl-",C10H14,85.1838586430674,"Benzene, 1-methyl-4-propyl-",C10H14,85.1838586430674,"Benzene, 1-methyl-4-propyl-",C10H14,85.1838586430674
27,14.4704633387362,"Nonane, 2,3-dimethyl-",C11H24,75.2478920253105,"Nonane, 2,3-dimethyl-",C11H24,75.2478920253105,"Nonane, 2,3-dimethyl-",C11H24,75.2478920253105
28,14.43461109531,"Nonane, 5-(2-methylpropyl)-",C13H28,75.0596175157105,"Nonane, 5-(2-methylpropyl)-",C13H28,75.0596175157105,"Nonane, 5-(2-methylpropyl)-",C13H28,75.0596175157105
29,14.3895,No Match,,,"Benzene, 1-fluoro-2-methoxy-",C7H7FO,63.6214945943912,"Benzene, 1-fluoro-4-methoxy-",C7H7FO,63.2221012981455
30,14.2729427603229,"Benzeneethanol, .beta.-ethenyl-",C10H12O,74.8795061944015,"Benzeneethanol, .beta.-ethenyl-",C10H12O,74.8795061944015,"Benzeneethanol, .beta.-ethenyl-",C10H12O,74.8795061944015
31,14.2200690743908,"Nonane, 5-methyl-5-propyl-",C13H28,78.6465027420225,"Nonane, 5-methyl-5-propyl-",C13H28,78.6465027420225,"Nonane, 5-methyl-5-propyl-",C13H28,78.6465027420225
32,14.1951784766029,No Match,,,[(Furan-2-carbonyl)methylamino]acetic acid,C8H9NO4,60.4167595500998,[(Furan-2-carbonyl)methylamino]acetic acid,C8H9NO4,60.4167595500998
33,14.1434253961915,"Dodecane, 2,7,10-trimethyl-",C15H32,86.813593099842,"Dodecane, 2,7,10-trimethyl-",C15H32,86.813593099842,"Dodecane, 2,7,10-trimethyl-",C15H32,86.813593099842
34,14.028872692473,No Match,,,"Sulfurous acid, 2-ethylhexyl hexyl ester",C14H30O3S,81.1844032737887,"Sulfurous acid, 2-ethylhexyl hexyl ester",C14H30O3S,81.1844032737887
35,13.9927517403021,p-Cymene,C10H14,53.9545516659908,p-Cymene,C10H14,53.9545516659908,p-Cymene,C10H14,53.9545516659908
36,13.9377587089817,"Heptane, 3,3,5-trimethyl-",C10H22,86.6168867309603,"Heptane, 3,3,5-trimethyl-",C10H22,86.6168867309603,"Heptane, 3,3,5-trimethyl-",C10H22,86.6168867309603
37,13.8868511997024,"Nonane, 2,5-dimethyl-",C11H24,87.504971278631,"Nonane, 2,5-dimethyl-",C11H24,87.504971278631,"Nonane, 2,5-dimethyl-",C11H24,87.504971278631
38,13.8302,"Undecane, 4,7-dimethyl-",C13H28,82.0410716821929,"Undecane, 4,7-dimethyl-",C13H28,82.0410716821929,"Undecane, 6,6-dimethyl-",C13H28,73.5629138755469
39,13.7878,"Undecane, 4,7-dimethyl-",C13H28,86.9448042624423,"Undecane, 4,7-dimethyl-",C13H28,86.9448042624423,"Undecane, 2,7-dimethyl-",C13H28,80.5883452365468
40,13.7469590721184,No Match,,,((5-Isopropyl-2-methylcyclohexyl)sulfonylmethyl)benzene,C17H26O2S,57.3271320550192,((5-Isopropyl-2-methylcyclohexyl)sulfonylmethyl)benzene,C17H26O2S,57.3271320550192
41,13.6786882907653,No Match,,,"Imidazole, 2-acetamino-5-methyl-",C6H9N3O,67.861288199647,"Imidazole, 2-acetamino-5-methyl-",C6H9N3O,67.861288199647
42,13.626600511873,"Nonane, 5-methyl-5-propyl-",C13H28,52.410572811886,"Nonane, 5-methyl-5-propyl-",C13H28,52.410572811886,"Nonane, 5-methyl-5-propyl-",C13H28,52.410572811886
43,13.6010550587246,"m-Menthane, (1S,3S)-(+)-",C10H20,84.2116167735179,"m-Menthane, (1S,3S)-(+)-",C10H20,84.2116167735179,"m-Menthane, (1S,3S)-(+)-",C10H20,84.2116167735179
44,13.5374555520839,Decane,C10H22,93.8613741898263,Decane,C10H22,93.8613741898263,Decane,C10H22,93.8613741898263
45,13.5049875283418,"Trans-1,4-diethylcyclohexane",C10H20,67.8361506780283,"Trans-1,4-diethylcyclohexane",C10H20,67.8361506780283,"Trans-1,4-diethylcyclohexane",C10H20,67.8361506780283
46,13.4923,"Benzene, 1,2,4-trimethyl-",C9H12,97.5334302720048,"Benzene, 1,2,4-trimethyl-",C9H12,97.5334302720048,"Tricyclo[5.2.1.0(1,5)]dec-5-en-8-ol",C10H14O,67.1746829156702
47,13.4425584293921,"Fumaric acid, ethyl tetrahydrofurfuryl ester",C11H16O5,61.446297610172,"Fumaric acid, ethyl tetrahydrofurfuryl ester",C11H16O5,61.446297610172,"Fumaric acid, ethyl tetrahydrofurfuryl ester",C11H16O5,61.446297610172
48,13.3873,"Trans-1,4-diethylcyclohexane",C10H20,63.2305121980606,"Boroxin, ethyldimethyl-",C4H11B3O3,68.4339758166865,"Trans-1,4-diethylcyclohexane",C10H20,63.2305121980606
49,13.3316778968131,No Match,,,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,80.9334461522554,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,80.9334461522554
50,13.2789754657421,"m-Menthane, (1S,3S)-(+)-",C10H20,85.9219643061788,"m-Menthane, (1S,3S)-(+)-",C10H20,85.9219643061788,"m-Menthane, (1S,3S)-(+)-",C10H20,85.9219643061788
51,13.2450676559061,"Benzene, 1-ethyl-4-methyl-",C9H12,84.4471096318822,"Benzene, 1-ethyl-4-methyl-",C9H12,84.4471096318822,"Benzene, 1-ethyl-4-methyl-",C9H12,84.4471096318822
52,13.2116227645021,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,68.5363390897357,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,68.5363390897357,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,68.5363390897357
53,13.1284892860586,"Cyclohexane, 1-ethyl-2,3-dimethyl-",C10H20,80.3066528946346,"Cyclohexane, 1-ethyl-2,3-dimethyl-",C10H20,80.3066528946346,"Cyclohexane, 1-ethyl-2,3-dimethyl-",C10H20,80.3066528946346
54,13.1229926507618,"Nonane, 2,5-dimethyl-",C11H24,79.3148050041662,"Nonane, 2,5-dimethyl-",C11H24,79.3148050041662,"Nonane, 2,5-dimethyl-",C11H24,79.3148050041662
55,13.0955215439018,No Match,,,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,76.8150613523926,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,76.8150613523926
56,13.0189,"Nonane, 3-methyl-",C10H22,95.0150100350757,"Nonane, 3-methyl-",C10H22,95.0150100350757,"Benzene, 1,2,4-trimethyl-",C9H12,73.9961387712266
57,12.9597,"Nonane, 2,3-dimethyl-",C11H24,80.9480764222944,"Nonane, 2,3-dimethyl-",C11H24,80.9480764222944,"Sulfurous acid, di(2-ethylhexyl) ester",C16H34O3S,75.5560115386704
58,12.8933,"Benzene, 1-ethyl-2-methyl-",C9H12,94.4737701092937,"Benzene, 1-ethyl-2-methyl-",C9H12,94.4737701092937,"Nonane, 2-methyl-",C10H22,94.1461369721678
59,12.8614250906522,"Trans-1,4-diethylcyclohexane",C10H20,65.83200285681,"Trans-1,4-diethylcyclohexane",C10H20,65.83200285681,"Trans-1,4-diethylcyclohexane",C10H20,65.83200285681
60,12.8431238472006,"Nonane, 4-methyl-",C10H22,91.3031672376024,"Nonane, 4-methyl-",C10H22,91.3031672376024,"Nonane, 4-methyl-",C10H22,91.3031672376024
61,12.8130525830319,5-Methyl-2-(2-methyl-2-tetrahydrofuryl)tetrahydrofuran,C10H18O2,81.0837466901182,5-Methyl-2-(2-methyl-2-tetrahydrofuryl)tetrahydrofuran,C10H18O2,81.0837466901182,5-Methyl-2-(2-methyl-2-tetrahydrofuryl)tetrahydrofuran,C10H18O2,81.0837466901182
62,12.7466047818941,"Benzene, propyl-",C9H12,91.5804876514771,"Benzene, propyl-",C9H12,91.5804876514771,"Benzene, propyl-",C9H12,91.5804876514771
63,12.7229638686987,"Cyclobutanecarboxylic acid, 2-tetrahydrofurylmethyl ester",C10H16O3,64.3474986877475,"Cyclobutanecarboxylic acid, 2-tetrahydrofurylmethyl ester",C10H16O3,64.3474986877475,"Cyclobutanecarboxylic acid, 2-tetrahydrofurylmethyl ester",C10H16O3,64.3474986877475
64,12.7170711000567,"Octane, 4-ethyl-",C10H22,93.7248665212078,"Octane, 4-ethyl-",C10H22,93.7248665212078,"Octane, 4-ethyl-",C10H22,93.7248665212078
65,12.6806089640147,5-Acetyl-2-furanmethanol,C7H8O3,64.8304155695819,5-Acetyl-2-furanmethanol,C7H8O3,64.8304155695819,5-Acetyl-2-furanmethanol,C7H8O3,64.8304155695819
66,12.6067,"Cyclooctane, 1-methyl-3-propyl-",C12H24,79.0964025310426,"(1,2,4-Trimethylcyclohexyl)methanol (isomer 3)",C10H20O,81.7842475991026,"Cyclooctane, 1-methyl-3-propyl-",C12H24,79.0964025310426
67,12.562945709892,No Match,,,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,64.2355462673206,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,64.2355462673206
68,12.5391210596437,"2-Hepten-4-one, 6-methyl-",C8H14O,62.6985255802863,"2-Hepten-4-one, 6-methyl-",C8H14O,62.6985255802863,"2-Hepten-4-one, 6-methyl-",C8H14O,62.6985255802863
69,12.5308008279475,No Match,,,"1H-1,2,4-Triazol-3-amine, 5-methyl-",C3H6N4,66.9252413645199,"1H-1,2,4-Triazol-3-amine, 5-methyl-",C3H6N4,66.9252413645199
70,12.4948745307034,"Cyclohexane, 1,1,3,5-tetramethyl-, trans-",C10H20,71.8181607582015,"Cyclohexane, 1,1,3,5-tetramethyl-, trans-",C10H20,71.8181607582015,"Cyclohexane, 1,1,3,5-tetramethyl-, trans-",C10H20,71.8181607582015
71,12.4480224870901,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,63.215814911691,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,63.215814911691,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,63.215814911691
72,12.4242295200075,"Octane, 3,6-dimethyl-",C10H22,89.8676847824765,"Octane, 3,6-dimethyl-",C10H22,89.8676847824765,"Octane, 3,6-dimethyl-",C10H22,89.8676847824765
73,12.343824376508,No Match,,,"Azetidine, 1,1'-methylenebis-",C7H14N2,59.6631918644482,"Azetidine, 1,1'-methylenebis-",C7H14N2,59.6631918644482
74,12.3386408242995,No Match,,,"2-Pyrazoline, 4-ethyl-1-isopropyl-",C8H16N2,66.5775020544808,"2-Pyrazoline, 4-ethyl-1-isopropyl-",C8H16N2,66.5775020544808
75,12.3100294157024,"Octane, 3,6-dimethyl-",C10H22,93.9366495287319,"Octane, 3,6-dimethyl-",C10H22,93.9366495287319,"Octane, 3,6-dimethyl-",C10H22,93.9366495287319
