FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
1.249,4395.2051,3.026,Pentane,C5H12,99.51192004,Automatically assigned using a linear fit of manual peak assignments,L
1.279,29372.791,2.552677208,Isobutane,C4H10,99.09604099,Manual,B
1.407,11704.0273,3.294236531,"Butane, 2,2-dimethyl-",C6H14,99.25958728,Automatically assigned using a linear fit of manual peak assignments,B
1.463,2109.8428,3.5422,"Cyclopropanecarboxylic acid, 2-methylpentyl ester",C10H18O2,71.36080099,Automatically assigned using a linear fit of manual peak assignments,O
1.523,93.1566,3.6556,"Pentane, 2-methyl-",C6H14,98.85228447,Automatically assigned using a linear fit of manual peak assignments,B
1.563,101.5908,3.6556,"Pentane, 2-methyl-",C6H14,98.85228447,Automatically assigned using a linear fit of manual peak assignments,B
1.693,2972.6082,3.971903503,"1-Pentene, 2-methyl-",C6H12,93.90697974,Automatically assigned using a linear fit of manual peak assignments,E
1.762,900.3963,4.166971798,2-Nonen-4-one,C9H16O,65.43807066,Automatically assigned using a linear fit of manual peak assignments,O
1.853,631.9677,4.4458,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
1.91,28.141,4.569,"Pentane, 2,2-dimethyl-",C7H16,95.47922664,Automatically assigned using a linear fit of manual peak assignments,B
1.998,42.1813,4.708851864,Cyclohexane,C6H12,70.8282031,Automatically assigned using a linear fit of manual peak assignments,C
2.042,373.4514,4.836953309,"Hexane, 3,4-dimethyl-",C8H18,86.06383818,Automatically assigned using a linear fit of manual peak assignments,B
2.24,16.8035,5.178883202,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
2.346,968.7242,5.684188413,"Hexane, 2-methyl-",C7H16,97.58323345,Manual,B
2.428,404.0576,5.7323,"Oxalic acid, diallyl ester",C8H10O4,74.57936241,Automatically assigned using a linear fit of manual peak assignments,O
2.511,50.5378,5.921010307,"Hexane, 3-methyl-",C7H16,98.64576366,Automatically assigned using a linear fit of manual peak assignments,B
2.538,55.3539,5.921010307,"Hexane, 3-methyl-",C7H16,98.64576366,Automatically assigned using a linear fit of manual peak assignments,B
2.567,33.1398,5.921010307,"Hexane, 3-methyl-",C7H16,98.64576366,Automatically assigned using a linear fit of manual peak assignments,B
2.675,213.4161,6.234581426,"Propanoic acid, anhydride",C6H10O3,89.75881635,Automatically assigned using a linear fit of manual peak assignments,O
2.725,9.8569,6.304048949,"Cyclopentane, 1,2-dimethyl-, trans-",C7H14,97.90515646,Automatically assigned using a linear fit of manual peak assignments,C
2.811,2.4972,6.543437554,4-Hexen-3-one,C6H10O,84.71380246,Automatically assigned using a linear fit of manual peak assignments,O
2.856,1.8936,6.689156602,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
2.935,168.2569,6.74876128,"4-Methyl-2-hexene,c&t",C7H14,94.43306554,Automatically assigned using a linear fit of manual peak assignments,E
3.03,126.6652,7.071593142,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
3.054,109.3766,7.071593142,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
