Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.249,4395.2051,4363.6948,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.279,29372.7910,23956.9629,Isobutane-FID
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.407,11704.0273,11601.9297,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.463,2109.8428,1846.4036,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.523,93.1566,77.6231,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.563,101.5908,90.7251,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.693,2972.6082,2436.5107,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.762,900.3963,854.4207,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.853,631.9677,616.8356,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.910,28.1410,12.7358,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,1.998,42.1813,41.3876,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.042,373.4514,292.1351,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.240,16.8035,13.8666,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.346,968.7242,749.4671,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.428,404.0576,360.3681,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.511,50.5378,46.2771,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.538,55.3539,43.4437,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.567,33.1398,27.8735,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.675,213.4161,196.0094,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.725,9.8569,5.1248,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.811,2.4972,2.0411,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.856,1.8936,1.7088,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,2.935,168.2569,121.4244,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,3.030,126.6652,112.3490,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,3.054,109.3766,80.3364,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,3.145,30.5478,26.1519,
F-001-1-MS_Ni01BEA1_001_11224.D,FID1A,3.242,13.7409,10.3035,
