Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
Ni01BEA_265_24h_001_LA.D,FID1A,2.352,0.1249,0.0498,
Ni01BEA_265_24h_001_LA.D,FID1A,2.443,0.4038,0.2800,
Ni01BEA_265_24h_001_LA.D,FID1A,2.493,0.1716,0.0959,
Ni01BEA_265_24h_001_LA.D,FID1A,2.670,2.6863,1.9263,
Ni01BEA_265_24h_001_LA.D,FID1A,2.765,0.7577,0.5155,
Ni01BEA_265_24h_001_LA.D,FID1A,2.868,0.0573,0.0282,
Ni01BEA_265_24h_001_LA.D,FID1A,2.939,0.1323,0.0669,
Ni01BEA_265_24h_001_LA.D,FID1A,3.157,5.3490,2.8557,
Ni01BEA_265_24h_001_LA.D,FID1A,3.276,2.1428,1.2738,
Ni01BEA_265_24h_001_LA.D,FID1A,3.427,2.1461,1.1852,
Ni01BEA_265_24h_001_LA.D,FID1A,3.679,0.4403,0.1968,
Ni01BEA_265_24h_001_LA.D,FID1A,3.767,2.8538,0.8848,
Ni01BEA_265_24h_001_LA.D,FID1A,3.838,0.2224,0.0794,
Ni01BEA_265_24h_001_LA.D,FID1A,4.123,0.2051,0.0489,
Ni01BEA_265_24h_001_LA.D,FID1A,4.364,74211.1328,13720.8750,
Ni01BEA_265_24h_001_LA.D,FID1A,4.441,8.9141,3.0640,
Ni01BEA_265_24h_001_LA.D,FID1A,4.588,0.7285,0.3599,
Ni01BEA_265_24h_001_LA.D,FID1A,4.632,0.2355,0.1784,
Ni01BEA_265_24h_001_LA.D,FID1A,4.678,0.6930,0.4518,
Ni01BEA_265_24h_001_LA.D,FID1A,4.833,1.9542,1.1454,
Ni01BEA_265_24h_001_LA.D,FID1A,5.242,0.2061,0.1088,
Ni01BEA_265_24h_001_LA.D,FID1A,5.325,1.5125,0.7138,
Ni01BEA_265_24h_001_LA.D,FID1A,5.449,1.4463,0.7774,
Ni01BEA_265_24h_001_LA.D,FID1A,5.496,1.0322,0.5829,
Ni01BEA_265_24h_001_LA.D,FID1A,5.559,0.1517,0.0902,
Ni01BEA_265_24h_001_LA.D,FID1A,5.676,0.4138,0.2002,
Ni01BEA_265_24h_001_LA.D,FID1A,5.852,0.1727,0.0750,
Ni01BEA_265_24h_001_LA.D,FID1A,6.122,0.5219,0.2487,
Ni01BEA_265_24h_001_LA.D,FID1A,6.245,4.0757,1.7037,
Ni01BEA_265_24h_001_LA.D,FID1A,6.341,0.2098,0.0880,
Ni01BEA_265_24h_001_LA.D,FID1A,6.433,2.5295,1.1141,
Ni01BEA_265_24h_001_LA.D,FID1A,6.576,0.8741,0.4321,
Ni01BEA_265_24h_001_LA.D,FID1A,6.613,0.6731,0.2691,
Ni01BEA_265_24h_001_LA.D,FID1A,6.809,0.3706,0.1189,
Ni01BEA_265_24h_001_LA.D,FID1A,6.867,0.3382,0.0985,
Ni01BEA_265_24h_001_LA.D,FID1A,7.070,1.6670,0.7201,
Ni01BEA_265_24h_001_LA.D,FID1A,7.226,0.6351,0.2958,
Ni01BEA_265_24h_001_LA.D,FID1A,7.319,0.1273,0.0369,
Ni01BEA_265_24h_001_LA.D,FID1A,7.434,0.1125,0.0477,
Ni01BEA_265_24h_001_LA.D,FID1A,7.505,0.1630,0.0760,
Ni01BEA_265_24h_001_LA.D,FID1A,7.603,0.4815,0.2357,
Ni01BEA_265_24h_001_LA.D,FID1A,7.754,0.7777,0.3724,
Ni01BEA_265_24h_001_LA.D,FID1A,7.848,0.0692,0.0371,
Ni01BEA_265_24h_001_LA.D,FID1A,7.914,1.6265,0.7745,
Ni01BEA_265_24h_001_LA.D,FID1A,7.976,0.2695,0.1284,
Ni01BEA_265_24h_001_LA.D,FID1A,8.030,0.3224,0.1447,
Ni01BEA_265_24h_001_LA.D,FID1A,8.110,0.2378,0.0902,
Ni01BEA_265_24h_001_LA.D,FID1A,8.249,0.1681,0.0471,
Ni01BEA_265_24h_001_LA.D,FID1A,8.322,0.4779,0.2354,
Ni01BEA_265_24h_001_LA.D,FID1A,8.412,0.4925,0.2405,
Ni01BEA_265_24h_001_LA.D,FID1A,8.469,0.1224,0.0605,
Ni01BEA_265_24h_001_LA.D,FID1A,8.506,0.1143,0.0638,
Ni01BEA_265_24h_001_LA.D,FID1A,8.594,2.4875,0.9805,
Ni01BEA_265_24h_001_LA.D,FID1A,8.753,1.6360,0.7810,
Ni01BEA_265_24h_001_LA.D,FID1A,8.809,0.0775,0.0460,
Ni01BEA_265_24h_001_LA.D,FID1A,8.890,0.4424,0.1972,
Ni01BEA_265_24h_001_LA.D,FID1A,8.962,0.1713,0.0898,
Ni01BEA_265_24h_001_LA.D,FID1A,9.027,0.2217,0.1044,
Ni01BEA_265_24h_001_LA.D,FID1A,9.079,0.1004,0.0529,
Ni01BEA_265_24h_001_LA.D,FID1A,9.139,0.3925,0.1922,
Ni01BEA_265_24h_001_LA.D,FID1A,9.184,0.1988,0.1135,
