,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,39.7903150304146,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,66.7318256547838,2-Iodoethyl ether,C4H8I2O,71.3711097906818,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,66.7318256547838
1,39.6682444512667,"2,4'-Dihydroxy-3'-methoxyacetophenone",C9H10O4,52.6047227817758,"2,4'-Dihydroxy-3'-methoxyacetophenone",C9H10O4,52.6047227817758,"2,4'-Dihydroxy-3'-methoxyacetophenone",C9H10O4,52.6047227817758
2,39.5482,No Match,,,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,51.2898912179645,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,51.2000097029168
3,39.3361718521026,No Match,,,"(Phenylthio) acetic acid, octadecyl ester",C26H44O2S,52.3021301456728,"(Phenylthio) acetic acid, octadecyl ester",C26H44O2S,52.3021301456728
4,39.305813725277,No Match,,,"Carbamic acid, N,N-dimethyl-, 4-isopropylphenyl ester",C12H17NO2,57.0119891386846,"Carbamic acid, N,N-dimethyl-, 4-isopropylphenyl ester",C12H17NO2,57.0119891386846
5,39.1265206406567,No Match,,,"4-tert-Octylphenol, TMS derivative",C17H30OSi,58.9478317179741,"4-tert-Octylphenol, TMS derivative",C17H30OSi,58.9478317179741
6,38.4571614604177,No Match,,,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,61.5188172621424,"Cyclotetrasiloxane, octamethyl-",C8H24O4Si4,61.5188172621424
7,38.2819029575863,No Match,,,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,55.9388252264359,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,55.9388252264359
8,38.0645959053653,No Match,,,"2-Methyl-5,5-diphenyl-4-(methylthio)imidazole",C17H16N2S,60.7980346435134,"2-Methyl-5,5-diphenyl-4-(methylthio)imidazole",C17H16N2S,60.7980346435134
9,38.0555109561991,No Match,,,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,58.6165320659112,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,58.6165320659112
10,38.0213005467945,No Match,,,"2,4-Dimethyl-3-acetyl-5-formylpyrrole",C9H11NO2,55.451618449315,"2,4-Dimethyl-3-acetyl-5-formylpyrrole",C9H11NO2,55.451618449315
11,37.6064438792277,No Match,,,"4-tert-Octylphenol, TMS derivative",C17H30OSi,67.0020826883963,"4-tert-Octylphenol, TMS derivative",C17H30OSi,67.0020826883963
12,37.3614108984095,No Match,,,"Propionamide, 2-bromo-N-(2-butyl)-N-ethyl-",C9H18BrNO,53.7370070858507,"Propionamide, 2-bromo-N-(2-butyl)-N-ethyl-",C9H18BrNO,53.7370070858507
13,37.046723040723,No Match,,,"Benzene, 1-fluoro-4-isothiocyanato-",C7H4FNS,50.3838205413828,"Benzene, 1-fluoro-4-isothiocyanato-",C7H4FNS,50.3838205413828
14,36.9415884114009,No Match,,,"4-tert-Octylphenol, TMS derivative",C17H30OSi,59.0535080422589,"4-tert-Octylphenol, TMS derivative",C17H30OSi,59.0535080422589
15,36.7305661377652,No Match,,,"Indolizine, 2-(4-methylphenyl)-",C15H13N,51.3679544005222,"Indolizine, 2-(4-methylphenyl)-",C15H13N,51.3679544005222
16,36.6378,"Fumaric acid, butyl non-5-yn-3-yl ester",C17H26O4,51.5581315066526,"2,6-Difluoro-3-methylbenzoic acid, 2-ethoxyethyl ester",C12H14F2O3,53.15631888445,"Fumaric acid, butyl non-5-yn-3-yl ester",C17H26O4,51.5581315066526
