[Quantification.py] 2024-01-29 13:13:36,587 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:26:02,434 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:26:02,434 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:26:02,434 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:26:02,434 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:26:02,434 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:27:13,781 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:27:13,781 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:27:13,781 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:27:13,781 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:27:13,781 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:27:13,781 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:27:13,781 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:34:37,252 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:34:37,252 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:34:37,252 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:34:37,252 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:34:37,252 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:34:37,252 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:34:37,252 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
