,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,15.6399177065457,"Benzene, 1,2,4,5-tetramethyl-",C10H14,89.4688211590674,"Benzene, 1,2,4,5-tetramethyl-",C10H14,89.4688211590674,"Benzene, 1,2,3,4-tetramethyl-",C10H14,84.9507508827156
1,15.6399176671613,"Benzene, 1,2,4,5-tetramethyl-",C10H14,89.6407507031877,"Benzene, 1,2,4,5-tetramethyl-",C10H14,89.6407507031877,"Benzene, 1,2,3,4-tetramethyl-",C10H14,85.1138016787314
2,15.6397071476969,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.2326968972591,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.2326968972591,"Benzene, 1,2,3,4-tetramethyl-",C10H14,82.8337645513346
3,15.6397071061969,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.3896887715001,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.3896887715001,"Benzene, 1,2,3,4-tetramethyl-",C10H14,82.9827384758197
4,15.5702,"Benzene, 1,2,4,5-tetramethyl-",C10H14,86.8804678008183,"Benzene, 1,2,4,5-tetramethyl-",C10H14,86.8804678008183,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,79.8261837360224
5,15.0651,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.8959803817419,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.8959803817419,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,82.3964475316986
6,14.9279,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,88.8682230441565,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,88.8682230441565,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,77.806585002648
7,14.7381,"Nonane, 5-butyl-",C13H28,71.7904858868367,"Nonane, 5-butyl-",C13H28,71.7904858868367,"5-Nonanol, trimethylacetate",C14H28O2,70.4665625169553
8,14.6282,"3-Ethyl-2,6,10-trimethylundecane",C16H34,80.3160758407637,"Sulfurous acid, 2-ethylhexyl hexyl ester",C14H30O3S,81.5579771261317,"Decane, 2-methyl-",C11H24,79.6143836874307
9,14.6066,"Benzene, 1,2,4,5-tetramethyl-",C10H14,88.9385441996032,"Benzene, 1,2,4,5-tetramethyl-",C10H14,88.9385441996032,"Benzene, 1,2,3,4-tetramethyl-",C10H14,80.2768968830822
