#"+EI TIC Scan MBPR047_01_LQ1.d "
#Point,X(Minutes),Y(Counts)
0,0.101,0.165186720554844
1,0.108,0.163821377512404
2,0.114,0.162317521407688
3,0.121,0.162653910273217
4,0.127,0.164177553958258
5,0.133,0.163148599781347
6,0.140,0.160497064017769
7,0.146,0.158498518404923
8,0.153,0.15867660662785
9,0.159,0.156717636175654
10,0.166,0.15582719506102
11,0.172,0.156974874719882
12,0.179,0.159250446457281
13,0.185,0.157034237460858
14,0.192,0.156598910693703
15,0.198,0.156836361657606
16,0.205,0.154343126536629
17,0.211,0.151711378353377
18,0.218,0.152206067861507
19,0.224,0.15586677022167
20,0.231,0.159685773224436
21,0.237,0.160220037893216
22,0.243,0.160002374509639
23,0.250,0.160734514981672
24,0.256,0.15913172097533
25,0.263,0.159111933395005
26,0.269,0.160655364660371
27,0.276,0.158914057591753
28,0.282,0.156064646024922
29,0.289,0.151889466576303
30,0.295,0.150247097409311
31,0.302,0.150444973212563
32,0.308,0.151968616897604
33,0.315,0.152285218182808
34,0.321,0.152206067861507
35,0.328,0.15347247300232
36,0.334,0.155213780070938
37,0.340,0.154659727821833
38,0.347,0.152601819468011
39,0.353,0.156143796346223
40,0.360,0.159883649027688
41,0.366,0.163326688004274
42,0.373,0.164415004922161
43,0.379,0.162060282863461
44,0.386,0.158617243886874
45,0.392,0.157192538103459
46,0.399,0.155471018615166
47,0.405,0.155807407480695
48,0.412,0.157212325683785
49,0.418,0.159685773224436
50,0.425,0.157904890995167
51,0.431,0.153175659297442
52,0.438,0.153986950090776
53,0.444,0.158795332109801
54,0.450,0.161842619479883
55,0.457,0.162752848174843
56,0.463,0.165839710705576
57,0.470,0.167383141970942
58,0.476,0.16581992312525
59,0.483,0.165641834902324
60,0.489,0.162495609630615
61,0.496,0.157390413906711
62,0.502,0.156025070864272
63,0.509,0.157667440031264
64,0.515,0.155965708123296
65,0.522,0.154501427179231
66,0.528,0.157370626326386
67,0.535,0.160259613053867
68,0.541,0.157548714549313
69,0.547,0.156302096988825
70,0.554,0.156598910693703
71,0.560,0.157093600201833
72,0.567,0.156994662300207
73,0.573,0.15962641048346
74,0.580,0.159784711126062
75,0.586,0.156559335533053
76,0.593,0.157469564228012
77,0.599,0.156915511978906
78,0.606,0.156361459729801
79,0.612,0.155471018615166
80,0.619,0.155926132962646
81,0.625,0.154659727821833
82,0.632,0.152324793343458
83,0.638,0.153591198484271
84,0.645,0.155292930392239
85,0.651,0.15491696636606
86,0.657,0.155846982641345
87,0.664,0.157133175362484
88,0.670,0.156143796346223
89,0.677,0.155609531677443
90,0.683,0.156579123113378
91,0.690,0.157964253736143
92,0.696,0.157845528254191
93,0.703,0.160180462732566
94,0.709,0.163049661879721
95,0.716,0.159072358234354
96,0.722,0.155748044739719
97,0.729,0.156420822470776
98,0.735,0.158577668726224
99,0.742,0.160101312411265
100,0.748,0.158340217762321
101,0.754,0.155292930392239
102,0.761,0.154085887992402
103,0.767,0.155748044739719
104,0.774,0.15438270169728
105,0.780,0.151256264005897
106,0.787,0.151295839166547
107,0.793,0.153512048162971
108,0.800,0.153650561225247
109,0.806,0.151889466576303
110,0.813,0.151632228032076
111,0.819,0.154560789920207
112,0.826,0.15632188456915
113,0.832,0.156440610051101
114,0.839,0.154085887992402
115,0.845,0.151513502550124
116,0.852,0.149851345802807
117,0.858,0.15248309398606
118,0.864,0.154798240884109
119,0.871,0.154659727821833
120,0.877,0.152126917540206
121,0.884,0.150207522248661
122,0.890,0.150939662720693
123,0.897,0.155035691848012
124,0.903,0.157627864870614
125,0.910,0.158261067441021
126,0.916,0.155095054588987
127,0.923,0.156084433605248
128,0.929,0.1587161817885
129,0.936,0.158201704700045
130,0.942,0.15396716251045
131,0.949,0.153670348805572
132,0.955,0.156678061015004
133,0.961,0.158063191637769
134,0.968,0.157034237460858
135,0.974,0.15723211326411
136,0.981,0.16198113254216
137,0.987,0.166848877302161
138,0.994,0.168530821629804
139,1.000,0.16433585460086
140,1.007,0.158854694850777
141,1.013,0.156519760372402
142,1.020,0.155352293133215
143,1.026,0.153986950090776
144,1.033,0.152779907690938
145,1.039,0.153670348805572
146,1.046,0.151691590773051
147,1.052,0.149237930812725
148,1.059,0.14636873166557
149,1.065,0.146170855862318
150,1.071,0.148426640019392
151,1.078,0.149791983061831
152,1.084,0.151553077710775
153,1.091,0.149534744517604
154,1.097,0.14868387856362
155,1.104,0.149851345802807
156,1.110,0.15256224430736
157,1.117,0.155945920542971
158,1.123,0.157904890995167
159,1.130,0.15723211326411
160,1.136,0.154996116687361
161,1.143,0.155708469579069
162,1.149,0.159072358234354
163,1.156,0.159883649027688
