,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,39.7732239231194,No Match,,,"Alanine, N-methyl-N-(2-chloroethoxycarbonyl)-, pentadecyl ester",C22H42ClNO4,69.330673930816,"Alanine, N-methyl-N-(2-chloroethoxycarbonyl)-, heptadecyl ester",C24H46ClNO4,68.3790992196621
1,39.6315,No Match,,,"Alanine, N-methyl-N-(2-chloroethoxycarbonyl)-, dodecyl ester",C19H36ClNO4,69.6325744142348,"4-Bromo-2,6-difluoroaniline",C6H4BrF2N,52.1097116461714
2,38.4877,Dimethyl hydrastate,C11H10O6,53.1606584060547,Dimethyl hydrastate,C11H10O6,53.1606584060547,Dimethyl hydrastate,C11H10O6,53.1606584060547
3,37.6886518099277,No Match,,,"Silane, triethyl(2-phenylethoxy)-",C14H24OSi,52.7618514144911,"Silane, triethyl(2-phenylethoxy)-",C14H24OSi,52.7618514144911
4,37.4566298947213,No Match,,,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,53.9863104214256,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,53.9863104214256
5,37.215645643101,No Match,,,"1,2-Dihydroanthra[1,2-d]thiazole-2,6,11-trione",C15H7NO3S,56.414535724951,"1,2-Dihydroanthra[1,2-d]thiazole-2,6,11-trione",C15H7NO3S,56.414535724951
6,37.1968,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,50.6361445879243,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,50.6361445879243
7,35.9097,No Match,,,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,61.1304691871031,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,53.2467919843616
8,35.7234,No Match,,,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,66.9226659605594,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,55.4565099704722
9,34.6253,No Match,,,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,56.0931599255644,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,53.8754647546808
10,34.1543,"1,4-Benzenediol, 2,5-bis(1,1-dimethylethyl)-",C14H22O2,54.1764131635584,"2-Thioacetylimino-3-methyl-2,3-dihydrobenzothiazole",C10H10N2S2,62.4230863551721,"Methanol, [4-(1,1-dimethylethyl)phenoxy]-, acetate",C13H18O3,52.2081035523106
