Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
F-001-1-MBPR047_01_GS2.D,FID1A,0.016,0.0722,0.0887,
F-001-1-MBPR047_01_GS2.D,FID1A,0.515,0.0415,0.0513,
F-001-1-MBPR047_01_GS2.D,FID1A,1.251,6578.6919,5189.5356,
F-001-1-MBPR047_01_GS2.D,FID1A,1.281,33475.5352,25812.0566,
F-001-1-MBPR047_01_GS2.D,FID1A,1.409,16414.8477,15263.9258,
F-001-1-MBPR047_01_GS2.D,FID1A,1.465,2778.8110,2143.6953,
F-001-1-MBPR047_01_GS2.D,FID1A,1.526,654.5588,638.3737,
F-001-1-MBPR047_01_GS2.D,FID1A,1.564,47.5799,53.0434,
F-001-1-MBPR047_01_GS2.D,FID1A,1.696,5663.4790,4241.3442,
F-001-1-MBPR047_01_GS2.D,FID1A,1.764,1359.7252,1303.6964,
F-001-1-MBPR047_01_GS2.D,FID1A,1.803,62.4602,57.7931,
F-001-1-MBPR047_01_GS2.D,FID1A,1.855,780.5869,721.6870,
F-001-1-MBPR047_01_GS2.D,FID1A,1.912,310.6178,154.2707,
F-001-1-MBPR047_01_GS2.D,FID1A,2.000,170.7601,163.2833,
F-001-1-MBPR047_01_GS2.D,FID1A,2.042,632.5518,544.8110,
F-001-1-MBPR047_01_GS2.D,FID1A,2.074,100.0327,76.8820,
F-001-1-MBPR047_01_GS2.D,FID1A,2.149,1.5299,1.1169,
F-001-1-MBPR047_01_GS2.D,FID1A,2.186,14.2391,13.6928,
F-001-1-MBPR047_01_GS2.D,FID1A,2.253,57.7069,35.3058,
F-001-1-MBPR047_01_GS2.D,FID1A,2.316,63.4900,46.4050,
F-001-1-MBPR047_01_GS2.D,FID1A,2.350,2282.5452,1715.8207,
F-001-1-MBPR047_01_GS2.D,FID1A,2.430,713.0547,648.5436,
F-001-1-MBPR047_01_GS2.D,FID1A,2.513,75.8058,54.3439,
F-001-1-MBPR047_01_GS2.D,FID1A,2.541,78.9313,54.2043,
F-001-1-MBPR047_01_GS2.D,FID1A,2.571,54.7907,31.5682,
F-001-1-MBPR047_01_GS2.D,FID1A,2.677,305.1026,250.9801,
F-001-1-MBPR047_01_GS2.D,FID1A,2.727,155.1641,79.0479,
F-001-1-MBPR047_01_GS2.D,FID1A,2.811,48.3807,37.9789,
F-001-1-MBPR047_01_GS2.D,FID1A,2.857,42.8139,33.8054,
F-001-1-MBPR047_01_GS2.D,FID1A,2.937,222.4395,163.9045,
F-001-1-MBPR047_01_GS2.D,FID1A,3.032,391.8564,337.4798,
F-001-1-MBPR047_01_GS2.D,FID1A,3.056,254.1773,214.4647,
F-001-1-MBPR047_01_GS2.D,FID1A,3.147,36.2776,27.5637,
F-001-1-MBPR047_01_GS2.D,FID1A,3.237,33.0906,23.3316,
F-001-1-MBPR047_01_GS2.D,FID1A,3.267,12.8758,9.8542,
F-001-1-MBPR047_01_GS2.D,FID1A,3.311,11.7402,7.6793,
F-001-1-MBPR047_01_GS2.D,FID1A,3.346,27.7282,13.6199,
F-001-1-MBPR047_01_GS2.D,FID1A,3.406,97.9094,68.9747,
F-001-1-MBPR047_01_GS2.D,FID1A,3.485,799.1979,509.7980,
F-001-1-MBPR047_01_GS2.D,FID1A,3.590,284.6342,221.9985,
F-001-1-MBPR047_01_GS2.D,FID1A,3.649,69.0704,58.0734,
F-001-1-MBPR047_01_GS2.D,FID1A,3.669,58.0842,49.0766,
F-001-1-MBPR047_01_GS2.D,FID1A,3.715,29.2946,22.7484,
F-001-1-MBPR047_01_GS2.D,FID1A,3.761,7.4030,6.3529,
F-001-1-MBPR047_01_GS2.D,FID1A,3.792,33.5287,24.2282,
F-001-1-MBPR047_01_GS2.D,FID1A,3.825,21.7384,15.0529,
F-001-1-MBPR047_01_GS2.D,FID1A,3.855,6.9716,5.7964,
F-001-1-MBPR047_01_GS2.D,FID1A,3.885,11.2308,8.7068,
F-001-1-MBPR047_01_GS2.D,FID1A,3.926,39.1502,26.9565,
F-001-1-MBPR047_01_GS2.D,FID1A,3.972,101.0378,79.9653,
F-001-1-MBPR047_01_GS2.D,FID1A,4.036,96.4665,55.4316,
F-001-1-MBPR047_01_GS2.D,FID1A,4.121,38.5441,24.8146,
F-001-1-MBPR047_01_GS2.D,FID1A,4.190,20.6177,14.9635,
F-001-1-MBPR047_01_GS2.D,FID1A,4.241,6.8101,5.2895,
F-001-1-MBPR047_01_GS2.D,FID1A,4.303,47.2404,35.4152,
