Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR047_01_LQ1.D,FID1A,2.444,1.7666,0.7147,
MBPR047_01_LQ1.D,FID1A,2.490,4.5577,0.6573,
MBPR047_01_LQ1.D,FID1A,2.669,10.8583,2.6416,
MBPR047_01_LQ1.D,FID1A,2.759,9.2052,1.7608,
MBPR047_01_LQ1.D,FID1A,2.859,10.2748,1.1587,
MBPR047_01_LQ1.D,FID1A,3.155,12.9997,2.2914,
MBPR047_01_LQ1.D,FID1A,3.269,15.2052,2.0530,
MBPR047_01_LQ1.D,FID1A,3.419,19.0611,1.7832,
MBPR047_01_LQ1.D,FID1A,3.661,3.1466,0.9092,
MBPR047_01_LQ1.D,FID1A,3.763,31.9721,1.6745,
MBPR047_01_LQ1.D,FID1A,4.907,1492629.2500,60486.5234,
MBPR047_01_LQ1.D,FID1A,6.227,1.9374,0.6549,
MBPR047_01_LQ1.D,FID1A,6.346,16.3272,5.0382,
MBPR047_01_LQ1.D,FID1A,6.524,7.3107,2.3552,
MBPR047_01_LQ1.D,FID1A,6.661,1.5341,0.6943,
MBPR047_01_LQ1.D,FID1A,6.693,2.6102,0.6414,
MBPR047_01_LQ1.D,FID1A,6.883,0.9631,0.2475,
MBPR047_01_LQ1.D,FID1A,6.941,0.8192,0.1861,
MBPR047_01_LQ1.D,FID1A,7.136,3.9077,1.0745,
MBPR047_01_LQ1.D,FID1A,7.286,1.6128,0.6134,
MBPR047_01_LQ1.D,FID1A,7.388,0.8624,0.2167,
MBPR047_01_LQ1.D,FID1A,7.490,0.5597,0.2140,
MBPR047_01_LQ1.D,FID1A,7.562,0.2176,0.0904,
MBPR047_01_LQ1.D,FID1A,7.656,1.5060,0.6144,
MBPR047_01_LQ1.D,FID1A,7.804,4.4764,1.5215,
MBPR047_01_LQ1.D,FID1A,7.961,7.0470,2.2977,
MBPR047_01_LQ1.D,FID1A,8.068,0.5980,0.2423,
MBPR047_01_LQ1.D,FID1A,8.141,0.6041,0.1495,
MBPR047_01_LQ1.D,FID1A,8.231,0.1347,0.0551,
MBPR047_01_LQ1.D,FID1A,8.358,1.0601,0.3019,
MBPR047_01_LQ1.D,FID1A,8.447,1.8034,0.5866,
MBPR047_01_LQ1.D,FID1A,8.543,0.3815,0.1605,
MBPR047_01_LQ1.D,FID1A,8.628,9.7883,3.6020,
MBPR047_01_LQ1.D,FID1A,8.780,8.0090,2.5825,
MBPR047_01_LQ1.D,FID1A,8.918,1.4491,0.5442,
MBPR047_01_LQ1.D,FID1A,8.989,0.6041,0.2369,
MBPR047_01_LQ1.D,FID1A,9.054,0.6173,0.2295,
MBPR047_01_LQ1.D,FID1A,9.107,0.4090,0.1805,
MBPR047_01_LQ1.D,FID1A,9.164,0.8822,0.3314,
MBPR047_01_LQ1.D,FID1A,9.208,0.7693,0.3133,
MBPR047_01_LQ1.D,FID1A,9.297,0.8845,0.3479,
MBPR047_01_LQ1.D,FID1A,9.353,0.4526,0.2284,
MBPR047_01_LQ1.D,FID1A,9.397,2.0699,0.7675,
MBPR047_01_LQ1.D,FID1A,9.585,0.6996,0.2268,
MBPR047_01_LQ1.D,FID1A,9.652,0.5721,0.2411,
MBPR047_01_LQ1.D,FID1A,9.773,2.1371,0.6583,
MBPR047_01_LQ1.D,FID1A,9.861,0.0351,0.0326,
MBPR047_01_LQ1.D,FID1A,9.923,2.5020,1.0307,
MBPR047_01_LQ1.D,FID1A,10.009,2.6872,0.9320,
MBPR047_01_LQ1.D,FID1A,10.110,3.5524,1.5259,
MBPR047_01_LQ1.D,FID1A,10.230,1.2268,0.4043,
MBPR047_01_LQ1.D,FID1A,10.309,0.0810,0.0459,
MBPR047_01_LQ1.D,FID1A,10.372,0.1917,0.0846,
MBPR047_01_LQ1.D,FID1A,10.425,0.5035,0.1509,
MBPR047_01_LQ1.D,FID1A,10.536,1.4665,0.4654,
MBPR047_01_LQ1.D,FID1A,10.668,2.4439,0.9232,
MBPR047_01_LQ1.D,FID1A,10.718,6.3058,2.5827,
MBPR047_01_LQ1.D,FID1A,10.851,3.7286,1.7110,
MBPR047_01_LQ1.D,FID1A,10.961,1.6388,0.4680,
MBPR047_01_LQ1.D,FID1A,11.054,0.7488,0.2523,
MBPR047_01_LQ1.D,FID1A,11.123,0.4506,0.1878,
MBPR047_01_LQ1.D,FID1A,11.181,0.3585,0.1549,
MBPR047_01_LQ1.D,FID1A,11.239,0.2341,0.1035,
MBPR047_01_LQ1.D,FID1A,11.294,0.0859,0.0582,
MBPR047_01_LQ1.D,FID1A,11.344,4.6699,2.0070,
