FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
2.444,1.7666,2.443,Isomer of Isobutane,C4H10,87.7200118977259,Automatically assigned by comparing FID and MS retention times,B
2.49,4.5577,2.443,Isobutane,C4H10,87.7200118977259,Automatically assigned by comparing FID and MS retention times,B
2.669,10.8583,2.6693,"Butane, 2-methyl-",C5H12,96.0969489749047,Automatically assigned by comparing FID and MS retention times,B
2.759,9.2052,2.7577,Pentane,C5H12,78.7539263484454,Automatically assigned by comparing FID and MS retention times,L
2.859,10.2748,2.8686,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,68.5249145851251,Automatically assigned by comparing FID and MS retention times,C
3.155,12.9997,3.1548,"Pentane, 2-methyl-",C6H14,91.4667881594491,Automatically assigned by comparing FID and MS retention times,B
3.269,15.2052,3.2748,No Match,,,Automatically assigned by comparing FID and MS retention times,
3.419,19.0611,3.4182,n-Hexane,C6H14,84.6761710824499,Automatically assigned by comparing FID and MS retention times,L
3.661,3.1466,,,,,,
3.763,31.9721,3.7588,"Cyclopentane, methyl-",C6H12,84.3834214470219,Automatically assigned by comparing FID and MS retention times,C
4.907,1492629.25,,,,,,
6.227,1.9374,6.2261,"Hexane, 2,3-dimethyl-",C8H18,90.4507050817048,Automatically assigned by comparing FID and MS retention times,B
6.346,16.3272,6.3435,"Heptane, 2-methyl-",C8H18,96.3290520636693,Automatically assigned by comparing FID and MS retention times,B
6.524,7.3107,6.5215,"Heptane, 3-methyl-",C8H18,96.2494941927714,Automatically assigned by comparing FID and MS retention times,B
6.661,1.5341,6.6569,2-Butyn-1-al diethyl acetal,C8H14O2,61.9777691744241,Automatically assigned by comparing FID and MS retention times,O
6.693,2.6102,6.6892,"2-Pentene, 2,4,4-trimethyl-",C8H16,74.8161679800454,Automatically assigned by comparing FID and MS retention times,E
6.883,0.9631,6.8822,2-n-Hexylcyclopentanone,C11H20O,71.5480810511765,Automatically assigned by comparing FID and MS retention times,O
6.941,0.8192,6.9361,"Cyclohexane, pentyl-",C11H22,68.9561441492991,Automatically assigned by comparing FID and MS retention times,C
7.136,3.9077,7.1348,Octane,C8H18,94.2518488297907,Automatically assigned by comparing FID and MS retention times,L
7.286,1.6128,7.2843,"Cyclohexane, 1,4-dimethyl-",C8H16,92.5903760172186,Automatically assigned by comparing FID and MS retention times,C
7.388,0.8624,7.39,"Cyclohexene, 3,5-dimethyl-",C8H14,72.095023998248,Automatically assigned by comparing FID and MS retention times,C
7.49,0.5597,7.4865,2-[(2-Methyl-endo-2-norbornyl)oxy]-tetrahydropyran,C13H22O2,62.1269968504175,Automatically assigned by comparing FID and MS retention times,O
7.562,0.2176,,,,,,
7.656,1.506,7.6525,"Heptane, 2,4-dimethyl-",C9H20,93.5942742711581,Automatically assigned by comparing FID and MS retention times,B
7.804,4.4764,7.8012,"Isomer of Octane, 2-methyl-",C9H20,91.9819465827399,Automatically assigned by comparing FID and MS retention times,B
7.961,7.047,7.9588,"Heptane, 2,5-dimethyl-",C9H20,96.4863624539776,Automatically assigned by comparing FID and MS retention times,B
8.068,0.598,8.067,"1,1,4-Trimethylcyclohexane",C9H18,77.7330354524936,Automatically assigned by comparing FID and MS retention times,C
8.141,0.6041,8.1344,"Succinic acid, cyclohexylmethyl 2-methoxyphenyl ester",C18H24O5,63.25713347914,Automatically assigned by comparing FID and MS retention times,O
8.231,0.1347,,,,,,
8.358,1.0601,8.3584,"Cyclohexane, 1,3,5-trimethyl-",C9H18,87.2881225702426,Automatically assigned by comparing FID and MS retention times,C
8.447,1.8034,8.4452,"Dodecane, 5-methyl-",C13H28,86.7572119792077,Automatically assigned by comparing FID and MS retention times,B
8.543,0.3815,8.5505,"6,6-Dimethylhepta-2,4-diene",C9H16,51.3312354359552,Automatically assigned by comparing FID and MS retention times,E
8.628,9.7883,8.6262,"Octane, 2-methyl-",C9H20,97.8689535893067,Automatically assigned by comparing FID and MS retention times,B
8.78,8.009,8.7812,"Octane, 3-methyl-",C9H20,95.3927784631443,Automatically assigned by comparing FID and MS retention times,B
8.918,1.4491,8.9157,"Cyclohexane, 1,2,4-trimethyl-",C9H18,76.9439855521119,Automatically assigned by comparing FID and MS retention times,C
8.989,0.6041,8.9865,"Isomer of Cyclohexane, 1,3,5-trimethyl-",C9H18,82.5241129238049,Automatically assigned by comparing FID and MS retention times,C
9.054,0.6173,9.0474,"Isomer of Cyclohexane, 1,2,4-trimethyl-",C9H18,74.3739491598955,Automatically assigned by comparing FID and MS retention times,C
9.107,0.409,,,,,,
9.164,0.8822,9.1597,No Match,,,Automatically assigned by comparing FID and MS retention times,
9.208,0.7693,9.2026,Pentaerythrityl triacrylate,C14H18O7,58.4652130228167,Automatically assigned by comparing FID and MS retention times,O
9.297,0.8845,9.2964,"Benzene, 1,3-dimethyl-",C8H10,92.7985947664394,Automatically assigned by comparing FID and MS retention times,A
9.353,0.4526,9.3955,Isomer of Nonane,C9H20,93.19934416091,Automatically assigned by comparing FID and MS retention times,B
9.397,2.0699,9.3955,Nonane,C9H20,93.19934416091,Automatically assigned by comparing FID and MS retention times,L
9.585,0.6996,9.5846,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,89.6809283934261,Automatically assigned by comparing FID and MS retention times,C
9.652,0.5721,9.6486,"Oxalic acid, cyclohexylmethyl isohexyl ester",C15H26O4,77.8640383085615,Automatically assigned by comparing FID and MS retention times,O
9.773,2.1371,9.7687,"4,4-Dimethyl octane",C10H22,91.4383769627875,Automatically assigned by comparing FID and MS retention times,B
9.861,0.0351,,,,,,
9.923,2.502,9.9209,"Octane, 2,5-dimethyl-",C10H22,95.4502361202733,Automatically assigned by comparing FID and MS retention times,B
10.009,2.6872,10.0081,"Octane, 2,7-dimethyl-",C10H22,89.3711298224427,Automatically assigned by comparing FID and MS retention times,B
10.11,3.5524,10.108,"Octane, 3,6-dimethyl-",C10H22,96.5059837583304,Automatically assigned by comparing FID and MS retention times,B
10.23,1.2268,10.2273,"Isomer of Octane, 3,6-dimethyl-",C10H22,88.343462436924,Automatically assigned by comparing FID and MS retention times,B
10.309,0.081,,,,,,
10.372,0.1917,,,,,,
10.425,0.5035,10.4265,"Cyclohexane, 1,1,3,5-tetramethyl-, trans-",C10H20,82.5545376185467,Automatically assigned by comparing FID and MS retention times,C
10.536,1.4665,10.5328,"Heptane, 3-ethyl-2-methyl-",C10H22,93.6747150577058,Automatically assigned by comparing FID and MS retention times,B
10.668,2.4439,10.6641,"Nonane, 4-methyl-",C10H22,83.7182593422646,Automatically assigned by comparing FID and MS retention times,B
10.718,6.3058,10.7155,"Nonane, 2-methyl-",C10H22,86.8971139803693,Automatically assigned by comparing FID and MS retention times,B
10.851,3.7286,10.849,"Heptane, 3-ethyl-5-methyl-",C10H22,88.1587008653303,Automatically assigned by comparing FID and MS retention times,B
10.961,1.6388,10.9581,"Isomer of Nonane, 2,5-dimethyl-",C11H24,82.0362190426405,Automatically assigned by comparing FID and MS retention times,B
11.054,0.7488,11.0495,"2,2,6,6-Tetramethylheptane",C11H24,78.3498554706786,Automatically assigned by comparing FID and MS retention times,B
11.123,0.4506,11.1204,"m-Menthane, (1S,3S)-(+)-",C10H20,83.9331851142873,Automatically assigned by comparing FID and MS retention times,C
11.181,0.3585,11.178,"Cyclohexane, 1-isopropyl-1-methyl-",C10H20,82.8508726263566,Automatically assigned by comparing FID and MS retention times,C
11.239,0.2341,,,,,,
11.294,0.0859,11.2906,"Octane, 2,6,6-trimethyl-",C11H24,56.994110503169,Automatically assigned by comparing FID and MS retention times,B
11.344,4.6699,11.3417,"Benzene, 1,2,4-trimethyl-",C9H12,97.5713226614993,Automatically assigned by comparing FID and MS retention times,A
11.391,1.4285,11.3908,Decane,C10H22,90.0232752391248,Automatically assigned by comparing FID and MS retention times,L
11.459,0.3485,11.4597,"Isomer of m-Menthane, (1S,3S)-(+)-",C10H20,71.1562066145982,Automatically assigned by comparing FID and MS retention times,C
11.539,0.1183,,,,,,
