FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
2.353,0.1485,2.4437,,,,,
2.446,0.5569,2.4437,Isobutane,C4H10,91.99326082,Manual,B
2.497,0.3135,2.4437,,,,,
2.674,4.1642,2.6721,"Butane, 2-methyl-",C5H12,97.79077345,Automatically assigned using a linear fit of manual peak assignments,B
2.77,1.1554,2.6721,,,,,
2.875,0.1,2.7678,Pentane,C5H12,95.65148458,Automatically assigned using a linear fit of manual peak assignments,L
2.945,0.0855,2.7678,,,,,
3.163,6.1125,3.1608,"Pentane, 2-methyl-",C6H14,98.28322598,Automatically assigned using a linear fit of manual peak assignments,B
3.284,2.2362,3.1608,,,,,
3.435,1.9201,3.2823,"Pentane, 3-methyl-",C6H14,98.12103669,Automatically assigned using a linear fit of manual peak assignments,B
3.687,0.4388,3.686,,,,,
3.777,2.9801,3.686,,,,,
4.388,88445.0547,4.355,,,,,
4.458,2.2848,4.355,,,,,
4.604,0.5307,4.4554,"Heptane, 3,3,4-trimethyl-",C10H22,81.72124197,Automatically assigned using a linear fit of manual peak assignments,B
4.647,0.0786,4.4554,,,,,
4.692,0.6738,4.5986,"Butane, 2-cyclopropyl-",C7H14,79.49372585,Automatically assigned using a linear fit of manual peak assignments,B
4.847,1.0362,4.8448,Heptane,C7H16,96.97634853,Manual,L
4.932,0.0599,4.8448,,,,,
5.095,0.0421,4.8448,,,,,
5.259,0.0872,5.3385,,,,,
5.34,0.6728,5.3385,,,,,
5.464,1.073,5.3385,"Cyclohexane, methyl-",C7H14,92.08984168,Automatically assigned using a linear fit of manual peak assignments,C
5.511,0.8052,5.3385,,,,,
5.569,0.0841,5.4613,"Hexane, 2,5-dimethyl-",C8H18,89.39816437,Automatically assigned using a linear fit of manual peak assignments,B
5.69,0.1651,5.5094,"Heptane, 3,4,5-trimethyl-",C10H22,89.29676287,Automatically assigned using a linear fit of manual peak assignments,B
6.138,0.3591,6.1357,,,,,
6.261,2.7202,6.1357,"Hexane, 2,3-dimethyl-",C8H18,94.122828,Automatically assigned using a linear fit of manual peak assignments,B
