[AutoFPMMatch.py] 2024-07-24 18:24:29,364 - [INFO]: FIDpMS file not found for sample and phase, creating new...
[AutoFPMMatch.py] 2024-07-24 18:24:36,919 - [INFO]: FIDpMS file exists but does not contains manual or blank sourced entries
[AutoFPMMatch.py] 2024-07-24 20:09:39,645 - [INFO]: FIDpMS file not found for sample and phase, creating new...
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:19:36,473 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:25:01,990 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
[Quantification.py] 2024-07-24 20:27:17,550 - [INFO]: New breakdown created: example2_Breakdown_20240724.xlsx
