FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor
1.227,3619.4949,2.4167,Oxygen,O2,75.63207494
1.251,10445.501,,No Match,,
1.28,50738.7148,2.556,Isobutane,C4H10,98.1449432
1.307,13488.8838,2.628,n-Butane,C4H10,98.5876252
1.409,37056.8477,2.8843,"Butane, 2-methyl-",C5H12,97.2354883
1.465,7300.7007,3.0316,Pentane,C5H12,99.02660487
1.526,592.0469,3.1956,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,98.91319242
1.565,149.9528,3.2999,"Butane, 2,2-dimethyl-",C6H14,99.22102283
1.698,13394.7832,3.6658,"Pentane, 2-methyl-",C6H14,98.66471924
1.766,3787.9497,3.8596,"Pentane, 3-methyl-",C6H14,99.09319057
1.803,39.5234,3.9788,"1-Pentene, 2-methyl-",C6H12,96.50594966
1.856,2528.6472,4.1289,n-Hexane,C6H14,97.14924333
1.913,208.2248,4.3083,"2-Pentene, 4-methyl-",C6H12,97.73073108
1.959,9.7762,4.4517,"2-Hexene, (E)-",C6H12,96.88106836
2.001,248.4548,4.5778,"Butane, 2,2,3-trimethyl-",C7H16,92.36135176
2.043,1467.4572,4.7065,"Pentane, 2,4-dimethyl-",C7H16,97.49572867
2.152,1.24,5.1845,"1-Pentene, 2,4-dimethyl-",C7H14,96.13516485
2.187,16.707,5.3523,"Pentane, 3,3-dimethyl-",C7H16,94.66634226
2.25,68.9405,5.4138,"2-Pentene, 2,4-dimethyl-",C7H14,94.40135478
2.353,4201.7437,5.6974,"Hexane, 2-methyl-",C7H16,97.12781911
2.432,1303.1451,5.931,"Hexane, 3-methyl-",C7H16,98.50719242
2.513,124.9455,6.1562,"Cyclopentane, 1,3-dimethyl-, trans-",C7H14,96.75953096
2.541,143.1142,6.2356,"1-Heptene, 5-methyl-",C8H16,92.20910572
2.57,68.7535,6.312,"Cyclopentane, 1,2-dimethyl-",C7H14,92.25882315
2.678,527.9335,6.6179,Heptane,C7H16,97.44279435
2.728,140.3711,6.7561,"4-Methyl-2-hexene,c&t",C7H14,95.75525795
2.812,41.1393,6.968,"4-Methyl-2-hexene,c&t",C7H14,95.84571843
2.858,34.0079,7.0786,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,97.24181764
2.937,339.8405,7.248,"Cyclohexane, methyl-",C7H14,98.02434469
