Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
F-001-1-MBPR038_Gas_01.D,FID1A,0.016,0.0605,0.1044,
F-001-1-MBPR038_Gas_01.D,FID1A,0.516,0.0301,0.0539,
F-001-1-MBPR038_Gas_01.D,FID1A,1.227,3619.4949,3387.6475,
F-001-1-MBPR038_Gas_01.D,FID1A,1.251,10445.5010,10297.6240,
F-001-1-MBPR038_Gas_01.D,FID1A,1.280,50738.7148,50010.6563,
F-001-1-MBPR038_Gas_01.D,FID1A,1.307,13488.8838,11785.6680,
F-001-1-MBPR038_Gas_01.D,FID1A,1.409,37056.8477,34996.0625,
F-001-1-MBPR038_Gas_01.D,FID1A,1.465,7300.7007,6126.5825,
F-001-1-MBPR038_Gas_01.D,FID1A,1.526,592.0469,589.1522,
F-001-1-MBPR038_Gas_01.D,FID1A,1.565,149.9528,156.5465,
F-001-1-MBPR038_Gas_01.D,FID1A,1.698,13394.7832,10401.0430,
F-001-1-MBPR038_Gas_01.D,FID1A,1.766,3787.9497,3517.8533,
F-001-1-MBPR038_Gas_01.D,FID1A,1.803,39.5234,47.0208,
F-001-1-MBPR038_Gas_01.D,FID1A,1.856,2528.6472,2164.8674,
F-001-1-MBPR038_Gas_01.D,FID1A,1.913,208.2248,141.4086,
F-001-1-MBPR038_Gas_01.D,FID1A,1.959,9.7762,12.6438,
F-001-1-MBPR038_Gas_01.D,FID1A,2.001,248.4548,239.5737,
F-001-1-MBPR038_Gas_01.D,FID1A,2.043,1467.4572,1147.1338,
F-001-1-MBPR038_Gas_01.D,FID1A,2.152,1.2400,1.3842,
F-001-1-MBPR038_Gas_01.D,FID1A,2.187,16.7070,16.3219,
F-001-1-MBPR038_Gas_01.D,FID1A,2.250,68.9405,37.4986,
F-001-1-MBPR038_Gas_01.D,FID1A,2.353,4201.7437,2926.9624,
F-001-1-MBPR038_Gas_01.D,FID1A,2.432,1303.1451,1240.4634,
F-001-1-MBPR038_Gas_01.D,FID1A,2.513,124.9455,112.1642,
F-001-1-MBPR038_Gas_01.D,FID1A,2.541,143.1142,107.9763,
F-001-1-MBPR038_Gas_01.D,FID1A,2.570,68.7535,44.4845,
F-001-1-MBPR038_Gas_01.D,FID1A,2.678,527.9335,463.4025,
F-001-1-MBPR038_Gas_01.D,FID1A,2.728,140.3711,72.1748,
