Signal Name,FID RT,FID Area,Height,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
FID1A,2.353,0.1485,0.0522,,,,,Manual assignment based on HydroUI,
FID1A,2.446,0.5569,0.3616,2.4437,Isobutane,C4H10,91.99326082,Manual assignment based on HydroUI,B
FID1A,2.497,0.3135,0.1841,,,,,Manual assignment based on HydroUI,
FID1A,2.674,4.1642,2.6588,2.6721,"Butane, 2-methyl-",C5H12,97.79077345,Manual assignment based on HydroUI,B
FID1A,2.77,1.1554,0.6962,2.7678,Pentane,C5H12,95.65148458,Manual assignment based on HydroUI,L
FID1A,2.875,0.1,0.0469,,,,,Manual assignment based on HydroUI,
FID1A,2.945,0.0855,0.04,,,,,Manual assignment based on HydroUI,
FID1A,3.163,6.1125,2.9054,3.1608,"Pentane, 2-methyl-",C6H14,98.28322598,Manual assignment based on HydroUI,B
FID1A,3.284,2.2362,1.1403,3.2823,"Pentane, 3-methyl-",C6H14,98.12103669,Manual assignment based on HydroUI,B
FID1A,3.435,1.9201,0.9241,3.4337,n-Hexane,C6H14,96.40028321,Manual assignment based on HydroUI,L
FID1A,3.687,0.4388,0.1766,3.686,"2,2-Dimethylpropanoic anhydride",C10H18O3,82.82570359,Manual assignment based on HydroUI,O
FID1A,3.777,2.9801,0.8141,3.7757,"Cyclopentane, methyl-",C6H12,92.16124009,Manual assignment based on HydroUI,C
FID1A,4.388,88445.0547,15335.9707,,,,,Manual assignment based on HydroUI,
FID1A,4.458,2.2848,1.8029,,,,,Manual assignment based on HydroUI,
FID1A,4.604,0.5307,0.2812,4.6078,"Hexane, 2,3-dimethyl-",C8H18,88.21472782,Manual assignment based on HydroUI,B
FID1A,4.647,0.0786,0.0945,,,,,Manual assignment based on HydroUI,
FID1A,4.692,0.6738,0.4433,4.6884,"Cyclopentane, 1,2-dimethyl-",C7H14,88.91866099,Manual assignment based on HydroUI,C
FID1A,4.847,1.0362,0.6064,4.8448,Heptane,C7H16,96.97634853,Manual assignment based on HydroUI,L
FID1A,4.932,0.0599,0.0234,,,,,Manual assignment based on HydroUI,
FID1A,5.095,0.0421,0.0364,,,,,Manual assignment based on HydroUI,
FID1A,5.259,0.0872,0.0527,,,,,Manual assignment based on HydroUI,
FID1A,5.34,0.6728,0.3151,5.3385,"Cyclohexane, methyl-",C7H14,92.08984168,Manual assignment based on HydroUI,C
FID1A,5.464,1.073,0.5605,5.4613,"Hexane, 2,5-dimethyl-",C8H18,89.39816437,Manual assignment based on HydroUI,B
FID1A,5.511,0.8052,0.4037,5.5094,"Heptane, 3,4,5-trimethyl-",C10H22,89.29676287,Manual assignment based on HydroUI,B
FID1A,5.569,0.0841,0.0324,,,,,Manual assignment based on HydroUI,
FID1A,5.69,0.1651,0.073,,,,,Manual assignment based on HydroUI,
FID1A,6.138,0.3591,0.1578,6.1357,"Hexane, 2,3-dimethyl-",C8H18,94.122828,Manual assignment based on HydroUI,B
FID1A,6.261,2.7202,1.1542,6.2589,"Heptane, 2-methyl-",C8H18,94.8441475,Manual assignment based on HydroUI,B
FID1A,6.349,0.2863,0.1311,6.3446,Toluene,C7H8,88.53720626,Manual assignment based on HydroUI,A
FID1A,6.449,1.3649,0.6009,6.4464,"Heptane, 3-methyl-",C8H18,96.26548842,Manual assignment based on HydroUI,B
FID1A,6.592,0.3267,0.1521,6.5897,"Cyclohexane, 1,3-dimethyl-, trans-",C8H16,88.85597219,Manual assignment based on HydroUI,C
FID1A,6.628,0.3223,0.1137,,,,,Manual assignment based on HydroUI,
FID1A,6.823,0.1536,0.0507,,,,,Manual assignment based on HydroUI,
FID1A,6.882,0.1206,0.0458,,,,,Manual assignment based on HydroUI,
FID1A,7.085,0.6988,0.2742,7.0826,Octane,C8H18,93.04401804,Manual assignment based on HydroUI,L
FID1A,7.241,0.3061,0.1294,7.2383,"Cyclohexane, 1,4-dimethyl-, cis-",C8H16,83.37098485,Manual assignment based on HydroUI,C
FID1A,7.45,0.087,0.0379,,,,,Manual assignment based on HydroUI,
FID1A,7.522,0.0629,0.029,,,,,Manual assignment based on HydroUI,
FID1A,7.617,0.3239,0.1493,7.6133,"Hexane, 3-ethyl-",C8H18,91.0257119,Manual assignment based on HydroUI,B
FID1A,7.769,0.613,0.2827,7.7658,"Heptane, 2,6-dimethyl-",C9H20,89.99022069,Manual assignment based on HydroUI,B
